pc_id,pc_name,ac_id,ac_name,Serial No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total Valid Votes,No fo rejected Votes(Test votes),Votes for NOTA Option,Total,No of Tendered votes
7,Bhadrak,45,Bhandaripokhari,1,,,,,,,,203,1,1,303,69,0,577,0,0,577,0.0
7,Bhadrak,45,Bhandaripokhari,2,,,,,,,,416,2,0,345,74,0,837,0,0,837,0.0
7,Bhadrak,45,Bhandaripokhari,3,,,,,,,,364,1,1,267,101,1,735,0,4,739,0.0
7,Bhadrak,45,Bhandaripokhari,4,,,,,,,,156,1,3,368,75,0,603,0,0,603,0.0
7,Bhadrak,45,Bhandaripokhari,5,,,,,,,,191,2,5,349,108,4,659,0,3,662,0.0
7,Bhadrak,45,Bhandaripokhari,6,,,,,,,,278,1,1,361,51,1,693,0,1,694,0.0
7,Bhadrak,45,Bhandaripokhari,7,,,,,,,,394,9,4,326,273,3,1009,0,1,1010,0.0
7,Bhadrak,45,Bhandaripokhari,8,,,,,,,,267,2,1,408,169,1,848,0,7,855,0.0
7,Bhadrak,45,Bhandaripokhari,9,,,,,,,,320,3,6,410,122,1,862,0,4,866,0.0
7,Bhadrak,45,Bhandaripokhari,10,,,,,,,,288,4,2,426,119,2,841,0,6,847,0.0
7,Bhadrak,45,Bhandaripokhari,11,,,,,,,,297,1,3,374,130,1,806,0,2,808,0.0
7,Bhadrak,45,Bhandaripokhari,12,,,,,,,,119,1,0,137,48,0,305,0,1,306,0.0
7,Bhadrak,45,Bhandaripokhari,13,,,,,,,,199,0,2,305,211,0,717,0,3,720,0.0
7,Bhadrak,45,Bhandaripokhari,14,,,,,,,,192,1,1,375,116,0,685,0,0,685,0.0
7,Bhadrak,45,Bhandaripokhari,15,,,,,,,,165,0,1,182,61,0,409,0,0,409,0.0
7,Bhadrak,45,Bhandaripokhari,16,,,,,,,,195,1,1,178,76,1,452,0,0,452,0.0
7,Bhadrak,45,Bhandaripokhari,17,,,,,,,,347,4,2,245,111,1,710,0,0,710,0.0
7,Bhadrak,45,Bhandaripokhari,18,,,,,,,,274,1,0,304,93,1,673,0,4,677,0.0
7,Bhadrak,45,Bhandaripokhari,19,,,,,,,,374,0,5,445,83,1,908,0,2,910,0.0
7,Bhadrak,45,Bhandaripokhari,20,,,,,,,,233,2,2,196,59,0,492,0,2,494,0.0
7,Bhadrak,45,Bhandaripokhari,21,,,,,,,,626,1,1,297,90,1,1016,0,2,1018,0.0
7,Bhadrak,45,Bhandaripokhari,22,,,,,,,,144,1,0,273,65,0,483,0,0,483,0.0
7,Bhadrak,45,Bhandaripokhari,23,,,,,,,,215,1,1,118,22,0,357,0,2,359,0.0
7,Bhadrak,45,Bhandaripokhari,24,,,,,,,,386,1,3,312,201,3,906,0,6,912,0.0
7,Bhadrak,45,Bhandaripokhari,25,,,,,,,,261,3,3,362,243,3,875,0,3,878,0.0
7,Bhadrak,45,Bhandaripokhari,26,,,,,,,,484,5,1,172,140,2,804,0,0,804,0.0
7,Bhadrak,45,Bhandaripokhari,27,,,,,,,,409,5,4,412,190,5,1025,0,3,1028,0.0
7,Bhadrak,45,Bhandaripokhari,28,,,,,,,,235,1,0,355,87,2,680,0,1,681,0.0
7,Bhadrak,45,Bhandaripokhari,29,,,,,,,,157,5,2,126,80,0,370,0,0,370,0.0
7,Bhadrak,45,Bhandaripokhari,30,,,,,,,,312,3,0,269,121,2,707,0,3,710,0.0
7,Bhadrak,45,Bhandaripokhari,31,,,,,,,,112,0,0,273,35,0,420,0,0,420,0.0
7,Bhadrak,45,Bhandaripokhari,32,,,,,,,,273,4,4,339,142,3,765,0,8,773,0.0
7,Bhadrak,45,Bhandaripokhari,33,,,,,,,,386,6,0,284,176,1,853,0,5,858,0.0
7,Bhadrak,45,Bhandaripokhari,34,,,,,,,,204,2,0,430,125,1,762,0,2,764,0.0
7,Bhadrak,45,Bhandaripokhari,35,,,,,,,,365,5,4,290,245,3,912,0,10,922,0.0
7,Bhadrak,45,Bhandaripokhari,36,,,,,,,,312,4,5,309,241,6,877,0,10,887,0.0
7,Bhadrak,45,Bhandaripokhari,37,,,,,,,,359,3,7,323,184,5,881,0,2,883,0.0
7,Bhadrak,45,Bhandaripokhari,38,,,,,,,,241,1,1,275,183,1,702,0,10,712,0.0
7,Bhadrak,45,Bhandaripokhari,39,,,,,,,,372,2,4,423,154,4,959,0,3,962,0.0
7,Bhadrak,45,Bhandaripokhari,40,,,,,,,,172,3,2,356,225,2,760,0,2,762,0.0
7,Bhadrak,45,Bhandaripokhari,41,,,,,,,,343,0,0,215,246,3,807,0,3,810,0.0
7,Bhadrak,45,Bhandaripokhari,42,,,,,,,,306,3,1,193,195,1,699,0,2,701,0.0
7,Bhadrak,45,Bhandaripokhari,43,,,,,,,,295,1,0,159,206,2,663,0,2,665,0.0
7,Bhadrak,45,Bhandaripokhari,44,,,,,,,,196,3,3,196,276,0,674,0,1,675,0.0
7,Bhadrak,45,Bhandaripokhari,45,,,,,,,,344,1,1,226,166,0,738,0,2,740,0.0
7,Bhadrak,45,Bhandaripokhari,46,,,,,,,,183,1,1,298,32,0,515,0,3,518,0.0
7,Bhadrak,45,Bhandaripokhari,47,,,,,,,,285,0,3,215,136,1,640,0,4,644,0.0
7,Bhadrak,45,Bhandaripokhari,48,,,,,,,,200,3,0,196,123,0,522,0,0,522,0.0
7,Bhadrak,45,Bhandaripokhari,49,,,,,,,,292,3,0,507,104,0,906,0,2,908,0.0
7,Bhadrak,45,Bhandaripokhari,50,,,,,,,,358,2,0,414,153,0,927,0,6,933,0.0
7,Bhadrak,45,Bhandaripokhari,51,,,,,,,,132,3,2,240,187,2,566,0,1,567,0.0
7,Bhadrak,45,Bhandaripokhari,52,,,,,,,,218,2,2,316,143,1,682,0,1,683,0.0
7,Bhadrak,45,Bhandaripokhari,53,,,,,,,,135,0,0,309,88,3,535,0,7,542,0.0
7,Bhadrak,45,Bhandaripokhari,54,,,,,,,,139,2,0,267,56,0,464,0,1,465,0.0
7,Bhadrak,45,Bhandaripokhari,55,,,,,,,,180,0,0,168,81,4,433,0,6,439,0.0
7,Bhadrak,45,Bhandaripokhari,56,,,,,,,,331,1,2,278,120,1,733,0,3,736,0.0
7,Bhadrak,45,Bhandaripokhari,57,,,,,,,,220,1,1,290,130,1,643,0,0,643,0.0
7,Bhadrak,45,Bhandaripokhari,58,,,,,,,,307,0,1,322,75,1,706,0,2,708,0.0
7,Bhadrak,45,Bhandaripokhari,59,,,,,,,,435,2,1,191,81,3,713,0,1,714,0.0
7,Bhadrak,45,Bhandaripokhari,60,,,,,,,,434,0,0,184,90,3,711,0,3,714,0.0
7,Bhadrak,45,Bhandaripokhari,62,,,,,,,,549,4,8,330,138,2,1031,0,3,1034,0.0
7,Bhadrak,45,Bhandaripokhari,63,,,,,,,,209,1,0,232,50,1,493,0,0,493,0.0
7,Bhadrak,45,Bhandaripokhari,64,,,,,,,,465,3,4,320,167,2,961,0,5,966,0.0
7,Bhadrak,45,Bhandaripokhari,65,,,,,,,,429,6,7,333,242,0,1017,0,4,1021,0.0
7,Bhadrak,45,Bhandaripokhari,66,,,,,,,,442,1,2,301,202,2,950,0,7,957,0.0
7,Bhadrak,45,Bhandaripokhari,67,,,,,,,,233,2,0,158,120,1,514,0,1,515,0.0
7,Bhadrak,45,Bhandaripokhari,68,,,,,,,,431,1,1,222,282,0,937,0,4,941,0.0
7,Bhadrak,45,Bhandaripokhari,69,,,,,,,,215,1,1,206,123,1,547,0,3,550,0.0
