pc_id,pc_name,ac_id,ac_name,Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total Valid Vote,No fo rejected Votes (Test votes),None of the Above(NOTA),Total,No of Tendered votes
7,Bhadrak,46,Bhadrak,1,,,,,,,,25,495,3,277,1,0,2,803,0,2,805,0
7,Bhadrak,46,Bhadrak,2,,,,,,,,22,258,1,298,2,2,7,590,0,1,591,0
7,Bhadrak,46,Bhadrak,3,,,,,,,,31,467,4,299,3,1,1,806,0,3,809,0
7,Bhadrak,46,Bhadrak,4,,,,,,,,19,389,2,202,1,1,0,614,0,0,614,0
7,Bhadrak,46,Bhadrak,5,,,,,,,,31,465,1,367,0,0,1,865,0,4,869,0
7,Bhadrak,46,Bhadrak,6,,,,,,,,38,268,3,285,2,0,0,596,0,1,597,0
7,Bhadrak,46,Bhadrak,7,,,,,,,,26,360,1,246,1,1,0,635,0,4,639,0
7,Bhadrak,46,Bhadrak,8,,,,,,,,11,285,1,183,3,0,1,484,0,0,484,0
7,Bhadrak,46,Bhadrak,9,,,,,,,,29,351,9,328,8,7,6,738,0,6,744,0
7,Bhadrak,46,Bhadrak,10,,,,,,,,7,152,1,79,3,0,0,242,0,0,242,0
7,Bhadrak,46,Bhadrak,11,,,,,,,,67,394,3,330,1,0,1,796,0,3,799,0
7,Bhadrak,46,Bhadrak,12,,,,,,,,33,397,2,355,3,0,0,790,0,2,792,0
7,Bhadrak,46,Bhadrak,13,,,,,,,,45,343,3,568,1,0,0,960,0,2,962,0
7,Bhadrak,46,Bhadrak,14,,,,,,,,10,365,2,309,1,0,0,687,0,1,688,0
7,Bhadrak,46,Bhadrak,15,,,,,,,,3,110,0,110,0,0,0,223,0,0,223,0
7,Bhadrak,46,Bhadrak,16,,,,,,,,23,382,0,272,1,0,0,678,0,1,679,0
7,Bhadrak,46,Bhadrak,17,,,,,,,,24,379,0,289,1,3,1,697,0,2,699,0
7,Bhadrak,46,Bhadrak,18,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
7,Bhadrak,46,Bhadrak,19,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
7,Bhadrak,46,Bhadrak,20,,,,,,,,1,192,0,122,0,0,0,315,0,1,316,0
7,Bhadrak,46,Bhadrak,21,,,,,,,,36,312,9,304,2,0,2,665,0,4,669,0
7,Bhadrak,46,Bhadrak,22,,,,,,,,28,312,1,340,1,1,0,683,0,2,685,0
7,Bhadrak,46,Bhadrak,23,,,,,,,,14,271,1,266,1,1,0,554,0,0,554,0
7,Bhadrak,46,Bhadrak,24,,,,,,,,6,140,0,151,1,0,2,300,0,0,300,0
7,Bhadrak,46,Bhadrak,25,,,,,,,,71,250,3,326,0,0,2,652,0,3,655,0
7,Bhadrak,46,Bhadrak,26,,,,,,,,19,181,3,209,1,4,0,417,0,3,420,0
