pc_id,pc_name,ac_id,ac_name,Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total Valid Votes,No fo rejected Votes (Test votes),Votes for NOTA Option,Total,No of Tendered votes
7,Bhadrak,47,Basudevpur,1,,,,,,,,8,55,171,344,1,1,0,580,0,1,581,0
7,Bhadrak,47,Basudevpur,2,,,,,,,,10,87,334,363,7,0,1,802,0,8,810,0
7,Bhadrak,47,Basudevpur,3,,,,,,,,2,48,398,534,1,0,0,983,0,2,985,0
7,Bhadrak,47,Basudevpur,4,,,,,,,,3,121,175,204,0,1,0,504,0,1,505,0
7,Bhadrak,47,Basudevpur,5,,,,,,,,3,119,332,324,2,4,0,784,0,0,784,0
7,Bhadrak,47,Basudevpur,6,,,,,,,,1,84,142,121,1,0,0,349,0,0,349,0
7,Bhadrak,47,Basudevpur,7,,,,,,,,1,70,97,59,0,0,0,227,0,2,229,0
7,Bhadrak,47,Basudevpur,8,,,,,,,,5,58,383,315,1,0,1,763,0,2,765,0
7,Bhadrak,47,Basudevpur,9,,,,,,,,6,206,311,371,5,9,2,910,0,3,913,0
7,Bhadrak,47,Basudevpur,10,,,,,,,,2,11,219,345,2,0,0,579,0,0,579,0
7,Bhadrak,47,Basudevpur,11,,,,,,,,1,16,211,201,4,1,0,434,0,0,434,0
7,Bhadrak,47,Basudevpur,12,,,,,,,,7,86,402,399,3,1,0,898,0,4,902,0
7,Bhadrak,47,Basudevpur,13,,,,,,,,2,16,268,214,0,0,0,500,0,0,500,0
7,Bhadrak,47,Basudevpur,14,,,,,,,,10,194,379,333,1,0,0,917,0,3,920,0
7,Bhadrak,47,Basudevpur,15,,,,,,,,2,43,375,237,0,1,1,659,0,4,663,0
7,Bhadrak,47,Basudevpur,16,,,,,,,,9,91,256,398,1,1,1,757,0,1,758,0
7,Bhadrak,47,Basudevpur,17,,,,,,,,5,125,283,256,2,0,1,672,0,3,675,0
7,Bhadrak,47,Basudevpur,18,,,,,,,,1,228,242,259,3,1,0,734,0,1,735,0
7,Bhadrak,47,Basudevpur,19,,,,,,,,3,155,340,285,7,0,2,792,0,4,796,0
7,Bhadrak,47,Basudevpur,20,,,,,,,,3,38,295,331,3,1,1,672,0,1,673,0
7,Bhadrak,47,Basudevpur,21,,,,,,,,2,281,274,214,6,2,3,782,0,2,784,0
7,Bhadrak,47,Basudevpur,22,,,,,,,,8,57,474,422,1,3,2,967,0,8,975,0
7,Bhadrak,47,Basudevpur,23,,,,,,,,4,20,384,372,5,0,1,786,0,4,790,0
7,Bhadrak,47,Basudevpur,24,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
7,Bhadrak,47,Basudevpur,25,,,,,,,,2,35,282,252,1,0,0,572,0,2,574,0
7,Bhadrak,47,Basudevpur,26,,,,,,,,6,29,377,475,4,1,0,892,0,1,893,0
7,Bhadrak,47,Basudevpur,27,,,,,,,,7,30,332,292,2,2,1,666,0,4,670,0
7,Bhadrak,47,Basudevpur,28,,,,,,,,7,57,377,403,17,1,4,866,0,6,872,0
7,Bhadrak,47,Basudevpur,29,,,,,,,,2,140,340,318,5,0,2,807,0,0,807,0
7,Bhadrak,47,Basudevpur,30,,,,,,,,0,25,277,272,6,0,4,584,0,2,586,0
7,Bhadrak,47,Basudevpur,31,,,,,,,,2,7,188,214,3,0,1,415,0,2,417,0
7,Bhadrak,47,Basudevpur,32,,,,,,,,10,25,176,258,10,5,0,484,0,4,488,0
7,Bhadrak,47,Basudevpur,33,,,,,,,,4,24,177,175,1,0,0,381,0,1,382,0
