pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,NOTA,No. of rejected votes,No. of Tendered votes,Total,Total votespolled,Total of valid votes
8,Jajpur,49,Sukinda,1,,,,,,,,25,442,3,465,2,0,0,0,0,0,937,nan,937
8,Jajpur,49,Sukinda,2,,,,,,,,23,459,4,546,1,0,0,2,0,0,1035,nan,1033
8,Jajpur,49,Sukinda,3,,,,,,,,19,415,2,581,4,2,2,1,0,0,1026,nan,1025
8,Jajpur,49,Sukinda,4,,,,,,,,17,379,3,429,2,0,0,1,0,0,831,nan,830
8,Jajpur,49,Sukinda,5,,,,,,,,52,385,2,539,2,0,0,3,0,0,983,nan,980
8,Jajpur,49,Sukinda,6,,,,,,,,27,370,2,689,3,3,3,1,0,0,1098,nan,1097
8,Jajpur,49,Sukinda,7,,,,,,,,32,242,3,430,0,1,0,1,0,0,709,nan,708
8,Jajpur,49,Sukinda,8,,,,,,,,12,392,1,560,0,3,0,1,0,0,969,nan,968
8,Jajpur,49,Sukinda,9,,,,,,,,31,247,3,476,2,1,0,2,0,0,762,nan,760
8,Jajpur,49,Sukinda,10,,,,,,,,27,290,3,425,3,6,2,4,0,0,760,nan,756
8,Jajpur,49,Sukinda,11,,,,,,,,197,198,3,441,1,1,0,2,0,0,843,nan,841
8,Jajpur,49,Sukinda,12,,,,,,,,7,267,1,235,1,0,0,0,0,0,511,nan,511
8,Jajpur,49,Sukinda,13,,,,,,,,11,330,0,246,1,1,1,1,0,0,591,nan,590
8,Jajpur,49,Sukinda,14,,,,,,,,25,454,8,547,3,1,0,0,0,0,1038,nan,1038
8,Jajpur,49,Sukinda,15,,,,,,,,66,361,4,361,3,2,1,5,0,0,803,nan,798
8,Jajpur,49,Sukinda,16,,,,,,,,18,399,7,523,3,4,2,13,0,0,969,nan,956
8,Jajpur,49,Sukinda,17,,,,,,,,24,440,3,412,0,0,1,0,0,0,880,nan,880
8,Jajpur,49,Sukinda,18,,,,,,,,11,205,2,787,3,0,1,1,0,0,1010,nan,1009
8,Jajpur,49,Sukinda,19,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,nan,0
8,Jajpur,49,Sukinda,20,,,,,,,,21,330,3,364,1,0,0,1,0,0,720,nan,719
8,Jajpur,49,Sukinda,21,,,,,,,,31,384,3,341,2,0,0,0,0,0,761,nan,761
8,Jajpur,49,Sukinda,22,,,,,,,,24,323,5,310,0,0,0,1,0,0,663,nan,662
8,Jajpur,49,Sukinda,23,,,,,,,,13,134,0,196,1,0,0,1,0,0,345,nan,344
8,Jajpur,49,Sukinda,24,,,,,,,,37,327,6,411,1,5,12,7,0,0,806,nan,799
8,Jajpur,49,Sukinda,25,,,,,,,,58,499,12,333,6,7,11,6,0,0,932,nan,926
8,Jajpur,49,Sukinda,26,,,,,,,,44,157,0,208,0,1,3,0,0,0,413,nan,413
8,Jajpur,49,Sukinda,27,,,,,,,,8,160,0,221,1,0,0,0,0,0,390,nan,390
8,Jajpur,49,Sukinda,28,,,,,,,,19,245,6,308,0,1,3,3,0,0,585,nan,582
8,Jajpur,49,Sukinda,29,,,,,,,,26,254,4,278,8,2,3,5,0,0,580,nan,575
8,Jajpur,49,Sukinda,30,,,,,,,,5,108,3,226,1,1,0,2,0,0,346,nan,344
8,Jajpur,49,Sukinda,31,,,,,,,,3,89,0,183,0,0,0,0,0,0,275,nan,275
8,Jajpur,49,Sukinda,32,,,,,,,,53,125,2,270,0,1,2,1,0,0,454,nan,453
8,Jajpur,49,Sukinda,33,,,,,,,,89,16,0,283,0,0,0,3,0,0,391,nan,388
8,Jajpur,49,Sukinda,34,,,,,,,,106,131,4,320,0,1,1,0,0,0,563,nan,563
8,Jajpur,49,Sukinda,35,,,,,,,,158,35,4,418,1,3,0,2,0,0,621,nan,619
8,Jajpur,49,Sukinda,36,,,,,,,,62,175,4,240,1,0,0,0,0,0,482,nan,482
8,Jajpur,49,Sukinda,37,,,,,,,,54,77,0,301,1,0,0,0,0,0,433,nan,433
8,Jajpur,49,Sukinda,38,,,,,,,,170,91,3,313,1,2,1,1,0,0,582,nan,581
8,Jajpur,49,Sukinda,39,,,,,,,,176,68,2,330,0,2,2,2,0,0,582,nan,580
8,Jajpur,49,Sukinda,40,,,,,,,,200,32,1,303,2,4,2,0,0,0,544,nan,544
8,Jajpur,49,Sukinda,41,,,,,,,,96,117,6,461,3,0,0,3,0,0,686,nan,683
8,Jajpur,49,Sukinda,42,,,,,,,,180,14,0,385,5,3,0,1,0,0,588,nan,587
8,Jajpur,49,Sukinda,43,,,,,,,,16,398,6,516,7,1,4,3,0,0,951,nan,948
8,Jajpur,49,Sukinda,44,,,,,,,,41,408,5,428,3,0,0,3,0,0,888,nan,885
8,Jajpur,49,Sukinda,45,,,,,,,,88,337,4,390,2,1,0,3,0,0,825,nan,822
8,Jajpur,49,Sukinda,46,,,,,,,,22,249,4,564,3,0,1,0,0,0,843,nan,843
8,Jajpur,49,Sukinda,47,,,,,,,,13,199,2,305,1,0,2,1,0,0,523,nan,522
8,Jajpur,49,Sukinda,48,,,,,,,,19,260,4,375,1,4,2,5,0,0,670,nan,665
8,Jajpur,49,Sukinda,49,,,,,,,,36,453,7,534,2,4,2,2,0,0,1040,nan,1038
8,Jajpur,49,Sukinda,50,,,,,,,,18,422,3,343,2,0,0,0,0,0,788,nan,788
8,Jajpur,49,Sukinda,51,,,,,,,,12,428,1,397,3,2,1,2,0,0,846,nan,844
8,Jajpur,49,Sukinda,52,,,,,,,,8,299,2,361,2,1,2,4,0,0,679,nan,675
8,Jajpur,49,Sukinda,53,,,,,,,,30,355,2,379,2,4,1,3,0,0,776,nan,773
8,Jajpur,49,Sukinda,54,,,,,,,,18,397,3,441,0,0,0,0,0,0,859,nan,859
8,Jajpur,49,Sukinda,55,,,,,,,,18,330,3,452,5,1,0,1,0,0,810,nan,809
8,Jajpur,49,Sukinda,56,,,,,,,,23,389,2,351,3,0,1,1,0,0,770,nan,769
8,Jajpur,49,Sukinda,57,,,,,,,,13,149,2,698,1,0,0,0,0,0,863,nan,863
8,Jajpur,49,Sukinda,58,,,,,,,,14,377,1,91,0,0,0,0,0,0,483,nan,483
8,Jajpur,49,Sukinda,59,,,,,,,,13,274,2,281,3,1,0,1,0,0,575,nan,574
8,Jajpur,49,Sukinda,60,,,,,,,,10,281,3,372,0,1,1,1,0,0,669,nan,668
8,Jajpur,49,Sukinda,61,,,,,,,,7,338,0,300,2,0,0,3,0,0,650,nan,647
8,Jajpur,49,Sukinda,62,,,,,,,,5,332,0,296,0,1,0,2,0,0,636,nan,634
8,Jajpur,49,Sukinda,63,,,,,,,,19,257,5,343,1,0,2,1,0,0,628,nan,627
8,Jajpur,49,Sukinda,64,,,,,,,,23,348,3,331,2,0,1,0,0,0,708,nan,708
8,Jajpur,49,Sukinda,65,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,nan,0
8,Jajpur,49,Sukinda,66,,,,,,,,21,380,5,360,4,0,5,5,0,0,780,nan,775
8,Jajpur,49,Sukinda,67,,,,,,,,26,226,1,310,3,0,2,2,0,0,570,nan,568
8,Jajpur,49,Sukinda,68,,,,,,,,19,233,1,269,2,1,2,2,0,0,529,nan,527
8,Jajpur,49,Sukinda,69,,,,,,,,10,227,2,172,0,0,0,0,0,0,411,nan,411
8,Jajpur,49,Sukinda,70,,,,,,,,18,412,5,487,2,2,6,6,0,0,938,nan,932
8,Jajpur,49,Sukinda,71,,,,,,,,24,207,3,428,3,3,2,0,0,0,670,nan,670
8,Jajpur,49,Sukinda,72,,,,,,,,18,235,1,194,0,1,1,1,0,0,451,nan,450
8,Jajpur,49,Sukinda,73,,,,,,,,9,230,2,414,1,2,0,0,0,0,658,nan,658
8,Jajpur,49,Sukinda,74,,,,,,,,9,247,1,121,0,0,0,0,0,0,378,nan,378
8,Jajpur,49,Sukinda,75,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,nan,0
8,Jajpur,49,Sukinda,76,,,,,,,,14,265,9,500,3,2,2,2,0,0,797,nan,795
8,Jajpur,49,Sukinda,77,,,,,,,,32,300,8,619,3,3,1,8,0,0,974,nan,966
8,Jajpur,49,Sukinda,78,,,,,,,,2,399,0,93,0,0,0,0,0,0,494,nan,494
8,Jajpur,49,Sukinda,79,,,,,,,,18,300,5,384,5,0,2,3,0,0,717,nan,714
8,Jajpur,49,Sukinda,80,,,,,,,,29,230,5,371,7,3,5,7,0,0,657,nan,650
8,Jajpur,49,Sukinda,81,,,,,,,,13,245,1,321,2,1,1,3,0,0,587,nan,584
8,Jajpur,49,Sukinda,82,,,,,,,,2,164,1,253,1,0,1,3,0,0,425,nan,422
8,Jajpur,49,Sukinda,83,,,,,,,,4,64,0,110,0,3,0,1,0,0,182,nan,181
8,Jajpur,49,Sukinda,84,,,,,,,,24,437,13,429,9,7,8,2,0,0,929,nan,927
8,Jajpur,49,Sukinda,85,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,nan,0
8,Jajpur,49,Sukinda,86,,,,,,,,4,176,0,184,0,0,0,4,0,0,368,nan,364
8,Jajpur,49,Sukinda,87,,,,,,,,7,212,0,257,0,0,0,2,0,0,478,nan,476
8,Jajpur,49,Sukinda,88,,,,,,,,5,252,2,290,4,3,1,4,0,0,561,nan,557
8,Jajpur,49,Sukinda,89,,,,,,,,42,334,6,331,8,7,1,5,0,0,734,nan,729
8,Jajpur,49,Sukinda,90,,,,,,,,14,236,1,415,0,0,0,5,0,0,671,nan,666
8,Jajpur,49,Sukinda,91,,,,,,,,19,360,2,304,1,0,1,0,0,0,687,nan,687
8,Jajpur,49,Sukinda,92,,,,,,,,17,265,2,344,2,0,0,2,0,0,632,nan,630
8,Jajpur,49,Sukinda,93,,,,,,,,19,414,6,457,1,2,1,0,0,0,900,nan,900
8,Jajpur,49,Sukinda,94,,,,,,,,22,341,2,267,4,4,2,3,0,0,645,nan,642
8,Jajpur,49,Sukinda,95,,,,,,,,22,513,1,353,2,0,1,0,0,0,892,nan,892
8,Jajpur,49,Sukinda,96,,,,,,,,45,408,3,438,2,1,1,2,0,0,900,nan,898
8,Jajpur,49,Sukinda,97,,,,,,,,9,274,6,360,0,2,2,4,0,0,657,nan,653
8,Jajpur,49,Sukinda,98,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,nan,0
8,Jajpur,49,Sukinda,99,,,,,,,,13,299,2,291,1,2,0,2,0,0,610,nan,608
8,Jajpur,49,Sukinda,100,,,,,,,,23,236,4,524,0,0,3,5,0,0,795,nan,790
8,Jajpur,49,Sukinda,101,,,,,,,,13,386,3,413,1,1,2,2,0,0,821,nan,819
8,Jajpur,49,Sukinda,102,,,,,,,,7,310,1,380,1,1,2,2,0,0,704,nan,702
8,Jajpur,49,Sukinda,103,,,,,,,,6,131,3,217,1,0,1,2,0,0,361,nan,359
8,Jajpur,49,Sukinda,104,,,,,,,,32,275,6,331,2,0,1,1,0,0,648,nan,647
8,Jajpur,49,Sukinda,105,,,,,,,,19,267,1,381,1,1,0,1,0,0,671,nan,670
8,Jajpur,49,Sukinda,106,,,,,,,,7,521,5,408,2,0,0,1,0,0,944,nan,943
8,Jajpur,49,Sukinda,107,,,,,,,,20,370,2,559,2,2,1,2,0,0,958,nan,956
8,Jajpur,49,Sukinda,108,,,,,,,,20,326,4,445,2,44,2,0,0,0,843,nan,843
8,Jajpur,49,Sukinda,109,,,,,,,,29,392,3,308,1,0,0,2,0,0,735,nan,733
8,Jajpur,49,Sukinda,110,,,,,,,,16,442,2,314,1,1,0,1,0,0,777,nan,776
8,Jajpur,49,Sukinda,111,,,,,,,,13,244,2,284,2,0,1,3,0,0,549,nan,546
8,Jajpur,49,Sukinda,112,,,,,,,,10,262,6,258,2,3,0,2,0,0,543,nan,541
8,Jajpur,49,Sukinda,113,,,,,,,,1,278,2,216,1,2,0,1,0,0,501,nan,500
8,Jajpur,49,Sukinda,114,,,,,,,,25,398,6,492,0,11,3,4,0,0,939,nan,935
8,Jajpur,49,Sukinda,115,,,,,,,,27,564,11,371,1,3,1,7,0,0,985,nan,978
8,Jajpur,49,Sukinda,116,,,,,,,,10,361,6,353,2,3,0,0,0,0,735,nan,735
8,Jajpur,49,Sukinda,117,,,,,,,,12,152,1,280,0,3,0,2,0,0,450,nan,448
8,Jajpur,49,Sukinda,118,,,,,,,,11,186,5,294,1,1,0,1,0,0,499,nan,498
8,Jajpur,49,Sukinda,119,,,,,,,,16,250,1,312,3,6,4,10,0,0,602,nan,592
8,Jajpur,49,Sukinda,120,,,,,,,,13,228,6,363,1,0,1,1,0,0,613,nan,612
8,Jajpur,49,Sukinda,121,,,,,,,,12,181,4,332,3,0,0,1,0,0,533,nan,532
8,Jajpur,49,Sukinda,122,,,,,,,,66,316,3,378,3,4,3,3,0,0,776,nan,773
8,Jajpur,49,Sukinda,123,,,,,,,,22,323,5,482,4,0,0,1,0,0,837,nan,836
8,Jajpur,49,Sukinda,124,,,,,,,,12,203,1,477,0,1,0,3,0,0,697,nan,694
8,Jajpur,49,Sukinda,125,,,,,,,,4,113,1,183,0,2,1,1,0,0,305,nan,304
8,Jajpur,49,Sukinda,126,,,,,,,,11,186,0,112,2,0,0,1,0,0,312,nan,311
8,Jajpur,49,Sukinda,127,,,,,,,,25,359,9,581,9,9,7,5,0,0,1004,nan,999
8,Jajpur,49,Sukinda,128,,,,,,,,18,216,4,256,1,0,1,4,0,0,500,nan,496
8,Jajpur,49,Sukinda,129,,,,,,,,22,421,4,290,2,4,1,6,0,0,750,nan,744
8,Jajpur,49,Sukinda,130,,,,,,,,49,401,7,430,6,3,3,6,0,0,905,nan,899
8,Jajpur,49,Sukinda,131,,,,,,,,26,447,2,450,2,0,2,4,0,0,933,nan,929
8,Jajpur,49,Sukinda,132,,,,,,,,21,477,7,427,0,1,1,2,0,0,936,nan,934
8,Jajpur,49,Sukinda,133,,,,,,,,11,321,5,348,2,0,1,2,0,0,690,nan,688
8,Jajpur,49,Sukinda,134,,,,,,,,10,504,3,256,0,1,1,2,0,0,777,nan,775
8,Jajpur,49,Sukinda,135,,,,,,,,11,322,2,416,2,1,0,1,0,0,755,nan,754
8,Jajpur,49,Sukinda,136,,,,,,,,13,360,2,336,0,1,0,3,0,0,715,nan,712
8,Jajpur,49,Sukinda,137,,,,,,,,40,222,13,356,2,1,0,1,0,0,635,nan,634
8,Jajpur,49,Sukinda,138,,,,,,,,24,274,3,252,0,0,1,2,0,0,556,nan,554
8,Jajpur,49,Sukinda,139,,,,,,,,19,227,2,187,0,1,0,4,0,0,440,nan,436
8,Jajpur,49,Sukinda,140,,,,,,,,12,173,15,208,0,0,0,0,0,0,408,nan,408
8,Jajpur,49,Sukinda,141,,,,,,,,147,339,1,256,1,0,1,0,0,0,745,nan,745
8,Jajpur,49,Sukinda,142,,,,,,,,171,241,1,196,0,2,0,1,0,0,612,nan,611
8,Jajpur,49,Sukinda,143,,,,,,,,125,261,4,365,0,1,0,1,0,0,757,nan,756
8,Jajpur,49,Sukinda,144,,,,,,,,307,116,2,389,3,0,0,1,0,0,818,nan,817
8,Jajpur,49,Sukinda,145,,,,,,,,55,450,6,353,4,0,0,3,0,0,871,nan,868
8,Jajpur,49,Sukinda,146,,,,,,,,80,476,1,232,0,0,0,0,0,0,789,nan,789
8,Jajpur,49,Sukinda,147,,,,,,,,43,586,0,228,0,0,0,2,0,0,859,nan,857
8,Jajpur,49,Sukinda,148,,,,,,,,143,264,5,260,2,1,0,2,0,0,677,nan,675
8,Jajpur,49,Sukinda,149,,,,,,,,86,267,2,290,2,0,3,2,0,0,652,nan,650
8,Jajpur,49,Sukinda,150,,,,,,,,163,310,5,322,5,2,1,3,0,0,811,nan,808
8,Jajpur,49,Sukinda,151,,,,,,,,113,319,1,407,1,0,1,0,0,0,842,nan,842
8,Jajpur,49,Sukinda,152,,,,,,,,36,332,0,230,2,1,0,1,0,0,602,nan,601
8,Jajpur,49,Sukinda,153,,,,,,,,32,277,2,298,0,2,1,1,0,0,613,nan,612
8,Jajpur,49,Sukinda,154,,,,,,,,2,239,0,257,0,0,0,1,0,0,499,nan,498
8,Jajpur,49,Sukinda,155,,,,,,,,10,212,0,230,1,0,1,0,0,0,454,nan,454
8,Jajpur,49,Sukinda,156,,,,,,,,66,317,2,426,2,1,0,2,0,0,816,nan,814
8,Jajpur,49,Sukinda,157,,,,,,,,54,355,0,315,1,1,2,0,0,0,728,nan,728
8,Jajpur,49,Sukinda,158,,,,,,,,28,431,2,282,1,0,2,2,0,0,748,nan,746
8,Jajpur,49,Sukinda,159,,,,,,,,8,323,5,373,1,1,2,0,0,0,713,nan,713
8,Jajpur,49,Sukinda,160,,,,,,,,27,365,0,191,3,0,0,2,0,0,588,nan,586
8,Jajpur,49,Sukinda,161,,,,,,,,37,233,1,269,0,0,0,2,0,0,542,nan,540
8,Jajpur,49,Sukinda,162,,,,,,,,11,611,5,339,3,1,0,4,0,0,974,nan,970
8,Jajpur,49,Sukinda,163,,,,,,,,19,564,3,297,4,2,0,5,0,0,894,nan,889
8,Jajpur,49,Sukinda,164,,,,,,,,17,562,2,130,0,0,0,0,0,0,711,nan,711
8,Jajpur,49,Sukinda,165,,,,,,,,12,717,5,61,1,0,1,0,0,0,797,nan,797
8,Jajpur,49,Sukinda,166,,,,,,,,7,297,2,213,2,0,0,5,0,0,526,nan,521
8,Jajpur,49,Sukinda,167,,,,,,,,16,257,1,238,1,1,1,0,0,0,515,nan,515
8,Jajpur,49,Sukinda,168,,,,,,,,13,481,4,150,1,0,0,0,0,0,649,nan,649
8,Jajpur,49,Sukinda,169,,,,,,,,35,706,4,112,0,0,0,5,0,0,862,nan,857
8,Jajpur,49,Sukinda,170,,,,,,,,14,228,1,245,2,3,1,4,0,0,498,nan,494
8,Jajpur,49,Sukinda,171,,,,,,,,26,490,6,372,1,1,0,1,0,0,897,nan,896
8,Jajpur,49,Sukinda,172,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,nan,0
8,Jajpur,49,Sukinda,173,,,,,,,,31,329,4,334,5,3,2,6,0,0,714,nan,708
8,Jajpur,49,Sukinda,174,,,,,,,,55,527,9,504,7,5,8,4,0,0,1119,nan,1115
8,Jajpur,49,Sukinda,175,,,,,,,,17,285,1,196,0,0,1,1,0,0,501,nan,500
8,Jajpur,49,Sukinda,176,,,,,,,,46,296,3,161,3,0,1,4,0,0,514,nan,510
8,Jajpur,49,Sukinda,177,,,,,,,,26,335,3,215,0,0,0,2,0,0,581,nan,579
8,Jajpur,49,Sukinda,178,,,,,,,,9,244,3,330,0,0,1,0,0,0,587,nan,587
8,Jajpur,49,Sukinda,179,,,,,,,,14,325,4,438,0,0,3,1,0,0,785,nan,784
8,Jajpur,49,Sukinda,180,,,,,,,,13,206,6,296,3,3,1,4,0,0,532,nan,528
8,Jajpur,49,Sukinda,181,,,,,,,,5,607,0,8,0,0,0,0,0,0,620,nan,620
8,Jajpur,49,Sukinda,182,,,,,,,,8,548,1,4,0,0,0,0,0,0,561,nan,561
8,Jajpur,49,Sukinda,183,,,,,,,,10,346,1,261,0,0,0,2,0,0,620,nan,618
8,Jajpur,49,Sukinda,184,,,,,,,,15,234,2,187,1,0,0,2,0,0,441,nan,439
