pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of valid votes,No. of rejected votes,NOTA,Total,No. of Tendered votes
8,Jajpur,50,Binjharpur,1.0,,,,,,,,36.0,394.0,284.0,3.0,2.0,4.0,5.0,728.0,0.0,10.0,738.0,0.0
8,Jajpur,50,Binjharpur,2.0,,,,,,,,36.0,454.0,373.0,6.0,0.0,2.0,0.0,871.0,0.0,5.0,876.0,0.0
8,Jajpur,50,Binjharpur,3.0,,,,,,,,20.0,414.0,248.0,1.0,0.0,1.0,3.0,687.0,0.0,1.0,688.0,0.0
8,Jajpur,50,Binjharpur,4.0,,,,,,,,21.0,401.0,198.0,1.0,2.0,1.0,3.0,627.0,0.0,7.0,634.0,1.0
8,Jajpur,50,Binjharpur,5.0,,,,,,,,33.0,299.0,199.0,1.0,1.0,1.0,1.0,535.0,0.0,0.0,535.0,0.0
8,Jajpur,50,Binjharpur,6.0,,,,,,,,20.0,261.0,165.0,1.0,0.0,0.0,0.0,447.0,0.0,0.0,447.0,0.0
8,Jajpur,50,Binjharpur,7.0,,,,,,,,49.0,497.0,475.0,3.0,2.0,2.0,4.0,1032.0,0.0,9.0,1041.0,0.0
8,Jajpur,50,Binjharpur,8.0,,,,,,,,32.0,161.0,140.0,3.0,1.0,0.0,0.0,337.0,0.0,6.0,343.0,0.0
8,Jajpur,50,Binjharpur,9.0,,,,,,,,21.0,299.0,428.0,3.0,0.0,4.0,6.0,761.0,0.0,8.0,769.0,0.0
8,Jajpur,50,Binjharpur,10.0,,,,,,,,13.0,357.0,279.0,2.0,0.0,0.0,0.0,651.0,0.0,0.0,651.0,0.0
8,Jajpur,50,Binjharpur,11.0,,,,,,,,20.0,337.0,317.0,1.0,0.0,0.0,1.0,676.0,0.0,2.0,678.0,0.0
8,Jajpur,50,Binjharpur,12.0,,,,,,,,16.0,334.0,130.0,5.0,0.0,5.0,2.0,492.0,0.0,12.0,504.0,0.0
