pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No. of rejected votes,NOTA,Total,No. of Tendered votes
8,Jajpur,51,Bari,1,,,,,,,,8.0,524.0,202.0,123.0,3.0,43.0,1.0,1.0,4.0,9.0,918.0,0.0,6.0,924.0,0.0
8,Jajpur,51,Bari,2,,,,,,,,2.0,236.0,103.0,179.0,4.0,58.0,0.0,0.0,2.0,5.0,589.0,0.0,3.0,592.0,0.0
8,Jajpur,51,Bari,3,,,,,,,,2.0,522.0,140.0,89.0,5.0,35.0,0.0,0.0,3.0,4.0,800.0,0.0,2.0,802.0,0.0
8,Jajpur,51,Bari,4,,,,,,,,3.0,377.0,68.0,238.0,2.0,1.0,2.0,0.0,1.0,2.0,694.0,0.0,1.0,695.0,0.0
8,Jajpur,51,Bari,5,,,,,,,,7.0,478.0,195.0,47.0,5.0,5.0,2.0,0.0,3.0,0.0,742.0,0.0,0.0,742.0,0.0
8,Jajpur,51,Bari,6,,,,,,,,11.0,611.0,276.0,36.0,2.0,7.0,1.0,2.0,0.0,2.0,948.0,0.0,2.0,950.0,0.0
8,Jajpur,51,Bari,7,,,,,,,,1.0,203.0,220.0,40.0,2.0,1.0,1.0,0.0,1.0,1.0,470.0,0.0,0.0,470.0,0.0
8,Jajpur,51,Bari,8,,,,,,,,2.0,480.0,154.0,158.0,0.0,16.0,0.0,0.0,1.0,2.0,813.0,0.0,0.0,813.0,0.0
8,Jajpur,51,Bari,9,,,,,,,,5.0,502.0,173.0,106.0,6.0,3.0,1.0,0.0,0.0,3.0,799.0,0.0,4.0,803.0,0.0
8,Jajpur,51,Bari,10,,,,,,,,45.0,408.0,249.0,154.0,12.0,14.0,7.0,9.0,10.0,11.0,919.0,0.0,30.0,949.0,0.0
8,Jajpur,51,Bari,11,,,,,,,,0.0,129.0,96.0,13.0,0.0,0.0,7.0,0.0,2.0,0.0,247.0,0.0,2.0,249.0,0.0
8,Jajpur,51,Bari,12,,,,,,,,7.0,516.0,114.0,37.0,0.0,10.0,0.0,0.0,0.0,3.0,687.0,0.0,1.0,688.0,0.0
8,Jajpur,51,Bari,13,,,,,,,,8.0,306.0,260.0,48.0,3.0,1.0,1.0,0.0,1.0,0.0,628.0,0.0,3.0,631.0,0.0
8,Jajpur,51,Bari,14,,,,,,,,5.0,547.0,75.0,103.0,3.0,9.0,2.0,0.0,0.0,4.0,748.0,0.0,0.0,748.0,0.0
8,Jajpur,51,Bari,15,,,,,,,,6.0,379.0,117.0,120.0,3.0,7.0,1.0,0.0,1.0,7.0,641.0,0.0,0.0,641.0,0.0
8,Jajpur,51,Bari,16,,,,,,,,4.0,340.0,74.0,218.0,2.0,4.0,0.0,2.0,2.0,2.0,648.0,0.0,3.0,651.0,0.0
8,Jajpur,51,Bari,17,,,,,,,,8.0,301.0,161.0,39.0,1.0,12.0,1.0,1.0,0.0,2.0,526.0,0.0,0.0,526.0,0.0
8,Jajpur,51,Bari,18,,,,,,,,7.0,421.0,293.0,47.0,0.0,4.0,0.0,1.0,2.0,2.0,777.0,0.0,5.0,782.0,0.0
8,Jajpur,51,Bari,19,,,,,,,,9.0,368.0,273.0,185.0,4.0,2.0,1.0,6.0,5.0,2.0,855.0,0.0,3.0,858.0,0.0
8,Jajpur,51,Bari,20,,,,,,,,3.0,382.0,342.0,42.0,2.0,2.0,2.0,1.0,1.0,0.0,777.0,0.0,6.0,783.0,0.0
8,Jajpur,51,Bari,21,,,,,,,,0.0,175.0,58.0,54.0,1.0,3.0,0.0,0.0,1.0,0.0,292.0,0.0,2.0,294.0,0.0
8,Jajpur,51,Bari,22,,,,,,,,9.0,357.0,334.0,24.0,1.0,1.0,0.0,0.0,1.0,1.0,728.0,0.0,0.0,728.0,0.0
8,Jajpur,51,Bari,23,,,,,,,,3.0,306.0,291.0,48.0,3.0,4.0,0.0,0.0,2.0,1.0,658.0,0.0,5.0,663.0,0.0
8,Jajpur,51,Bari,24,,,,,,,,11.0,296.0,188.0,161.0,1.0,6.0,0.0,2.0,1.0,2.0,668.0,0.0,1.0,669.0,0.0
8,Jajpur,51,Bari,25,,,,,,,,7.0,480.0,228.0,179.0,3.0,3.0,0.0,1.0,0.0,0.0,901.0,0.0,2.0,903.0,0.0
8,Jajpur,51,Bari,26,,,,,,,,1.0,351.0,282.0,162.0,1.0,1.0,0.0,1.0,2.0,2.0,803.0,0.0,7.0,810.0,0.0
8,Jajpur,51,Bari,27,,,,,,,,4.0,492.0,270.0,128.0,3.0,4.0,0.0,3.0,3.0,0.0,907.0,0.0,2.0,909.0,0.0
8,Jajpur,51,Bari,28,,,,,,,,2.0,296.0,259.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,565.0,0.0,1.0,566.0,0.0
8,Jajpur,51,Bari,29,,,,,,,,26.0,468.0,110.0,112.0,3.0,3.0,1.0,0.0,4.0,3.0,730.0,0.0,3.0,733.0,0.0
8,Jajpur,51,Bari,30,,,,,,,,1.0,998.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,0.0,1013.0,0.0
8,Jajpur,51,Bari,31,,,,,,,,3.0,274.0,94.0,143.0,6.0,2.0,0.0,1.0,0.0,1.0,524.0,0.0,7.0,531.0,0.0
8,Jajpur,51,Bari,32,,,,,,,,0.0,228.0,42.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,1.0,309.0,0.0
8,Jajpur,51,Bari,33,,,,,,,,3.0,265.0,137.0,105.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,0.0,3.0,515.0,0.0
8,Jajpur,51,Bari,34,,,,,,,,6.0,615.0,131.0,32.0,2.0,0.0,2.0,2.0,0.0,0.0,790.0,0.0,3.0,793.0,0.0
8,Jajpur,51,Bari,35,,,,,,,,2.0,400.0,66.0,130.0,0.0,1.0,1.0,1.0,0.0,1.0,602.0,0.0,6.0,608.0,0.0
8,Jajpur,51,Bari,36,,,,,,,,5.0,370.0,178.0,108.0,3.0,6.0,4.0,2.0,0.0,2.0,678.0,0.0,14.0,692.0,0.0
8,Jajpur,51,Bari,37,,,,,,,,6.0,508.0,201.0,135.0,4.0,1.0,0.0,1.0,2.0,2.0,860.0,0.0,10.0,870.0,0.0
8,Jajpur,51,Bari,38,,,,,,,,19.0,528.0,172.0,183.0,3.0,3.0,0.0,7.0,5.0,4.0,924.0,0.0,2.0,926.0,0.0
8,Jajpur,51,Bari,39,,,,,,,,10.0,310.0,90.0,109.0,1.0,1.0,1.0,0.0,1.0,1.0,524.0,0.0,5.0,529.0,0.0
8,Jajpur,51,Bari,40,,,,,,,,3.0,283.0,112.0,144.0,0.0,2.0,0.0,0.0,2.0,1.0,547.0,0.0,0.0,547.0,0.0
8,Jajpur,51,Bari,41,,,,,,,,1.0,279.0,141.0,77.0,4.0,0.0,1.0,1.0,0.0,0.0,504.0,0.0,1.0,505.0,0.0
8,Jajpur,51,Bari,42,,,,,,,,6.0,329.0,175.0,110.0,1.0,1.0,0.0,1.0,0.0,0.0,623.0,0.0,3.0,626.0,0.0
8,Jajpur,51,Bari,43,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jajpur,51,Bari,44,,,,,,,,6.0,408.0,110.0,20.0,1.0,1.0,1.0,0.0,1.0,0.0,548.0,0.0,3.0,551.0,0.0
8,Jajpur,51,Bari,45,,,,,,,,4.0,500.0,244.0,39.0,1.0,2.0,2.0,2.0,2.0,2.0,798.0,0.0,4.0,802.0,0.0
8,Jajpur,51,Bari,46,,,,,,,,10.0,297.0,93.0,68.0,0.0,1.0,0.0,2.0,0.0,0.0,471.0,0.0,0.0,471.0,0.0
8,Jajpur,51,Bari,47,,,,,,,,6.0,260.0,119.0,91.0,1.0,0.0,1.0,1.0,2.0,1.0,482.0,0.0,1.0,483.0,0.0
8,Jajpur,51,Bari,48,,,,,,,,8.0,463.0,205.0,70.0,3.0,2.0,0.0,0.0,1.0,0.0,752.0,0.0,4.0,756.0,0.0
8,Jajpur,51,Bari,49,,,,,,,,10.0,340.0,259.0,83.0,2.0,2.0,2.0,1.0,1.0,2.0,702.0,0.0,6.0,708.0,0.0
8,Jajpur,51,Bari,50,,,,,,,,11.0,611.0,61.0,114.0,0.0,7.0,0.0,1.0,1.0,1.0,807.0,0.0,0.0,807.0,0.0
8,Jajpur,51,Bari,51,,,,,,,,8.0,451.0,189.0,373.0,5.0,10.0,3.0,4.0,5.0,7.0,1055.0,0.0,5.0,1060.0,0.0
8,Jajpur,51,Bari,52,,,,,,,,17.0,561.0,236.0,195.0,6.0,7.0,5.0,5.0,9.0,7.0,1048.0,0.0,5.0,1053.0,0.0
8,Jajpur,51,Bari,53,,,,,,,,6.0,235.0,112.0,311.0,1.0,4.0,1.0,0.0,2.0,1.0,673.0,0.0,1.0,674.0,0.0
8,Jajpur,51,Bari,54,,,,,,,,12.0,328.0,273.0,148.0,5.0,3.0,5.0,2.0,1.0,2.0,779.0,0.0,3.0,782.0,0.0
8,Jajpur,51,Bari,55,,,,,,,,2.0,719.0,55.0,83.0,0.0,1.0,0.0,0.0,0.0,1.0,861.0,0.0,0.0,861.0,0.0
8,Jajpur,51,Bari,56,,,,,,,,6.0,187.0,71.0,122.0,2.0,2.0,0.0,1.0,1.0,9.0,401.0,0.0,8.0,409.0,0.0
8,Jajpur,51,Bari,57,,,,,,,,4.0,370.0,106.0,58.0,3.0,7.0,0.0,1.0,2.0,4.0,555.0,0.0,1.0,556.0,0.0
8,Jajpur,51,Bari,58,,,,,,,,6.0,329.0,156.0,147.0,7.0,2.0,1.0,0.0,3.0,3.0,654.0,0.0,3.0,657.0,0.0
8,Jajpur,51,Bari,59,,,,,,,,9.0,620.0,226.0,129.0,4.0,4.0,2.0,2.0,1.0,2.0,999.0,0.0,2.0,1001.0,0.0
8,Jajpur,51,Bari,60,,,,,,,,3.0,412.0,144.0,112.0,4.0,3.0,0.0,0.0,2.0,0.0,680.0,0.0,2.0,682.0,0.0
8,Jajpur,51,Bari,61,,,,,,,,3.0,483.0,226.0,26.0,1.0,8.0,0.0,3.0,0.0,2.0,752.0,0.0,2.0,754.0,0.0
8,Jajpur,51,Bari,62,,,,,,,,3.0,466.0,279.0,111.0,1.0,2.0,0.0,1.0,0.0,0.0,863.0,0.0,1.0,864.0,0.0
8,Jajpur,51,Bari,63,,,,,,,,8.0,354.0,187.0,146.0,2.0,3.0,1.0,0.0,2.0,1.0,704.0,0.0,3.0,707.0,0.0
