pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,NOTA,No. of Tendered votes,No. of rejected votes,Total,Total votespolled,Total of valid votes
8,Jajpur,52,Barachana,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,nan,0
8,Jajpur,52,Barachana,2,,,,,,,,179,818,35,3,1,1,1,0,0,1038,nan,1037
8,Jajpur,52,Barachana,3,,,,,,,,466,441,34,1,2,2,6,0,0,952,nan,946
8,Jajpur,52,Barachana,4,,,,,,,,231,657,27,2,1,3,2,0,0,923,nan,921
8,Jajpur,52,Barachana,5,,,,,,,,295,750,36,3,1,5,5,0,0,1095,nan,1090
8,Jajpur,52,Barachana,6,,,,,,,,116,675,35,4,2,3,2,0,0,837,nan,835
8,Jajpur,52,Barachana,7,,,,,,,,76,282,4,0,0,0,0,0,0,362,nan,362
8,Jajpur,52,Barachana,8,,,,,,,,274,357,37,0,1,2,3,0,0,674,nan,671
8,Jajpur,52,Barachana,9,,,,,,,,354,424,76,8,6,9,7,0,0,884,nan,877
8,Jajpur,52,Barachana,10,,,,,,,,314,623,32,2,2,7,4,0,0,984,nan,980
8,Jajpur,52,Barachana,11,,,,,,,,165,242,30,0,2,0,3,0,0,442,nan,439
8,Jajpur,52,Barachana,12,,,,,,,,155,162,11,0,0,6,4,0,0,338,nan,334
8,Jajpur,52,Barachana,13,,,,,,,,341,272,2,1,1,0,1,0,0,618,nan,617
8,Jajpur,52,Barachana,14,,,,,,,,62,251,2,2,0,0,0,0,0,317,nan,317
8,Jajpur,52,Barachana,15,,,,,,,,109,171,7,0,2,0,2,0,0,291,nan,289
8,Jajpur,52,Barachana,16,,,,,,,,237,269,7,0,0,1,6,0,0,520,nan,514
8,Jajpur,52,Barachana,17,,,,,,,,286,441,14,2,0,6,4,0,0,753,nan,749
8,Jajpur,52,Barachana,18,,,,,,,,420,416,18,1,0,2,3,0,0,860,nan,857
8,Jajpur,52,Barachana,19,,,,,,,,390,550,27,1,1,1,4,0,0,974,nan,970
8,Jajpur,52,Barachana,20,,,,,,,,140,252,5,0,0,0,3,0,0,400,nan,397
8,Jajpur,52,Barachana,21,,,,,,,,296,352,14,1,2,2,4,0,0,671,nan,667
8,Jajpur,52,Barachana,22,,,,,,,,179,472,17,0,0,2,3,0,0,673,nan,670
8,Jajpur,52,Barachana,23,,,,,,,,356,425,19,1,0,2,5,0,0,808,nan,803
8,Jajpur,52,Barachana,24,,,,,,,,245,426,6,1,0,3,1,0,0,682,nan,681
8,Jajpur,52,Barachana,25,,,,,,,,184,242,10,2,0,0,0,0,0,438,nan,438
