pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,NOTA,No. of Tendered votes,No. of rejected votes,Total,Total of valid votes
8,Jajpur,53,Dharmasala,1,,,,,,,,503,12,87,186,6,2,6,8,0,0,810,802
8,Jajpur,53,Dharmasala,2,,,,,,,,356,6,88,189,4,1,0,4,0,0,648,644
8,Jajpur,53,Dharmasala,3,,,,,,,,502,4,113,214,3,1,2,6,0,0,845,839
8,Jajpur,53,Dharmasala,4,,,,,,,,390,12,94,76,7,6,5,21,0,0,611,590
8,Jajpur,53,Dharmasala,5,,,,,,,,282,7,90,191,6,3,0,4,0,0,583,579
8,Jajpur,53,Dharmasala,6,,,,,,,,354,3,177,140,3,1,0,0,0,0,678,678
8,Jajpur,53,Dharmasala,7,,,,,,,,387,7,185,233,2,0,1,1,0,0,816,815
8,Jajpur,53,Dharmasala,8,,,,,,,,197,6,30,124,0,1,2,1,0,0,361,360
8,Jajpur,53,Dharmasala,9,,,,,,,,306,9,122,233,5,2,1,3,0,0,681,678
8,Jajpur,53,Dharmasala,10,,,,,,,,402,13,71,211,2,0,0,0,0,0,699,699
8,Jajpur,53,Dharmasala,11,,,,,,,,432,33,257,359,6,1,2,7,0,0,1097,1090
8,Jajpur,53,Dharmasala,12,,,,,,,,344,19,111,288,3,0,2,4,0,0,771,767
8,Jajpur,53,Dharmasala,13,,,,,,,,234,9,287,197,4,2,3,4,0,0,740,736
8,Jajpur,53,Dharmasala,14,,,,,,,,281,16,169,129,1,1,3,5,0,0,605,600
8,Jajpur,53,Dharmasala,15,,,,,,,,470,18,91,289,4,0,1,8,0,0,881,873
8,Jajpur,53,Dharmasala,16,,,,,,,,374,21,129,189,3,2,1,3,0,0,722,719
8,Jajpur,53,Dharmasala,17,,,,,,,,476,12,33,158,2,1,1,2,0,0,685,683
8,Jajpur,53,Dharmasala,18,,,,,,,,146,6,103,80,0,0,0,3,0,0,338,335
8,Jajpur,53,Dharmasala,19,,,,,,,,274,7,91,293,0,2,2,1,0,0,670,669
8,Jajpur,53,Dharmasala,20,,,,,,,,440,8,122,254,4,2,6,3,0,0,839,836
8,Jajpur,53,Dharmasala,21,,,,,,,,134,0,12,136,0,0,0,2,0,0,284,282
8,Jajpur,53,Dharmasala,22,,,,,,,,276,7,66,293,3,0,0,2,0,0,647,645
8,Jajpur,53,Dharmasala,23,,,,,,,,309,7,113,202,1,4,3,3,0,0,642,639
8,Jajpur,53,Dharmasala,24,,,,,,,,151,3,129,101,1,0,0,5,0,0,390,385
8,Jajpur,53,Dharmasala,25,,,,,,,,283,2,56,91,1,1,4,2,0,0,440,438
8,Jajpur,53,Dharmasala,26,,,,,,,,253,13,99,88,2,0,0,1,0,0,456,455
8,Jajpur,53,Dharmasala,27,,,,,,,,291,7,202,93,0,0,1,1,0,0,595,594
8,Jajpur,53,Dharmasala,28,,,,,,,,443,14,222,225,8,7,9,11,0,0,939,928
8,Jajpur,53,Dharmasala,29,,,,,,,,159,19,288,201,0,0,2,6,0,0,675,669
8,Jajpur,53,Dharmasala,30,,,,,,,,293,11,83,124,2,0,1,5,0,0,519,514
8,Jajpur,53,Dharmasala,31,,,,,,,,158,8,61,93,1,0,0,2,0,0,323,321
8,Jajpur,53,Dharmasala,32,,,,,,,,394,8,113,143,1,2,2,2,0,0,665,663
8,Jajpur,53,Dharmasala,33,,,,,,,,324,3,41,248,4,0,0,1,0,0,621,620
8,Jajpur,53,Dharmasala,34,,,,,,,,352,0,58,381,4,2,4,3,0,0,804,801
8,Jajpur,53,Dharmasala,35,,,,,,,,314,5,86,277,10,1,2,2,0,0,697,695
8,Jajpur,53,Dharmasala,36,,,,,,,,631,15,85,291,4,17,2,3,0,0,1048,1045
8,Jajpur,53,Dharmasala,37,,,,,,,,182,6,122,152,1,0,4,4,0,0,471,467
8,Jajpur,53,Dharmasala,38,,,,,,,,420,5,150,195,0,0,3,2,0,0,775,773
8,Jajpur,53,Dharmasala,39,,,,,,,,385,4,140,249,2,0,3,4,0,0,787,783
8,Jajpur,53,Dharmasala,40,,,,,,,,567,14,228,209,0,2,4,2,0,0,1026,1024
8,Jajpur,53,Dharmasala,41,,,,,,,,170,4,52,184,1,0,2,0,0,0,413,413
8,Jajpur,53,Dharmasala,42,,,,,,,,349,8,84,154,0,0,0,2,0,0,597,595
8,Jajpur,53,Dharmasala,43,,,,,,,,438,9,106,271,3,3,10,18,0,0,858,840
8,Jajpur,53,Dharmasala,44,,,,,,,,423,12,138,337,0,2,1,1,0,0,914,913
8,Jajpur,53,Dharmasala,45,,,,,,,,506,7,141,355,1,0,0,5,0,0,1015,1010
8,Jajpur,53,Dharmasala,46,,,,,,,,393,6,92,379,4,0,1,4,0,0,879,875
8,Jajpur,53,Dharmasala,47,,,,,,,,479,11,63,354,3,0,1,3,0,0,914,911
8,Jajpur,53,Dharmasala,48,,,,,,,,452,6,188,108,1,0,0,1,0,0,756,755
8,Jajpur,53,Dharmasala,49,,,,,,,,463,6,127,278,4,4,0,6,0,0,888,882
8,Jajpur,53,Dharmasala,50,,,,,,,,476,6,287,83,1,1,1,0,0,0,855,855
8,Jajpur,53,Dharmasala,51,,,,,,,,242,0,155,231,0,1,2,3,0,0,634,631
8,Jajpur,53,Dharmasala,52,,,,,,,,441,18,196,256,3,0,1,2,0,0,917,915
8,Jajpur,53,Dharmasala,53,,,,,,,,231,19,127,163,3,0,1,2,0,0,546,544
8,Jajpur,53,Dharmasala,54,,,,,,,,365,33,156,144,0,1,0,1,0,0,700,699
8,Jajpur,53,Dharmasala,55,,,,,,,,432,7,178,212,3,1,0,0,0,0,833,833
8,Jajpur,53,Dharmasala,56,,,,,,,,369,4,88,236,0,2,1,6,0,0,706,700
8,Jajpur,53,Dharmasala,57,,,,,,,,424,7,167,219,1,2,0,1,0,0,821,820
8,Jajpur,53,Dharmasala,58,,,,,,,,290,3,101,300,6,0,2,4,0,0,706,702
8,Jajpur,53,Dharmasala,59,,,,,,,,327,5,86,250,2,0,2,0,0,0,672,672
8,Jajpur,53,Dharmasala,60,,,,,,,,238,8,180,258,5,0,0,2,0,0,691,689
8,Jajpur,53,Dharmasala,61,,,,,,,,356,9,234,251,2,0,4,2,0,0,858,856
8,Jajpur,53,Dharmasala,62,,,,,,,,303,9,166,305,4,0,4,5,0,0,796,791
8,Jajpur,53,Dharmasala,63,,,,,,,,217,4,111,122,1,0,0,1,0,0,456,455
8,Jajpur,53,Dharmasala,64,,,,,,,,177,4,90,119,2,1,1,1,0,0,395,394
8,Jajpur,53,Dharmasala,65,,,,,,,,456,5,331,149,2,2,3,3,0,0,951,948
8,Jajpur,53,Dharmasala,66,,,,,,,,383,7,332,163,3,1,2,3,0,0,894,891
8,Jajpur,53,Dharmasala,67,,,,,,,,412,5,363,166,2,2,3,6,0,0,959,953
8,Jajpur,53,Dharmasala,68,,,,,,,,460,11,146,361,1,5,2,9,0,0,995,986
8,Jajpur,53,Dharmasala,69,,,,,,,,365,13,175,196,4,2,5,11,0,0,771,760
8,Jajpur,53,Dharmasala,70,,,,,,,,274,11,294,229,0,1,3,1,0,0,813,812
8,Jajpur,53,Dharmasala,71,,,,,,,,200,7,117,230,3,2,2,7,0,0,568,561
8,Jajpur,53,Dharmasala,72,,,,,,,,271,7,166,210,0,0,4,3,0,0,661,658
8,Jajpur,53,Dharmasala,73,,,,,,,,204,6,170,237,0,0,4,6,0,0,627,621
8,Jajpur,53,Dharmasala,74,,,,,,,,228,3,126,300,1,0,2,3,0,0,663,660
8,Jajpur,53,Dharmasala,75,,,,,,,,294,1,243,176,1,0,1,1,0,0,717,716
8,Jajpur,53,Dharmasala,76,,,,,,,,367,7,229,312,3,2,4,8,0,0,932,924
8,Jajpur,53,Dharmasala,77,,,,,,,,407,13,227,282,5,1,4,7,0,0,946,939
8,Jajpur,53,Dharmasala,78,,,,,,,,345,4,222,206,3,0,4,4,0,0,788,784
8,Jajpur,53,Dharmasala,79,,,,,,,,275,2,115,248,2,1,4,2,0,0,649,647
8,Jajpur,53,Dharmasala,80,,,,,,,,416,7,205,231,6,3,1,3,0,0,872,869
8,Jajpur,53,Dharmasala,81,,,,,,,,117,3,163,142,3,4,4,4,0,0,440,436
8,Jajpur,53,Dharmasala,82,,,,,,,,400,13,264,184,6,1,1,6,0,0,875,869
8,Jajpur,53,Dharmasala,83,,,,,,,,278,5,122,161,0,1,0,5,0,0,572,567
8,Jajpur,53,Dharmasala,84,,,,,,,,264,12,225,233,4,1,8,2,0,0,749,747
8,Jajpur,53,Dharmasala,85,,,,,,,,294,5,154,226,1,0,0,3,0,0,683,680
8,Jajpur,53,Dharmasala,86,,,,,,,,198,13,166,167,4,2,1,7,0,0,558,551
8,Jajpur,53,Dharmasala,87,,,,,,,,274,34,303,192,4,4,1,6,0,0,818,812
8,Jajpur,53,Dharmasala,88,,,,,,,,205,10,263,172,0,4,5,6,0,0,665,659
8,Jajpur,53,Dharmasala,89,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
8,Jajpur,53,Dharmasala,90,,,,,,,,345,14,242,268,1,4,4,6,0,0,884,878
8,Jajpur,53,Dharmasala,91,,,,,,,,221,21,99,265,1,0,3,8,0,0,618,610
8,Jajpur,53,Dharmasala,92,,,,,,,,318,8,417,142,1,4,5,5,0,0,900,895
8,Jajpur,53,Dharmasala,93,,,,,,,,209,9,200,131,0,1,0,1,0,0,551,550
8,Jajpur,53,Dharmasala,94,,,,,,,,428,7,201,408,3,1,3,6,0,0,1057,1051
8,Jajpur,53,Dharmasala,95,,,,,,,,308,2,319,114,2,0,1,1,0,0,747,746
8,Jajpur,53,Dharmasala,96,,,,,,,,158,3,380,71,0,1,0,1,0,0,614,613
8,Jajpur,53,Dharmasala,97,,,,,,,,122,0,63,89,0,0,0,1,0,0,275,274
8,Jajpur,53,Dharmasala,98,,,,,,,,210,1,320,107,0,0,1,6,0,0,645,639
8,Jajpur,53,Dharmasala,99,,,,,,,,157,6,331,92,1,0,1,2,0,0,590,588
8,Jajpur,53,Dharmasala,100,,,,,,,,163,1,233,104,2,1,6,0,0,0,510,510
8,Jajpur,53,Dharmasala,101,,,,,,,,190,6,178,182,1,0,3,4,0,0,564,560
8,Jajpur,53,Dharmasala,102,,,,,,,,377,4,125,114,1,1,0,5,0,0,627,622
8,Jajpur,53,Dharmasala,103,,,,,,,,324,9,210,201,3,1,3,2,0,0,753,751
8,Jajpur,53,Dharmasala,104,,,,,,,,189,1,30,198,0,0,0,1,0,0,419,418
8,Jajpur,53,Dharmasala,105,,,,,,,,359,8,123,327,0,2,0,3,0,0,822,819
8,Jajpur,53,Dharmasala,106,,,,,,,,373,12,120,460,4,1,1,1,0,0,972,971
8,Jajpur,53,Dharmasala,107,,,,,,,,449,10,109,416,3,0,3,7,0,0,997,990
8,Jajpur,53,Dharmasala,108,,,,,,,,414,10,121,235,4,2,6,6,0,0,798,792
8,Jajpur,53,Dharmasala,109,,,,,,,,346,18,23,138,2,0,0,0,0,0,527,527
8,Jajpur,53,Dharmasala,110,,,,,,,,421,11,112,309,1,1,0,3,0,0,858,855
8,Jajpur,53,Dharmasala,111,,,,,,,,257,6,128,269,2,0,0,3,0,0,665,662
8,Jajpur,53,Dharmasala,112,,,,,,,,332,4,27,224,1,2,2,4,0,0,596,592
8,Jajpur,53,Dharmasala,113,,,,,,,,533,3,54,314,2,1,5,9,0,0,921,912
8,Jajpur,53,Dharmasala,114,,,,,,,,310,6,167,193,4,2,2,1,0,0,685,684
8,Jajpur,53,Dharmasala,115,,,,,,,,408,5,85,194,1,0,1,2,0,0,696,694
8,Jajpur,53,Dharmasala,116,,,,,,,,375,8,146,230,2,4,1,3,0,0,769,766
8,Jajpur,53,Dharmasala,117,,,,,,,,342,8,89,122,2,2,1,2,0,0,568,566
8,Jajpur,53,Dharmasala,118,,,,,,,,321,4,107,145,1,0,1,3,0,0,582,579
8,Jajpur,53,Dharmasala,119,,,,,,,,617,5,161,319,4,1,2,3,0,0,1112,1109
8,Jajpur,53,Dharmasala,120,,,,,,,,332,4,181,182,4,2,0,1,0,0,706,705
8,Jajpur,53,Dharmasala,121,,,,,,,,205,3,95,121,1,0,3,1,0,0,429,428
8,Jajpur,53,Dharmasala,122,,,,,,,,369,10,214,245,2,1,1,3,0,0,845,842
8,Jajpur,53,Dharmasala,123,,,,,,,,259,3,75,151,3,1,1,2,0,0,495,493
8,Jajpur,53,Dharmasala,124,,,,,,,,311,4,112,197,3,4,5,9,0,0,645,636
8,Jajpur,53,Dharmasala,125,,,,,,,,310,6,147,116,4,0,1,3,0,0,587,584
8,Jajpur,53,Dharmasala,126,,,,,,,,403,8,220,309,4,3,4,6,0,0,957,951
8,Jajpur,53,Dharmasala,127,,,,,,,,347,25,134,572,3,1,0,1,0,0,1083,1082
8,Jajpur,53,Dharmasala,128,,,,,,,,304,7,60,346,1,0,3,1,0,0,722,721
8,Jajpur,53,Dharmasala,129,,,,,,,,179,2,35,158,0,1,1,1,0,0,377,376
8,Jajpur,53,Dharmasala,130,,,,,,,,299,4,21,379,4,3,1,3,0,0,714,711
8,Jajpur,53,Dharmasala,131,,,,,,,,263,1,30,384,0,1,0,3,0,0,682,679
8,Jajpur,53,Dharmasala,132,,,,,,,,343,8,182,276,2,1,1,5,0,0,818,813
8,Jajpur,53,Dharmasala,133,,,,,,,,460,33,78,306,3,1,4,4,0,0,889,885
8,Jajpur,53,Dharmasala,134,,,,,,,,275,6,72,165,1,0,2,5,0,0,526,521
8,Jajpur,53,Dharmasala,135,,,,,,,,282,4,92,248,0,0,2,5,0,0,633,628
8,Jajpur,53,Dharmasala,136,,,,,,,,805,12,157,194,3,2,1,2,0,0,1176,1174
8,Jajpur,53,Dharmasala,137,,,,,,,,527,4,214,145,4,5,6,8,0,0,913,905
8,Jajpur,53,Dharmasala,138,,,,,,,,578,8,192,161,1,1,6,3,0,0,950,947
8,Jajpur,53,Dharmasala,139,,,,,,,,372,12,168,277,4,3,3,13,0,0,852,839
8,Jajpur,53,Dharmasala,140,,,,,,,,312,11,179,268,3,2,3,4,0,0,782,778
8,Jajpur,53,Dharmasala,141,,,,,,,,304,6,225,163,4,3,5,13,0,0,723,710
8,Jajpur,53,Dharmasala,142,,,,,,,,219,2,54,197,0,1,1,6,0,0,480,474
8,Jajpur,53,Dharmasala,143,,,,,,,,303,15,203,242,9,2,1,1,0,0,776,775
8,Jajpur,53,Dharmasala,144,,,,,,,,332,17,143,218,5,4,4,6,0,0,729,723
8,Jajpur,53,Dharmasala,145,,,,,,,,346,8,77,229,1,1,1,1,0,0,664,663
8,Jajpur,53,Dharmasala,146,,,,,,,,332,7,114,246,2,2,2,7,0,0,712,705
8,Jajpur,53,Dharmasala,147,,,,,,,,334,12,138,309,5,0,1,5,0,0,804,799
8,Jajpur,53,Dharmasala,148,,,,,,,,343,11,227,173,2,2,1,6,0,0,765,759
8,Jajpur,53,Dharmasala,149,,,,,,,,258,5,133,166,1,2,0,4,0,0,569,565
