pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Total of valid votes,No. of rejected votes,NOTA,Total,No. of Tendered votes
8,Jajpur,54,Jajpur,1,,,,,,,,35,332,217,11,5,1,1,2,3,2,2,611.0,0.0,3.0,614.0,0.0
8,Jajpur,54,Jajpur,2,,,,,,,,111,377,14,4,0,0,2,2,1,1,2,514.0,0.0,4.0,518.0,0.0
8,Jajpur,54,Jajpur,3,,,,,,,,164,501,19,3,0,0,1,0,2,2,10,702.0,0.0,2.0,704.0,0.0
8,Jajpur,54,Jajpur,4,,,,,,,,111,257,19,0,1,1,0,0,1,2,1,393.0,0.0,4.0,397.0,0.0
8,Jajpur,54,Jajpur,5,,,,,,,,103,316,17,3,1,2,2,1,1,2,1,449.0,0.0,3.0,452.0,0.0
8,Jajpur,54,Jajpur,6,,,,,,,,170,586,43,10,2,3,5,4,7,4,5,839.0,0.0,9.0,848.0,0.0
8,Jajpur,54,Jajpur,7,,,,,,,,156,491,25,5,1,4,1,3,3,8,4,701.0,0.0,13.0,714.0,0.0
8,Jajpur,54,Jajpur,8,,,,,,,,72,463,6,3,1,2,3,0,0,2,4,556.0,0.0,2.0,558.0,0.0
8,Jajpur,54,Jajpur,9,,,,,,,,134,511,6,0,2,4,2,1,2,1,5,668.0,0.0,6.0,674.0,0.0
8,Jajpur,54,Jajpur,10,,,,,,,,54,204,5,0,2,1,0,1,0,0,0,267.0,0.0,1.0,268.0,0.0
8,Jajpur,54,Jajpur,11,,,,,,,,108,528,13,6,1,2,4,9,3,5,5,684.0,0.0,13.0,697.0,0.0
8,Jajpur,54,Jajpur,12,,,,,,,,70,337,4,0,2,1,1,0,1,3,3,422.0,0.0,13.0,435.0,1.0
8,Jajpur,54,Jajpur,13,,,,,,,,311,517,23,3,5,2,3,1,6,4,7,882.0,0.0,9.0,891.0,0.0
8,Jajpur,54,Jajpur,14,,,,,,,,395,376,21,2,2,3,3,6,3,4,6,821.0,0.0,13.0,834.0,0.0
8,Jajpur,54,Jajpur,15,,,,,,,,323,166,14,2,0,2,0,1,0,1,0,509.0,0.0,1.0,510.0,0.0
8,Jajpur,54,Jajpur,16,,,,,,,,216,249,19,4,1,2,0,0,3,1,1,496.0,0.0,6.0,502.0,0.0
8,Jajpur,54,Jajpur,17,,,,,,,,251,616,14,8,3,2,4,2,3,4,3,910.0,0.0,6.0,916.0,0.0
8,Jajpur,54,Jajpur,18,,,,,,,,150,316,6,1,1,0,0,0,1,1,0,476.0,0.0,1.0,477.0,0.0
8,Jajpur,54,Jajpur,19,,,,,,,,86,276,8,0,0,0,1,1,0,2,2,376.0,0.0,2.0,378.0,0.0
8,Jajpur,54,Jajpur,20,,,,,,,,256,339,14,1,1,1,2,1,2,1,3,621.0,0.0,3.0,624.0,0.0
8,Jajpur,54,Jajpur,21,,,,,,,,163,195,24,0,0,1,0,2,0,3,6,394.0,0.0,8.0,402.0,0.0
8,Jajpur,54,Jajpur,22,,,,,,,,35,169,14,1,1,0,2,3,5,1,1,232.0,0.0,6.0,238.0,0.0
