pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No. of rejected votes (Test Votes),Votes for NOTA Option,Total,No. of Tendered votes
9,Dhenkanal,56,Angul,1,,,,,,,,281.0,1.0,36.0,359.0,3.0,4.0,684.0,0.0,8.0,692.0,0.0
9,Dhenkanal,56,Angul,2,,,,,,,,191.0,3.0,60.0,252.0,6.0,3.0,515.0,0.0,6.0,521.0,0.0
9,Dhenkanal,56,Angul,3,,,,,,,,314.0,10.0,46.0,555.0,5.0,2.0,932.0,0.0,4.0,936.0,0.0
9,Dhenkanal,56,Angul,4,,,,,,,,153.0,6.0,29.0,132.0,5.0,3.0,328.0,0.0,2.0,330.0,0.0
9,Dhenkanal,56,Angul,5,,,,,,,,251.0,3.0,48.0,337.0,5.0,7.0,651.0,0.0,14.0,665.0,0.0
9,Dhenkanal,56,Angul,6,,,,,,,,414.0,5.0,34.0,332.0,6.0,4.0,795.0,0.0,4.0,799.0,0.0
9,Dhenkanal,56,Angul,7,,,,,,,,279.0,3.0,23.0,345.0,3.0,1.0,654.0,0.0,11.0,665.0,0.0
9,Dhenkanal,56,Angul,8,,,,,,,,215.0,4.0,16.0,278.0,0.0,1.0,514.0,0.0,2.0,516.0,0.0
9,Dhenkanal,56,Angul,9,,,,,,,,416.0,1.0,68.0,346.0,6.0,2.0,839.0,0.0,3.0,842.0,0.0
9,Dhenkanal,56,Angul,10,,,,,,,,445.0,11.0,16.0,267.0,4.0,0.0,743.0,0.0,5.0,748.0,0.0
9,Dhenkanal,56,Angul,11,,,,,,,,287.0,11.0,43.0,451.0,10.0,17.0,819.0,0.0,13.0,832.0,0.0
9,Dhenkanal,56,Angul,12,,,,,,,,294.0,9.0,55.0,318.0,15.0,25.0,716.0,0.0,17.0,733.0,0.0
9,Dhenkanal,56,Angul,13,,,,,,,,528.0,4.0,75.0,263.0,6.0,4.0,880.0,0.0,7.0,887.0,0.0
9,Dhenkanal,56,Angul,14,,,,,,,,371.0,5.0,37.0,363.0,0.0,5.0,781.0,0.0,13.0,794.0,0.0
9,Dhenkanal,56,Angul,15,,,,,,,,357.0,8.0,93.0,269.0,6.0,6.0,739.0,0.0,18.0,757.0,0.0
9,Dhenkanal,56,Angul,16,,,,,,,,421.0,5.0,48.0,360.0,5.0,1.0,840.0,0.0,1.0,841.0,0.0
9,Dhenkanal,56,Angul,17,,,,,,,,436.0,7.0,58.0,371.0,8.0,6.0,886.0,0.0,6.0,892.0,0.0
9,Dhenkanal,56,Angul,18,,,,,,,,329.0,14.0,35.0,365.0,15.0,7.0,765.0,0.0,17.0,782.0,0.0
9,Dhenkanal,56,Angul,19,,,,,,,,299.0,6.0,44.0,399.0,2.0,4.0,754.0,0.0,2.0,756.0,0.0
9,Dhenkanal,56,Angul,20,,,,,,,,288.0,4.0,63.0,380.0,9.0,6.0,750.0,0.0,13.0,763.0,0.0
9,Dhenkanal,56,Angul,21,,,,,,,,318.0,2.0,22.0,538.0,2.0,3.0,885.0,0.0,3.0,888.0,0.0
9,Dhenkanal,56,Angul,22,,,,,,,,219.0,5.0,28.0,204.0,6.0,3.0,465.0,0.0,8.0,473.0,0.0
9,Dhenkanal,56,Angul,23,,,,,,,,266.0,1.0,58.0,333.0,3.0,9.0,670.0,0.0,4.0,674.0,0.0
9,Dhenkanal,56,Angul,24,,,,,,,,375.0,3.0,20.0,147.0,8.0,12.0,565.0,0.0,16.0,581.0,0.0
9,Dhenkanal,56,Angul,25,,,,,,,,482.0,12.0,54.0,205.0,6.0,2.0,761.0,0.0,9.0,770.0,0.0
9,Dhenkanal,56,Angul,26,,,,,,,,288.0,4.0,18.0,204.0,4.0,5.0,523.0,0.0,4.0,527.0,0.0
9,Dhenkanal,56,Angul,27,,,,,,,,124.0,1.0,7.0,157.0,4.0,0.0,293.0,0.0,4.0,297.0,0.0
9,Dhenkanal,56,Angul,28,,,,,,,,361.0,6.0,119.0,497.0,14.0,5.0,1002.0,0.0,4.0,1006.0,0.0
9,Dhenkanal,56,Angul,29,,,,,,,,430.0,5.0,93.0,423.0,3.0,4.0,958.0,0.0,11.0,969.0,0.0
9,Dhenkanal,56,Angul,30,,,,,,,,169.0,3.0,24.0,103.0,2.0,1.0,302.0,0.0,3.0,305.0,0.0
9,Dhenkanal,56,Angul,31,,,,,,,,161.0,2.0,16.0,167.0,8.0,1.0,355.0,0.0,3.0,358.0,0.0
9,Dhenkanal,56,Angul,32,,,,,,,,561.0,19.0,45.0,260.0,7.0,2.0,894.0,0.0,11.0,905.0,0.0
9,Dhenkanal,56,Angul,33,,,,,,,,106.0,0.0,10.0,109.0,0.0,2.0,227.0,0.0,6.0,233.0,0.0
9,Dhenkanal,56,Angul,34,,,,,,,,208.0,3.0,39.0,259.0,3.0,0.0,512.0,0.0,3.0,515.0,0.0
9,Dhenkanal,56,Angul,35,,,,,,,,542.0,27.0,35.0,254.0,6.0,6.0,870.0,0.0,6.0,876.0,0.0
9,Dhenkanal,56,Angul,36,,,,,,,,398.0,18.0,105.0,361.0,5.0,6.0,893.0,0.0,13.0,906.0,0.0
9,Dhenkanal,56,Angul,37,,,,,,,,312.0,19.0,37.0,457.0,5.0,10.0,840.0,0.0,18.0,858.0,0.0
9,Dhenkanal,56,Angul,38,,,,,,,,452.0,8.0,53.0,420.0,7.0,3.0,943.0,0.0,3.0,946.0,0.0
9,Dhenkanal,56,Angul,39,,,,,,,,479.0,4.0,38.0,459.0,5.0,10.0,995.0,0.0,9.0,1004.0,0.0
9,Dhenkanal,56,Angul,40,,,,,,,,371.0,1.0,30.0,229.0,1.0,0.0,632.0,0.0,2.0,634.0,0.0
9,Dhenkanal,56,Angul,41,,,,,,,,297.0,5.0,58.0,322.0,4.0,3.0,689.0,0.0,13.0,702.0,0.0
9,Dhenkanal,56,Angul,42,,,,,,,,241.0,9.0,32.0,299.0,4.0,2.0,587.0,0.0,4.0,591.0,0.0
9,Dhenkanal,56,Angul,43,,,,,,,,448.0,14.0,14.0,331.0,6.0,7.0,820.0,0.0,17.0,837.0,0.0
9,Dhenkanal,56,Angul,44,,,,,,,,189.0,16.0,22.0,172.0,6.0,4.0,409.0,0.0,3.0,412.0,0.0
9,Dhenkanal,56,Angul,45,,,,,,,,235.0,0.0,25.0,218.0,0.0,2.0,480.0,0.0,0.0,480.0,0.0
9,Dhenkanal,56,Angul,46,,,,,,,,232.0,7.0,22.0,292.0,1.0,1.0,555.0,0.0,4.0,559.0,0.0
9,Dhenkanal,56,Angul,47,,,,,,,,302.0,6.0,24.0,406.0,8.0,4.0,750.0,0.0,5.0,755.0,0.0
9,Dhenkanal,56,Angul,48,,,,,,,,318.0,8.0,12.0,275.0,3.0,5.0,621.0,0.0,8.0,629.0,0.0
9,Dhenkanal,56,Angul,49,,,,,,,,249.0,7.0,21.0,283.0,3.0,4.0,567.0,0.0,11.0,578.0,0.0
9,Dhenkanal,56,Angul,50,,,,,,,,84.0,3.0,13.0,111.0,1.0,3.0,215.0,0.0,3.0,218.0,0.0
9,Dhenkanal,56,Angul,51,,,,,,,,191.0,5.0,31.0,306.0,3.0,7.0,543.0,0.0,8.0,551.0,0.0
9,Dhenkanal,56,Angul,52,,,,,,,,274.0,3.0,44.0,378.0,6.0,6.0,711.0,0.0,3.0,714.0,0.0
9,Dhenkanal,56,Angul,53,,,,,,,,361.0,3.0,56.0,313.0,4.0,1.0,738.0,0.0,2.0,740.0,0.0
9,Dhenkanal,56,Angul,54,,,,,,,,390.0,2.0,28.0,413.0,1.0,6.0,840.0,0.0,5.0,845.0,0.0
9,Dhenkanal,56,Angul,55,,,,,,,,342.0,5.0,44.0,442.0,10.0,4.0,847.0,0.0,9.0,856.0,0.0
9,Dhenkanal,56,Angul,56,,,,,,,,233.0,18.0,31.0,330.0,9.0,5.0,626.0,0.0,9.0,635.0,0.0
9,Dhenkanal,56,Angul,57,,,,,,,,223.0,4.0,12.0,356.0,3.0,3.0,601.0,0.0,11.0,612.0,0.0
9,Dhenkanal,56,Angul,58,,,,,,,,257.0,5.0,39.0,442.0,4.0,2.0,749.0,0.0,3.0,752.0,0.0
9,Dhenkanal,56,Angul,59,,,,,,,,216.0,6.0,60.0,403.0,5.0,8.0,698.0,0.0,10.0,708.0,0.0
9,Dhenkanal,56,Angul,60,,,,,,,,158.0,3.0,38.0,433.0,4.0,1.0,637.0,0.0,1.0,638.0,0.0
9,Dhenkanal,56,Angul,61,,,,,,,,257.0,4.0,29.0,434.0,8.0,3.0,735.0,0.0,13.0,748.0,0.0
9,Dhenkanal,56,Angul,62,,,,,,,,125.0,2.0,36.0,371.0,3.0,4.0,541.0,0.0,2.0,543.0,0.0
9,Dhenkanal,56,Angul,63,,,,,,,,302.0,1.0,44.0,305.0,5.0,2.0,659.0,0.0,5.0,664.0,0.0
9,Dhenkanal,56,Angul,64,,,,,,,,132.0,2.0,20.0,252.0,2.0,1.0,409.0,0.0,1.0,410.0,0.0
9,Dhenkanal,56,Angul,65,,,,,,,,54.0,1.0,60.0,319.0,2.0,3.0,439.0,0.0,1.0,440.0,0.0
9,Dhenkanal,56,Angul,66,,,,,,,,272.0,7.0,60.0,615.0,9.0,3.0,966.0,0.0,5.0,971.0,0.0
9,Dhenkanal,56,Angul,67,,,,,,,,194.0,4.0,42.0,274.0,0.0,1.0,515.0,0.0,4.0,519.0,0.0
9,Dhenkanal,56,Angul,68,,,,,,,,212.0,8.0,135.0,331.0,4.0,3.0,693.0,0.0,3.0,696.0,0.0
9,Dhenkanal,56,Angul,69,,,,,,,,158.0,2.0,58.0,237.0,2.0,3.0,460.0,0.0,7.0,467.0,0.0
9,Dhenkanal,56,Angul,70,,,,,,,,183.0,3.0,39.0,454.0,4.0,1.0,684.0,0.0,9.0,693.0,0.0
9,Dhenkanal,56,Angul,71,,,,,,,,319.0,6.0,104.0,427.0,4.0,6.0,866.0,0.0,19.0,885.0,0.0
9,Dhenkanal,56,Angul,72,,,,,,,,370.0,5.0,156.0,369.0,11.0,14.0,925.0,0.0,11.0,936.0,0.0
9,Dhenkanal,56,Angul,73,,,,,,,,249.0,3.0,40.0,325.0,1.0,0.0,618.0,0.0,2.0,620.0,0.0
9,Dhenkanal,56,Angul,74,,,,,,,,488.0,7.0,83.0,352.0,3.0,6.0,939.0,0.0,8.0,947.0,0.0
9,Dhenkanal,56,Angul,75,,,,,,,,418.0,1.0,12.0,245.0,6.0,5.0,687.0,0.0,15.0,702.0,0.0
9,Dhenkanal,56,Angul,76,,,,,,,,350.0,3.0,33.0,337.0,4.0,6.0,733.0,0.0,9.0,742.0,0.0
9,Dhenkanal,56,Angul,77,,,,,,,,196.0,6.0,43.0,522.0,9.0,7.0,783.0,0.0,21.0,804.0,0.0
9,Dhenkanal,56,Angul,78,,,,,,,,450.0,3.0,16.0,405.0,3.0,1.0,878.0,0.0,5.0,883.0,0.0
9,Dhenkanal,56,Angul,79,,,,,,,,335.0,7.0,26.0,519.0,18.0,5.0,910.0,0.0,20.0,930.0,0.0
9,Dhenkanal,56,Angul,80,,,,,,,,428.0,5.0,53.0,349.0,6.0,4.0,845.0,0.0,14.0,859.0,0.0
9,Dhenkanal,56,Angul,81,,,,,,,,289.0,3.0,35.0,472.0,3.0,1.0,803.0,0.0,8.0,811.0,0.0
9,Dhenkanal,56,Angul,82,,,,,,,,318.0,3.0,28.0,439.0,12.0,3.0,803.0,0.0,17.0,820.0,0.0
9,Dhenkanal,56,Angul,83,,,,,,,,343.0,3.0,44.0,567.0,9.0,1.0,967.0,0.0,0.0,967.0,0.0
9,Dhenkanal,56,Angul,84,,,,,,,,205.0,4.0,12.0,403.0,5.0,3.0,632.0,0.0,1.0,633.0,0.0
9,Dhenkanal,56,Angul,85,,,,,,,,205.0,5.0,24.0,343.0,1.0,2.0,580.0,0.0,2.0,582.0,0.0
9,Dhenkanal,56,Angul,86,,,,,,,,193.0,1.0,30.0,214.0,4.0,3.0,445.0,0.0,5.0,450.0,0.0
9,Dhenkanal,56,Angul,87,,,,,,,,198.0,6.0,15.0,271.0,3.0,6.0,499.0,0.0,14.0,513.0,0.0
9,Dhenkanal,56,Angul,88,,,,,,,,207.0,9.0,26.0,386.0,14.0,6.0,648.0,0.0,16.0,664.0,0.0
9,Dhenkanal,56,Angul,89,,,,,,,,352.0,9.0,35.0,443.0,5.0,7.0,851.0,0.0,8.0,859.0,0.0
9,Dhenkanal,56,Angul,90,,,,,,,,188.0,11.0,10.0,170.0,2.0,0.0,381.0,0.0,5.0,386.0,0.0
9,Dhenkanal,56,Angul,91,,,,,,,,476.0,14.0,16.0,218.0,7.0,3.0,734.0,0.0,4.0,738.0,0.0
9,Dhenkanal,56,Angul,92,,,,,,,,206.0,1.0,19.0,255.0,3.0,4.0,488.0,0.0,5.0,493.0,0.0
9,Dhenkanal,56,Angul,93,,,,,,,,169.0,3.0,15.0,214.0,3.0,1.0,405.0,0.0,1.0,406.0,0.0
9,Dhenkanal,56,Angul,94,,,,,,,,336.0,8.0,29.0,305.0,6.0,3.0,687.0,0.0,9.0,696.0,0.0
9,Dhenkanal,56,Angul,95,,,,,,,,459.0,5.0,30.0,84.0,2.0,8.0,588.0,0.0,20.0,608.0,0.0
9,Dhenkanal,56,Angul,96,,,,,,,,620.0,4.0,25.0,57.0,4.0,0.0,710.0,0.0,0.0,710.0,0.0
9,Dhenkanal,56,Angul,97,,,,,,,,283.0,0.0,27.0,159.0,3.0,2.0,474.0,0.0,1.0,475.0,0.0
9,Dhenkanal,56,Angul,98,,,,,,,,278.0,5.0,23.0,216.0,6.0,4.0,532.0,0.0,9.0,541.0,0.0
9,Dhenkanal,56,Angul,99,,,,,,,,400.0,8.0,66.0,201.0,11.0,3.0,689.0,0.0,17.0,706.0,0.0
9,Dhenkanal,56,Angul,100,,,,,,,,344.0,10.0,45.0,252.0,19.0,8.0,678.0,0.0,14.0,692.0,0.0
9,Dhenkanal,56,Angul,101,,,,,,,,418.0,6.0,37.0,333.0,8.0,4.0,806.0,0.0,16.0,822.0,0.0
9,Dhenkanal,56,Angul,102,,,,,,,,357.0,4.0,29.0,487.0,11.0,5.0,893.0,0.0,11.0,904.0,0.0
9,Dhenkanal,56,Angul,103,,,,,,,,283.0,1.0,24.0,535.0,10.0,7.0,860.0,0.0,12.0,872.0,0.0
9,Dhenkanal,56,Angul,104,,,,,,,,202.0,1.0,63.0,617.0,1.0,1.0,885.0,0.0,1.0,886.0,0.0
9,Dhenkanal,56,Angul,105,,,,,,,,274.0,5.0,68.0,571.0,5.0,3.0,926.0,0.0,5.0,931.0,0.0
9,Dhenkanal,56,Angul,106,,,,,,,,335.0,2.0,31.0,386.0,3.0,3.0,760.0,0.0,5.0,765.0,0.0
9,Dhenkanal,56,Angul,107,,,,,,,,306.0,3.0,57.0,474.0,4.0,0.0,844.0,0.0,4.0,848.0,0.0
9,Dhenkanal,56,Angul,108,,,,,,,,331.0,7.0,55.0,371.0,4.0,2.0,770.0,0.0,5.0,775.0,0.0
9,Dhenkanal,56,Angul,109,,,,,,,,157.0,6.0,22.0,262.0,4.0,4.0,455.0,0.0,4.0,459.0,0.0
9,Dhenkanal,56,Angul,110,,,,,,,,224.0,2.0,47.0,159.0,1.0,1.0,434.0,0.0,0.0,434.0,0.0
9,Dhenkanal,56,Angul,111,,,,,,,,270.0,2.0,7.0,230.0,2.0,0.0,511.0,0.0,2.0,513.0,0.0
