pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of Valid votes,No. of Rejected votes,NOTA,Total,No. of Tendered Votes
9,Dhenkanal,57,Dhenkanal,1,,,,,,,,596,9,101,279,4,0,4,993,0,9,1002,0
9,Dhenkanal,57,Dhenkanal,2,,,,,,,,448,7,73,324,5,5,5,867,0,14,881,0
9,Dhenkanal,57,Dhenkanal,3,,,,,,,,447,4,11,116,1,2,0,581,0,7,588,0
9,Dhenkanal,57,Dhenkanal,4,,,,,,,,363,0,66,224,2,3,2,660,0,5,665,0
9,Dhenkanal,57,Dhenkanal,5,,,,,,,,396,6,26,262,6,3,5,704,0,9,713,0
9,Dhenkanal,57,Dhenkanal,6,,,,,,,,604,7,26,284,5,3,0,929,0,4,933,0
9,Dhenkanal,57,Dhenkanal,7,,,,,,,,693,5,14,298,3,3,3,1019,0,3,1022,0
9,Dhenkanal,57,Dhenkanal,8,,,,,,,,251,2,18,221,3,1,1,497,0,0,497,0
9,Dhenkanal,57,Dhenkanal,10,,,,,,,,338,8,19,160,3,4,7,539,0,14,553,0
9,Dhenkanal,57,Dhenkanal,11,,,,,,,,504,2,12,198,1,0,2,719,0,2,721,0
9,Dhenkanal,57,Dhenkanal,12,,,,,,,,426,9,56,207,7,3,5,713,0,7,720,0
9,Dhenkanal,57,Dhenkanal,13,,,,,,,,368,2,37,287,2,1,1,698,0,0,698,0
9,Dhenkanal,57,Dhenkanal,14,,,,,,,,200,1,11,235,0,1,1,449,0,2,451,0
9,Dhenkanal,57,Dhenkanal,15,,,,,,,,333,2,34,366,0,2,2,739,0,9,748,0
9,Dhenkanal,57,Dhenkanal,16,,,,,,,,395,6,38,409,5,4,3,860,0,8,868,0
9,Dhenkanal,57,Dhenkanal,17,,,,,,,,242,1,172,280,0,0,4,699,0,7,706,0
9,Dhenkanal,57,Dhenkanal,18,,,,,,,,131,0,54,197,2,0,0,384,0,3,387,0
