pc_id,pc_name,ac_id,ac_name,Polling station no.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total No. of Valid votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes
9,Dhenkanal,58,Hindol,1,,,,,,,,376,434,66,5,4,0,885,0,4,889,0
9,Dhenkanal,58,Hindol,2,,,,,,,,257,286,45,3,5,9,605,0,8,613,0
9,Dhenkanal,58,Hindol,3,,,,,,,,203,190,34,2,2,3,434,0,5,439,0
9,Dhenkanal,58,Hindol,4,,,,,,,,325,502,32,7,6,2,874,0,4,878,0
9,Dhenkanal,58,Hindol,5,,,,,,,,173,393,28,1,0,0,595,0,0,595,0
9,Dhenkanal,58,Hindol,6,,,,,,,,282,293,47,4,2,7,635,0,10,645,0
9,Dhenkanal,58,Hindol,7,,,,,,,,241,179,10,1,3,4,438,0,1,439,0
9,Dhenkanal,58,Hindol,8,,,,,,,,102,86,51,2,0,0,241,0,0,241,0
9,Dhenkanal,58,Hindol,9,,,,,,,,305,586,15,4,0,4,914,0,9,923,0
9,Dhenkanal,58,Hindol,10,,,,,,,,230,516,22,3,3,3,777,0,5,782,0
9,Dhenkanal,58,Hindol,11,,,,,,,,444,439,40,2,3,0,928,0,3,931,0
9,Dhenkanal,58,Hindol,12,,,,,,,,214,133,7,0,0,1,355,0,2,357,0
9,Dhenkanal,58,Hindol,13,,,,,,,,427,453,18,7,2,0,907,0,6,913,0
9,Dhenkanal,58,Hindol,14,,,,,,,,345,335,16,2,1,1,700,0,4,704,0
9,Dhenkanal,58,Hindol,15,,,,,,,,324,577,11,5,3,0,920,0,7,927,0
9,Dhenkanal,58,Hindol,16,,,,,,,,185,601,18,4,5,10,823,0,5,828,0
9,Dhenkanal,58,Hindol,17,,,,,,,,318,545,17,3,5,9,897,0,5,902,0
9,Dhenkanal,58,Hindol,18,,,,,,,,301,370,23,4,0,1,699,0,2,701,0
9,Dhenkanal,58,Hindol,19,,,,,,,,224,264,10,2,1,2,503,0,1,504,0
9,Dhenkanal,58,Hindol,20,,,,,,,,439,522,59,5,5,6,1036,0,2,1038,0
9,Dhenkanal,58,Hindol,21,,,,,,,,456,468,25,13,4,14,980,0,18,998,0
9,Dhenkanal,58,Hindol,22,,,,,,,,185,384,24,4,4,6,607,0,4,611,0
9,Dhenkanal,58,Hindol,23,,,,,,,,187,278,21,4,1,4,495,0,7,502,0
9,Dhenkanal,58,Hindol,24,,,,,,,,155,394,13,2,2,4,570,0,1,571,0
