pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes
9,Dhenkanal,59,Kamakhyanagar,1,,,,,,,,51.0,3.0,14.0,114.0,27.0,6.0,4.0,4.0,5.0,11.0,239.0,0.0,20.0,259.0,0.0
9,Dhenkanal,59,Kamakhyanagar,2,,,,,,,,107.0,6.0,4.0,74.0,9.0,4.0,5.0,6.0,5.0,4.0,224.0,0.0,7.0,231.0,0.0
9,Dhenkanal,59,Kamakhyanagar,3,,,,,,,,82.0,3.0,13.0,21.0,19.0,2.0,5.0,2.0,1.0,3.0,151.0,0.0,11.0,162.0,0.0
9,Dhenkanal,59,Kamakhyanagar,4,,,,,,,,41.0,3.0,4.0,154.0,29.0,5.0,6.0,5.0,2.0,5.0,254.0,0.0,0.0,254.0,0.0
9,Dhenkanal,59,Kamakhyanagar,5,,,,,,,,158.0,12.0,2.0,30.0,56.0,5.0,13.0,4.0,6.0,15.0,301.0,0.0,9.0,310.0,0.0
9,Dhenkanal,59,Kamakhyanagar,6,,,,,,,,61.0,2.0,6.0,109.0,30.0,2.0,2.0,2.0,1.0,28.0,243.0,0.0,3.0,246.0,0.0
9,Dhenkanal,59,Kamakhyanagar,7,,,,,,,,86.0,0.0,2.0,56.0,33.0,6.0,1.0,1.0,2.0,3.0,190.0,0.0,19.0,209.0,0.0
9,Dhenkanal,59,Kamakhyanagar,8,,,,,,,,34.0,2.0,1.0,135.0,9.0,5.0,1.0,3.0,1.0,1.0,192.0,0.0,4.0,196.0,0.0
9,Dhenkanal,59,Kamakhyanagar,9,,,,,,,,107.0,2.0,6.0,145.0,21.0,6.0,6.0,4.0,5.0,19.0,321.0,0.0,9.0,330.0,0.0
9,Dhenkanal,59,Kamakhyanagar,10,,,,,,,,121.0,4.0,7.0,235.0,27.0,3.0,3.0,2.0,6.0,6.0,414.0,0.0,14.0,428.0,0.0
