pc_id,pc_name,ac_id,ac_name,Serial No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of Valid votes,No. of rejected Votes  (Test votes),Votes for NOTA option,Total,No of tendered votes
1,Bargarh,6,Brajarajnagar,1,,,,,,,,216,24,264,7,2,1,1,2,0,517,0,6,523,0.0
1,Bargarh,6,Brajarajnagar,2,,,,,,,,308,22,338,7,8,3,4,2,1,693,0,4,697,0.0
1,Bargarh,6,Brajarajnagar,3,,,,,,,,428,90,431,13,8,3,4,5,2,984,0,7,991,0.0
1,Bargarh,6,Brajarajnagar,4,,,,,,,,356,84,378,7,9,5,4,6,0,849,0,11,860,0.0
1,Bargarh,6,Brajarajnagar,5,,,,,,,,309,9,221,5,3,1,3,1,1,553,0,5,558,0.0
1,Bargarh,6,Brajarajnagar,6,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,Bargarh,6,Brajarajnagar,7,,,,,,,,414,36,384,3,1,0,0,3,1,842,0,5,847,0.0
1,Bargarh,6,Brajarajnagar,8,,,,,,,,239,42,187,1,0,2,0,0,0,471,0,2,473,0.0
1,Bargarh,6,Brajarajnagar,9,,,,,,,,521,24,429,8,5,4,0,0,3,994,0,3,997,0.0
1,Bargarh,6,Brajarajnagar,10,,,,,,,,337,17,189,4,4,0,0,1,0,552,0,1,553,0.0
1,Bargarh,6,Brajarajnagar,11,,,,,,,,349,19,283,10,9,6,3,2,2,683,0,3,686,0.0
1,Bargarh,6,Brajarajnagar,12,,,,,,,,120,8,223,5,1,1,1,1,3,363,0,1,364,0.0
1,Bargarh,6,Brajarajnagar,13,,,,,,,,339,17,476,7,1,0,1,2,2,845,0,7,852,0.0
1,Bargarh,6,Brajarajnagar,14,,,,,,,,298,32,288,13,13,1,3,6,4,658,0,8,666,0.0
1,Bargarh,6,Brajarajnagar,15,,,,,,,,305,72,324,9,10,9,5,5,2,741,0,3,744,0.0
1,Bargarh,6,Brajarajnagar,16,,,,,,,,228,10,195,4,4,1,0,0,0,442,0,3,445,0.0
1,Bargarh,6,Brajarajnagar,17,,,,,,,,239,19,172,1,2,1,0,1,2,437,0,2,439,0.0
1,Bargarh,6,Brajarajnagar,18,,,,,,,,253,10,221,6,1,1,2,3,0,497,0,7,504,0.0
1,Bargarh,6,Brajarajnagar,19,,,,,,,,237,29,245,6,8,1,5,5,3,539,0,4,543,0.0
1,Bargarh,6,Brajarajnagar,20,,,,,,,,344,16,261,3,11,0,3,2,2,642,0,6,648,0.0
1,Bargarh,6,Brajarajnagar,21,,,,,,,,490,19,190,6,1,4,5,0,1,716,0,2,718,0.0
1,Bargarh,6,Brajarajnagar,22,,,,,,,,323,13,166,1,2,2,2,0,0,509,0,1,510,0.0
1,Bargarh,6,Brajarajnagar,23,,,,,,,,422,27,334,3,8,1,6,2,4,807,0,5,812,0.0
1,Bargarh,6,Brajarajnagar,24,,,,,,,,364,26,323,5,9,2,4,2,2,737,0,7,744,0.0
1,Bargarh,6,Brajarajnagar,25,,,,,,,,215,13,204,2,2,2,3,3,1,445,0,6,451,0.0
1,Bargarh,6,Brajarajnagar,26,,,,,,,,156,3,187,5,1,0,0,0,0,352,0,3,355,0.0
1,Bargarh,6,Brajarajnagar,27,,,,,,,,204,9,180,3,2,2,1,0,1,402,0,1,403,0.0
1,Bargarh,6,Brajarajnagar,28,,,,,,,,344,6,378,7,7,3,3,2,2,752,0,4,756,0.0
1,Bargarh,6,Brajarajnagar,29,,,,,,,,309,23,271,8,4,1,2,2,1,621,0,1,622,0.0
1,Bargarh,6,Brajarajnagar,30,,,,,,,,374,45,288,10,3,1,1,3,2,727,0,9,736,0.0
1,Bargarh,6,Brajarajnagar,31,,,,,,,,328,14,218,6,2,3,4,1,1,577,0,5,582,0.0
1,Bargarh,6,Brajarajnagar,32,,,,,,,,471,33,297,5,3,3,2,2,7,823,0,21,844,0.0
1,Bargarh,6,Brajarajnagar,33,,,,,,,,251,22,208,7,5,3,5,2,3,506,0,6,512,0.0
1,Bargarh,6,Brajarajnagar,34,,,,,,,,219,1,81,0,1,3,1,0,0,306,0,2,308,0.0
1,Bargarh,6,Brajarajnagar,35,,,,,,,,353,11,288,9,1,4,4,2,1,673,0,6,679,0.0
1,Bargarh,6,Brajarajnagar,36,,,,,,,,374,14,244,12,2,3,10,12,6,677,0,16,693,0.0
1,Bargarh,6,Brajarajnagar,37,,,,,,,,478,15,430,10,3,2,1,2,3,944,0,8,952,0.0
1,Bargarh,6,Brajarajnagar,38,,,,,,,,407,23,322,5,4,4,4,0,3,772,0,9,781,0.0
1,Bargarh,6,Brajarajnagar,39,,,,,,,,208,13,291,3,5,1,3,0,0,524,0,2,526,0.0
1,Bargarh,6,Brajarajnagar,40,,,,,,,,347,11,201,3,5,0,0,2,1,570,0,11,581,0.0
1,Bargarh,6,Brajarajnagar,41,,,,,,,,208,4,211,4,0,0,0,1,1,429,0,6,435,0.0
1,Bargarh,6,Brajarajnagar,42,,,,,,,,208,9,171,1,3,0,3,1,2,398,0,2,400,0.0
1,Bargarh,6,Brajarajnagar,43,,,,,,,,543,22,273,15,3,0,2,4,3,865,0,8,873,0.0
1,Bargarh,6,Brajarajnagar,44,,,,,,,,269,16,123,2,4,0,0,2,2,418,0,6,424,0.0
1,Bargarh,6,Brajarajnagar,45,,,,,,,,175,4,163,3,1,0,0,0,0,346,0,0,346,0.0
1,Bargarh,6,Brajarajnagar,46,,,,,,,,389,21,302,4,3,7,3,6,2,737,0,9,746,0.0
1,Bargarh,6,Brajarajnagar,47,,,,,,,,217,7,142,0,0,1,2,2,0,371,0,8,379,0.0
1,Bargarh,6,Brajarajnagar,48,,,,,,,,267,16,239,3,3,3,0,3,6,540,0,7,547,0.0
1,Bargarh,6,Brajarajnagar,49,,,,,,,,364,10,205,0,2,0,2,1,1,585,0,1,586,0.0
1,Bargarh,6,Brajarajnagar,50,,,,,,,,269,5,108,1,0,1,2,0,1,387,0,1,388,0.0
1,Bargarh,6,Brajarajnagar,51,,,,,,,,233,3,256,1,1,1,0,2,0,497,0,2,499,0.0
1,Bargarh,6,Brajarajnagar,52,,,,,,,,343,21,225,2,3,1,0,2,2,599,0,4,603,0.0
1,Bargarh,6,Brajarajnagar,53,,,,,,,,372,45,362,4,4,1,2,0,0,790,0,1,791,0.0
1,Bargarh,6,Brajarajnagar,54,,,,,,,,181,12,316,1,2,0,1,3,1,517,0,5,522,0.0
1,Bargarh,6,Brajarajnagar,55,,,,,,,,427,15,280,8,3,2,3,2,0,740,0,4,744,0.0
1,Bargarh,6,Brajarajnagar,56,,,,,,,,249,3,84,0,0,0,1,3,1,341,0,2,343,0.0
1,Bargarh,6,Brajarajnagar,57,,,,,,,,201,17,152,1,1,0,0,0,2,374,0,0,374,0.0
1,Bargarh,6,Brajarajnagar,58,,,,,,,,301,11,273,3,0,6,0,1,2,597,0,4,601,0.0
1,Bargarh,6,Brajarajnagar,59,,,,,,,,283,11,198,4,6,1,3,1,2,509,0,5,514,0.0
1,Bargarh,6,Brajarajnagar,60,,,,,,,,209,10,174,4,2,0,4,2,0,405,0,1,406,0.0
1,Bargarh,6,Brajarajnagar,61,,,,,,,,99,72,133,2,3,1,0,1,2,313,0,0,313,0.0
1,Bargarh,6,Brajarajnagar,62,,,,,,,,281,32,219,6,7,4,4,4,2,559,0,6,565,0.0
