pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,TOTAL OF VALID VOTES,NO. OF REJECTED VOTES,NOTA,TOTAL,NO. OF TENDERED VOTES
9,Dhenkanal,60,Parjanga,1,,,,,,,,1,195,289,14,4,1,1,12,517,0,0,517,0
9,Dhenkanal,60,Parjanga,2,,,,,,,,2,287,260,23,3,1,1,15,592,0,4,596,0
9,Dhenkanal,60,Parjanga,3,,,,,,,,5,383,430,73,1,0,1,25,918,0,6,924,0
9,Dhenkanal,60,Parjanga,4,,,,,,,,1,546,343,6,5,1,0,19,921,0,1,922,0
9,Dhenkanal,60,Parjanga,5,,,,,,,,0,338,368,17,5,2,0,29,759,0,5,764,0
9,Dhenkanal,60,Parjanga,6,,,,,,,,10,295,419,120,4,1,5,7,861,0,13,874,0
9,Dhenkanal,60,Parjanga,7,,,,,,,,5,311,435,102,10,4,2,9,878,0,2,880,0
9,Dhenkanal,60,Parjanga,8,,,,,,,,3,273,373,43,29,2,0,64,787,0,0,787,0
9,Dhenkanal,60,Parjanga,9,,,,,,,,2,168,274,17,3,3,0,22,489,0,1,490,0
9,Dhenkanal,60,Parjanga,10,,,,,,,,8,172,291,71,26,0,0,13,581,0,2,583,0
9,Dhenkanal,60,Parjanga,11,,,,,,,,1,252,376,20,2,1,1,5,658,0,1,659,0
9,Dhenkanal,60,Parjanga,12,,,,,,,,0,134,335,29,1,32,2,22,555,0,5,560,0
9,Dhenkanal,60,Parjanga,13,,,,,,,,2,112,167,127,7,15,2,19,451,0,10,461,0
9,Dhenkanal,60,Parjanga,14,,,,,,,,0,84,228,9,1,0,1,13,336,0,1,337,0
9,Dhenkanal,60,Parjanga,15,,,,,,,,2,100,162,18,2,1,2,11,298,0,3,301,0
9,Dhenkanal,60,Parjanga,16,,,,,,,,2,167,287,51,29,19,0,15,570,0,3,573,0
9,Dhenkanal,60,Parjanga,17,,,,,,,,2,158,353,21,2,20,0,14,570,0,6,576,0
9,Dhenkanal,60,Parjanga,18,,,,,,,,0,172,284,36,3,14,6,7,522,0,4,526,0
9,Dhenkanal,60,Parjanga,19,,,,,,,,3,100,195,41,5,3,1,22,370,0,6,376,0
9,Dhenkanal,60,Parjanga,20,,,,,,,,0,68,68,24,0,2,0,1,163,0,2,165,0
9,Dhenkanal,60,Parjanga,21,,,,,,,,0,68,57,19,0,2,0,2,148,0,1,149,0
9,Dhenkanal,60,Parjanga,22,,,,,,,,2,172,266,31,5,1,2,25,504,0,3,507,0
9,Dhenkanal,60,Parjanga,23,,,,,,,,1,211,211,20,3,3,4,23,476,0,5,481,0
9,Dhenkanal,60,Parjanga,24,,,,,,,,0,176,326,23,6,5,6,56,598,0,1,599,0
9,Dhenkanal,60,Parjanga,25,,,,,,,,3,289,389,24,2,3,3,8,721,0,10,731,0
9,Dhenkanal,60,Parjanga,26,,,,,,,,3,98,302,12,4,0,3,9,431,0,2,433,0
9,Dhenkanal,60,Parjanga,27,,,,,,,,0,91,207,13,2,3,1,9,326,0,0,326,0
9,Dhenkanal,60,Parjanga,28,,,,,,,,1,167,614,84,5,6,1,15,893,0,6,899,0
9,Dhenkanal,60,Parjanga,29,,,,,,,,2,166,334,33,9,0,2,79,625,0,6,631,0
9,Dhenkanal,60,Parjanga,30,,,,,,,,3,250,463,29,0,0,3,41,789,0,1,790,0
9,Dhenkanal,60,Parjanga,31,,,,,,,,1,149,203,10,2,0,0,39,404,0,4,408,0
9,Dhenkanal,60,Parjanga,32,,,,,,,,6,257,564,39,13,6,0,57,942,0,1,943,0
9,Dhenkanal,60,Parjanga,33,,,,,,,,1,227,392,66,1,2,7,17,713,0,5,718,0
9,Dhenkanal,60,Parjanga,34,,,,,,,,1,272,328,66,6,3,0,16,692,0,3,695,0
9,Dhenkanal,60,Parjanga,35,,,,,,,,1,226,290,33,2,0,0,11,563,0,5,568,0
9,Dhenkanal,60,Parjanga,36,,,,,,,,0,152,449,23,1,1,0,1,627,0,0,627,0
9,Dhenkanal,60,Parjanga,37,,,,,,,,1,299,333,33,2,1,0,9,678,0,1,679,0
9,Dhenkanal,60,Parjanga,38,,,,,,,,1,212,386,7,4,1,0,31,642,0,2,644,0
9,Dhenkanal,60,Parjanga,39,,,,,,,,2,221,412,21,2,0,1,22,681,0,3,684,0
9,Dhenkanal,60,Parjanga,40,,,,,,,,2,225,499,32,4,3,3,38,806,0,6,812,0
9,Dhenkanal,60,Parjanga,41,,,,,,,,2,205,303,20,3,0,0,93,626,0,1,627,0
9,Dhenkanal,60,Parjanga,42,,,,,,,,0,129,298,6,0,0,0,12,445,0,0,445,0
9,Dhenkanal,60,Parjanga,43,,,,,,,,3,392,619,35,7,3,2,28,1089,0,4,1093,0
9,Dhenkanal,60,Parjanga,44,,,,,,,,0,322,428,20,3,1,2,49,825,0,0,825,0
9,Dhenkanal,60,Parjanga,45,,,,,,,,2,486,437,29,10,2,3,7,976,0,4,980,0
9,Dhenkanal,60,Parjanga,47,,,,,,,,4,354,338,18,2,1,0,7,724,0,2,726,0
9,Dhenkanal,60,Parjanga,48,,,,,,,,0,341,266,16,4,1,0,2,630,0,1,631,0
9,Dhenkanal,60,Parjanga,49,,,,,,,,0,146,327,47,3,0,0,1,524,0,0,524,0
9,Dhenkanal,60,Parjanga,50,,,,,,,,2,274,641,58,26,2,3,3,1009,0,10,1019,0
9,Dhenkanal,60,Parjanga,51,,,,,,,,4,299,382,79,18,1,1,2,786,0,6,792,0
9,Dhenkanal,60,Parjanga,52,,,,,,,,7,479,381,39,8,4,1,4,923,0,5,928,0
9,Dhenkanal,60,Parjanga,53,,,,,,,,1,420,349,10,6,1,3,11,801,0,6,807,0
9,Dhenkanal,60,Parjanga,54,,,,,,,,7,337,485,49,68,17,5,13,981,0,5,986,0
9,Dhenkanal,60,Parjanga,55,,,,,,,,7,239,506,52,44,3,0,7,858,0,5,863,0
9,Dhenkanal,60,Parjanga,56,,,,,,,,9,226,318,17,6,1,4,14,595,0,3,598,0
9,Dhenkanal,60,Parjanga,57,,,,,,,,2,258,346,17,5,0,1,19,648,0,2,650,0
9,Dhenkanal,60,Parjanga,58,,,,,,,,0,229,245,15,2,0,1,3,495,0,2,497,0
9,Dhenkanal,60,Parjanga,59,,,,,,,,4,181,271,7,0,0,0,5,468,0,1,469,0
9,Dhenkanal,60,Parjanga,60,,,,,,,,2,273,464,18,4,2,4,7,774,0,4,778,0
9,Dhenkanal,60,Parjanga,61,,,,,,,,1,202,396,23,4,0,0,6,632,0,3,635,0
9,Dhenkanal,60,Parjanga,62,,,,,,,,3,268,328,13,4,3,0,12,631,0,0,631,0
9,Dhenkanal,60,Parjanga,63,,,,,,,,2,491,476,22,1,1,2,2,997,0,7,1004,0
9,Dhenkanal,60,Parjanga,64,,,,,,,,4,362,281,18,7,0,1,8,681,0,0,681,0
9,Dhenkanal,60,Parjanga,65,,,,,,,,7,211,277,18,0,0,2,2,517,0,4,521,0
9,Dhenkanal,60,Parjanga,66,,,,,,,,2,356,424,11,3,2,1,8,807,0,6,813,0
9,Dhenkanal,60,Parjanga,67,,,,,,,,2,368,411,5,1,1,3,11,802,0,5,807,0
9,Dhenkanal,60,Parjanga,68,,,,,,,,1,355,432,18,3,1,2,13,825,0,3,828,0
9,Dhenkanal,60,Parjanga,69,,,,,,,,2,293,431,13,3,0,0,14,756,0,5,761,0
9,Dhenkanal,60,Parjanga,70,,,,,,,,8,327,422,36,6,5,1,51,856,0,3,859,0
9,Dhenkanal,60,Parjanga,71,,,,,,,,3,140,480,13,5,2,2,164,809,0,8,817,0
9,Dhenkanal,60,Parjanga,72,,,,,,,,2,151,363,9,1,0,0,26,552,0,1,553,0
9,Dhenkanal,60,Parjanga,73,,,,,,,,2,232,314,13,8,0,0,28,597,0,4,601,0
9,Dhenkanal,60,Parjanga,74,,,,,,,,0,196,294,16,4,0,0,29,539,0,3,542,0
