pc_id,pc_name,ac_id,ac_name,Sl. No. Of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total valid votes,No. Of rejected votes (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
9,Dhenkanal,62,Talcher,1,,,,,,,,285.0,5.0,86.0,479.0,3.0,6.0,7.0,11.0,882.0,0.0,14.0,896.0,0.0
9,Dhenkanal,62,Talcher,2,,,,,,,,267.0,9.0,61.0,354.0,2.0,3.0,3.0,3.0,702.0,0.0,11.0,713.0,0.0
9,Dhenkanal,62,Talcher,3,,,,,,,,207.0,6.0,39.0,396.0,3.0,2.0,1.0,2.0,656.0,0.0,6.0,662.0,0.0
9,Dhenkanal,62,Talcher,4,,,,,,,,225.0,16.0,157.0,388.0,2.0,4.0,3.0,3.0,798.0,0.0,9.0,807.0,0.0
9,Dhenkanal,62,Talcher,5,,,,,,,,217.0,12.0,90.0,296.0,2.0,4.0,3.0,4.0,628.0,0.0,9.0,637.0,0.0
9,Dhenkanal,62,Talcher,6,,,,,,,,421.0,8.0,26.0,403.0,4.0,6.0,3.0,1.0,872.0,0.0,3.0,875.0,0.0
9,Dhenkanal,62,Talcher,7,,,,,,,,182.0,4.0,34.0,463.0,2.0,0.0,0.0,0.0,685.0,0.0,3.0,688.0,0.0
9,Dhenkanal,62,Talcher,8,,,,,,,,447.0,12.0,51.0,479.0,12.0,4.0,2.0,1.0,1008.0,0.0,10.0,1018.0,0.0
9,Dhenkanal,62,Talcher,9,,,,,,,,297.0,9.0,24.0,267.0,4.0,4.0,5.0,8.0,618.0,0.0,19.0,637.0,0.0
9,Dhenkanal,62,Talcher,10,,,,,,,,239.0,5.0,26.0,332.0,2.0,4.0,0.0,3.0,611.0,0.0,6.0,617.0,0.0
9,Dhenkanal,62,Talcher,11,,,,,,,,424.0,8.0,44.0,471.0,2.0,5.0,1.0,2.0,957.0,0.0,20.0,977.0,0.0
9,Dhenkanal,62,Talcher,12,,,,,,,,569.0,16.0,36.0,332.0,4.0,8.0,2.0,5.0,972.0,0.0,9.0,981.0,0.0
9,Dhenkanal,62,Talcher,13,,,,,,,,439.0,16.0,59.0,360.0,3.0,5.0,5.0,3.0,890.0,0.0,1.0,891.0,0.0
9,Dhenkanal,62,Talcher,14,,,,,,,,300.0,12.0,17.0,403.0,5.0,7.0,6.0,7.0,757.0,0.0,5.0,762.0,0.0
9,Dhenkanal,62,Talcher,15,,,,,,,,300.0,5.0,42.0,342.0,4.0,8.0,5.0,4.0,710.0,0.0,13.0,723.0,0.0
9,Dhenkanal,62,Talcher,16,,,,,,,,224.0,8.0,26.0,640.0,4.0,2.0,1.0,5.0,910.0,0.0,11.0,921.0,0.0
9,Dhenkanal,62,Talcher,17,,,,,,,,380.0,7.0,69.0,238.0,3.0,6.0,6.0,6.0,715.0,0.0,11.0,726.0,0.0
9,Dhenkanal,62,Talcher,18,,,,,,,,385.0,9.0,69.0,190.0,2.0,10.0,2.0,2.0,669.0,0.0,14.0,683.0,0.0
