pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Sation,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of Valid votes,No. of rejected votes (Test Votes),Votes for NOTA option,Total,No. of Tender Votes
10,Bolangir,63,Kantabanji,1,,,,,,,,226,252,386,14,3,1,882,0,33,915,0
10,Bolangir,63,Kantabanji,2,,,,,,,,184,155,215,150,44,6,754,0,9,763,0
10,Bolangir,63,Kantabanji,3,,,,,,,,172,116,285,5,3,7,588,0,13,601,0
10,Bolangir,63,Kantabanji,4,,,,,,,,145,214,288,9,7,5,668,0,11,679,0
10,Bolangir,63,Kantabanji,5,,,,,,,,158,39,259,3,5,4,468,0,11,479,0
10,Bolangir,63,Kantabanji,6,,,,,,,,73,198,313,2,3,3,592,0,13,605,0
10,Bolangir,63,Kantabanji,7,,,,,,,,213,255,369,5,18,5,865,0,10,875,0
10,Bolangir,63,Kantabanji,8,,,,,,,,103,248,208,1,1,3,564,0,4,568,0
10,Bolangir,63,Kantabanji,9,,,,,,,,59,169,162,7,4,0,401,0,2,403,0
10,Bolangir,63,Kantabanji,10,,,,,,,,151,339,376,16,7,4,893,0,9,902,0
10,Bolangir,63,Kantabanji,11,,,,,,,,163,257,285,6,10,3,724,0,10,734,0
10,Bolangir,63,Kantabanji,12,,,,,,,,336,202,287,20,8,2,855,0,7,862,0
10,Bolangir,63,Kantabanji,13,,,,,,,,266,186,312,12,4,1,781,0,6,787,0
10,Bolangir,63,Kantabanji,14,,,,,,,,197,162,329,13,100,5,806,0,7,813,0
10,Bolangir,63,Kantabanji,15,,,,,,,,88,72,123,26,5,2,316,0,1,317,0
10,Bolangir,63,Kantabanji,16,,,,,,,,284,204,367,9,17,4,885,0,11,896,0
10,Bolangir,63,Kantabanji,17,,,,,,,,112,161,158,10,30,6,477,0,12,489,0
10,Bolangir,63,Kantabanji,18,,,,,,,,84,106,259,13,8,1,471,0,4,475,0
10,Bolangir,63,Kantabanji,19,,,,,,,,60,108,261,4,11,2,446,0,3,449,0
10,Bolangir,63,Kantabanji,20,,,,,,,,83,134,285,8,43,2,555,0,7,562,0
10,Bolangir,63,Kantabanji,21,,,,,,,,76,233,251,14,109,0,683,0,1,684,0
10,Bolangir,63,Kantabanji,22,,,,,,,,125,107,280,2,19,2,535,0,6,541,0
10,Bolangir,63,Kantabanji,23,,,,,,,,60,137,221,3,4,1,426,0,4,430,0
10,Bolangir,63,Kantabanji,24,,,,,,,,144,267,386,15,3,0,815,0,0,815,0
10,Bolangir,63,Kantabanji,25,,,,,,,,62,137,241,3,8,2,453,0,2,455,0
10,Bolangir,63,Kantabanji,26,,,,,,,,141,215,484,5,3,8,856,0,14,870,0
10,Bolangir,63,Kantabanji,27,,,,,,,,42,63,151,4,1,1,262,0,1,263,0
10,Bolangir,63,Kantabanji,28,,,,,,,,93,45,308,11,1,1,459,0,3,462,0
10,Bolangir,63,Kantabanji,29,,,,,,,,99,141,306,1,6,0,553,0,1,554,0
10,Bolangir,63,Kantabanji,30,,,,,,,,130,112,171,2,4,0,419,0,3,422,0
10,Bolangir,63,Kantabanji,31,,,,,,,,229,119,294,12,11,0,665,0,8,673,0
10,Bolangir,63,Kantabanji,32,,,,,,,,77,138,164,3,6,1,389,0,2,391,0
10,Bolangir,63,Kantabanji,33,,,,,,,,135,247,457,6,7,4,856,0,11,867,0
10,Bolangir,63,Kantabanji,34,,,,,,,,109,168,380,8,5,5,675,0,8,683,0
10,Bolangir,63,Kantabanji,35,,,,,,,,73,187,425,8,6,5,704,0,15,719,0
10,Bolangir,63,Kantabanji,36,,,,,,,,88,148,285,4,4,10,539,0,5,544,0
10,Bolangir,63,Kantabanji,37,,,,,,,,133,189,593,2,1,2,920,0,1,921,0
