pc_id,pc_name,ac_id,ac_name,Sl No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid votes,No of votes rejected,NOTA,Total
10,Bolangir,64,Birmaharajpur,1,,,,,,,,111,175,1,308,9,1,2,8,3,618,0,2,620
10,Bolangir,64,Birmaharajpur,2,,,,,,,,126,95,3,317,3,1,2,21,1,569,0,1,570
10,Bolangir,64,Birmaharajpur,3,,,,,,,,336,118,4,241,2,2,0,10,3,716,0,1,717
10,Bolangir,64,Birmaharajpur,4,,,,,,,,240,106,4,379,5,1,3,10,1,749,0,3,752
10,Bolangir,64,Birmaharajpur,5,,,,,,,,151,152,7,185,4,5,2,1,4,511,0,3,514
10,Bolangir,64,Birmaharajpur,6,,,,,,,,155,171,3,277,6,2,3,5,1,623,0,1,624
10,Bolangir,64,Birmaharajpur,7,,,,,,,,212,109,3,328,4,0,1,1,1,659,0,7,666
10,Bolangir,64,Birmaharajpur,8,,,,,,,,162,160,13,270,4,2,0,13,0,624,0,1,625
10,Bolangir,64,Birmaharajpur,9,,,,,,,,109,149,2,100,3,0,0,3,0,366,0,1,367
10,Bolangir,64,Birmaharajpur,10,,,,,,,,167,285,13,424,5,3,2,6,3,908,0,3,911
10,Bolangir,64,Birmaharajpur,11,,,,,,,,109,159,5,238,6,1,3,0,4,525,0,6,531
10,Bolangir,64,Birmaharajpur,12,,,,,,,,430,160,7,316,5,3,4,20,4,949,0,0,949
10,Bolangir,64,Birmaharajpur,13,,,,,,,,149,280,6,451,20,3,5,48,2,964,0,23,987
10,Bolangir,64,Birmaharajpur,14,,,,,,,,97,159,8,137,3,3,2,5,1,415,0,2,417
10,Bolangir,64,Birmaharajpur,15,,,,,,,,336,187,5,305,5,2,4,3,2,849,0,1,850
10,Bolangir,64,Birmaharajpur,16,,,,,,,,110,273,5,234,5,1,3,8,6,645,0,0,645
10,Bolangir,64,Birmaharajpur,17,,,,,,,,91,102,2,535,8,3,2,1,6,750,0,5,755
10,Bolangir,64,Birmaharajpur,18,,,,,,,,102,167,11,256,4,2,2,25,2,571,0,1,572
10,Bolangir,64,Birmaharajpur,19,,,,,,,,254,222,9,187,7,1,3,25,3,711,0,6,717
10,Bolangir,64,Birmaharajpur,20,,,,,,,,342,127,10,249,3,3,0,4,1,739,0,2,741
10,Bolangir,64,Birmaharajpur,21,,,,,,,,326,163,17,331,6,2,4,10,2,861,0,4,865
10,Bolangir,64,Birmaharajpur,22,,,,,,,,149,135,6,200,2,1,3,8,3,507,0,2,509
10,Bolangir,64,Birmaharajpur,23,,,,,,,,388,152,0,249,3,2,1,14,3,812,0,4,816
10,Bolangir,64,Birmaharajpur,24,,,,,,,,156,135,2,183,0,2,1,1,0,480,0,0,480
10,Bolangir,64,Birmaharajpur,25,,,,,,,,233,71,2,259,2,1,0,10,0,578,0,2,580
10,Bolangir,64,Birmaharajpur,26,,,,,,,,367,200,7,337,5,0,2,6,0,924,0,8,932
10,Bolangir,64,Birmaharajpur,27,,,,,,,,214,33,5,444,1,1,3,4,2,707,0,1,708
10,Bolangir,64,Birmaharajpur,28,,,,,,,,155,16,4,258,3,2,0,4,1,443,0,7,450
10,Bolangir,64,Birmaharajpur,29,,,,,,,,218,89,2,433,8,4,3,17,5,779,0,4,783
10,Bolangir,64,Birmaharajpur,30,,,,,,,,206,141,4,209,2,3,1,9,3,578,0,7,585
10,Bolangir,64,Birmaharajpur,31,,,,,,,,162,64,2,168,2,1,1,9,1,410,0,2,412
10,Bolangir,64,Birmaharajpur,32,,,,,,,,194,106,4,262,5,1,3,5,2,582,0,0,582
10,Bolangir,64,Birmaharajpur,33,,,,,,,,53,182,5,92,3,0,1,2,2,340,0,1,341
