pc_id,pc_name,ac_id,ac_name,SL NO OF POLLING STATION,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,TOTAL VALID VOTES,NO. OF VOTES REJECTED (TEST VOTES),VOTES FOR NOTA OPTION,TOTAL,TOTAL NO. OF TENDERED VOTES
10,Bolangir,67,Patnagarh,1,,,,,,,,2,3,4,5,6,7,8,9,10
10,Bolangir,67,Patnagarh,1,,,,,,,,314,102,295,18,729,0,15,744,0
10,Bolangir,67,Patnagarh,2,,,,,,,,95,13,44,6,158,0,5,163,0
10,Bolangir,67,Patnagarh,3,,,,,,,,147,160,187,15,509,0,3,512,0
10,Bolangir,67,Patnagarh,4,,,,,,,,80,90,119,2,291,0,9,300,0
10,Bolangir,67,Patnagarh,5,,,,,,,,271,170,410,25,876,0,7,883,0
10,Bolangir,67,Patnagarh,6,,,,,,,,182,144,384,22,732,0,5,737,0
10,Bolangir,67,Patnagarh,7,,,,,,,,209,42,260,13,524,0,13,537,0
10,Bolangir,67,Patnagarh,8,,,,,,,,78,19,102,3,202,0,3,205,0
10,Bolangir,67,Patnagarh,9,,,,,,,,182,41,334,17,574,0,20,594,0
10,Bolangir,67,Patnagarh,10,,,,,,,,100,35,214,8,357,0,13,370,0
10,Bolangir,67,Patnagarh,11,,,,,,,,177,84,286,17,564,0,9,573,0
10,Bolangir,67,Patnagarh,12,,,,,,,,69,50,211,12,342,0,13,355,0
10,Bolangir,67,Patnagarh,13,,,,,,,,98,71,192,6,367,0,7,374,0
10,Bolangir,67,Patnagarh,14,,,,,,,,144,60,316,7,527,0,8,535,0
10,Bolangir,67,Patnagarh,15,,,,,,,,194,45,303,8,550,0,7,557,0
10,Bolangir,67,Patnagarh,16,,,,,,,,206,112,299,8,625,0,18,643,0
10,Bolangir,67,Patnagarh,17,,,,,,,,55,56,120,4,235,0,3,238,0
10,Bolangir,67,Patnagarh,18,,,,,,,,162,50,280,18,510,0,10,520,0
10,Bolangir,67,Patnagarh,19,,,,,,,,165,51,160,5,381,0,8,389,0
10,Bolangir,67,Patnagarh,20,,,,,,,,149,28,165,18,360,0,4,364,0
10,Bolangir,67,Patnagarh,21,,,,,,,,423,116,317,23,879,0,13,892,0
10,Bolangir,67,Patnagarh,22,,,,,,,,144,101,388,11,644,0,11,655,0
10,Bolangir,67,Patnagarh,23,,,,,,,,350,54,370,29,803,0,19,822,0
10,Bolangir,67,Patnagarh,24,,,,,,,,395,76,214,49,734,0,13,747,0
10,Bolangir,67,Patnagarh,25,,,,,,,,368,48,351,60,827,0,7,834,0
10,Bolangir,67,Patnagarh,26,,,,,,,,142,19,202,50,413,0,2,415,0
10,Bolangir,67,Patnagarh,27,,,,,,,,185,45,246,30,506,0,4,510,0
