pc_id,pc_name,ac_id,ac_name,Sl. No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,NOTA,No. of Rejected votes,No. of Tendered Votes,Serial No. of Polling Station,Total,Total of Valid votes
10,Bolangir,69,Titlagarh,1,,,,,,,,3,4,5,6,7,8,9,10,14,13,16,2.0,15,12
10,Bolangir,69,Titlagarh,1,,,,,,,,67,250,9,256,9,6,2,2,4,0,0,1.0,605,601
10,Bolangir,69,Titlagarh,2,,,,,,,,41,199,4,99,6,3,0,3,5,0,0,2.0,360,355
10,Bolangir,69,Titlagarh,3,,,,,,,,59,150,0,142,2,1,3,1,5,0,0,3.0,363,358
10,Bolangir,69,Titlagarh,4,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0
10,Bolangir,69,Titlagarh,5,,,,,,,,58,225,5,95,4,0,5,8,3,0,0,5.0,403,400
10,Bolangir,69,Titlagarh,6,,,,,,,,107,213,2,157,3,0,0,0,1,0,0,6.0,483,482
10,Bolangir,69,Titlagarh,7,,,,,,,,118,400,6,134,6,3,6,16,19,0,0,7.0,708,689
10,Bolangir,69,Titlagarh,8,,,,,,,,191,407,1,144,4,5,7,4,11,0,0,8.0,774,763
10,Bolangir,69,Titlagarh,9,,,,,,,,57,121,6,203,4,4,0,2,5,0,0,9.0,402,397
10,Bolangir,69,Titlagarh,10,,,,,,,,130,125,2,154,5,2,1,5,3,0,0,10.0,427,424
10,Bolangir,69,Titlagarh,11,,,,,,,,118,291,2,143,8,2,5,7,11,0,0,11.0,587,576
10,Bolangir,69,Titlagarh,12,,,,,,,,187,191,3,199,14,1,3,8,8,0,0,12.0,614,606
10,Bolangir,69,Titlagarh,13,,,,,,,,109,74,3,18,5,2,0,3,3,0,0,13.0,217,214
10,Bolangir,69,Titlagarh,14,,,,,,,,162,148,12,201,33,2,2,3,5,0,0,14.0,568,563
10,Bolangir,69,Titlagarh,15,,,,,,,,112,324,37,231,6,2,3,8,11,0,0,15.0,734,723
10,Bolangir,69,Titlagarh,16,,,,,,,,168,322,8,290,8,5,7,2,15,0,0,16.0,825,810
10,Bolangir,69,Titlagarh,17,,,,,,,,135,225,2,196,4,0,3,4,7,0,0,17.0,576,569
10,Bolangir,69,Titlagarh,18,,,,,,,,152,151,17,237,6,4,3,2,9,0,0,18.0,581,572
10,Bolangir,69,Titlagarh,19,,,,,,,,4,78,3,98,0,0,2,0,2,0,0,19.0,187,185
10,Bolangir,69,Titlagarh,20,,,,,,,,44,155,7,80,3,2,2,1,0,0,0,20.0,294,294
10,Bolangir,69,Titlagarh,21,,,,,,,,164,124,4,262,7,2,7,6,6,0,0,21.0,582,576
10,Bolangir,69,Titlagarh,22,,,,,,,,78,147,3,61,3,2,3,3,3,0,0,22.0,303,300
10,Bolangir,69,Titlagarh,23,,,,,,,,197,228,3,224,10,5,7,5,8,0,0,23.0,687,679
10,Bolangir,69,Titlagarh,24,,,,,,,,300,254,5,98,4,2,5,4,8,0,0,24.0,680,672
10,Bolangir,69,Titlagarh,25,,,,,,,,213,217,4,347,5,6,3,5,6,0,0,25.0,806,800
10,Bolangir,69,Titlagarh,26,,,,,,,,150,181,44,195,8,6,5,11,18,0,0,26.0,618,600
10,Bolangir,69,Titlagarh,27,,,,,,,,89,212,3,97,4,4,2,5,2,0,0,27.0,418,416
10,Bolangir,69,Titlagarh,28,,,,,,,,177,281,7,84,4,2,2,0,1,0,0,28.0,558,557
10,Bolangir,69,Titlagarh,29,,,,,,,,280,158,4,254,11,2,2,3,9,0,0,29.0,723,714
10,Bolangir,69,Titlagarh,30,,,,,,,,171,156,0,61,1,0,1,0,2,0,0,30.0,392,390
10,Bolangir,69,Titlagarh,31,,,,,,,,202,98,3,75,4,1,1,0,4,0,0,31.0,388,384
10,Bolangir,69,Titlagarh,32,,,,,,,,173,215,6,142,8,0,2,5,5,0,0,32.0,556,551
10,Bolangir,69,Titlagarh,33,,,,,,,,184,148,2,53,3,3,1,4,3,0,0,33.0,401,398
10,Bolangir,69,Titlagarh,34,,,,,,,,198,366,5,137,4,1,3,1,3,0,0,34.0,718,715
10,Bolangir,69,Titlagarh,35,,,,,,,,246,296,3,262,2,2,2,1,1,0,0,35.0,815,814
10,Bolangir,69,Titlagarh,36,,,,,,,,96,168,1,182,6,5,5,2,9,0,0,36.0,474,465
10,Bolangir,69,Titlagarh,37,,,,,,,,77,139,4,148,1,4,2,1,2,0,0,37.0,378,376
10,Bolangir,69,Titlagarh,38,,,,,,,,56,161,11,200,2,7,4,5,8,0,0,38.0,454,446
10,Bolangir,69,Titlagarh,39,,,,,,,,65,342,3,251,10,6,6,8,4,0,0,39.0,695,691
10,Bolangir,69,Titlagarh,40,,,,,,,,195,279,4,213,3,3,2,2,1,0,0,40.0,702,701
10,Bolangir,69,Titlagarh,41,,,,,,,,247,154,1,149,7,1,4,3,4,0,0,41.0,570,566
10,Bolangir,69,Titlagarh,42,,,,,,,,329,152,2,92,4,0,0,0,5,0,0,42.0,584,579
10,Bolangir,69,Titlagarh,43,,,,,,,,219,250,9,195,7,3,4,2,7,0,0,43.0,696,689
