pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of Valid votes,No. of rejected Votes  (Test votes),Votes for NOTA option,Total,No of tendered votes
2,Sundargar,7,Bonai,1,,,,,,,,7,356,603,36,4,2,1,1,3,1013,0,12,1025,0
2,Sundargar,7,Bonai,2,,,,,,,,1,187,249,27,2,2,2,5,2,477,0,4,481,0
2,Sundargar,7,Bonai,3,,,,,,,,14,279,413,61,1,5,0,2,2,777,0,13,790,0
2,Sundargar,7,Bonai,4,,,,,,,,2,218,711,36,5,3,3,1,4,983,0,5,988,0
2,Sundargar,7,Bonai,5,,,,,,,,9,234,516,57,5,2,3,3,6,835,0,4,839,0
2,Sundargar,7,Bonai,6,,,,,,,,0,268,483,53,4,3,1,0,3,815,0,9,824,0
2,Sundargar,7,Bonai,7,,,,,,,,7,168,490,33,2,4,0,2,2,708,0,3,711,0
2,Sundargar,7,Bonai,8,,,,,,,,15,183,405,48,1,2,2,0,2,658,0,6,664,0
2,Sundargar,7,Bonai,9,,,,,,,,0,140,278,55,1,0,2,1,0,477,0,1,478,0
2,Sundargar,7,Bonai,10,,,,,,,,6,111,179,34,1,2,2,1,3,339,0,4,343,0
2,Sundargar,7,Bonai,11,,,,,,,,6,133,326,94,3,2,2,2,5,573,0,4,577,0
2,Sundargar,7,Bonai,12,,,,,,,,4,160,300,63,1,1,0,1,0,530,0,0,530,0
2,Sundargar,7,Bonai,13,,,,,,,,4,127,235,44,1,2,3,0,1,417,0,2,419,0
2,Sundargar,7,Bonai,14,,,,,,,,7,314,529,46,2,3,3,4,3,911,0,5,916,0
2,Sundargar,7,Bonai,15,,,,,,,,1,204,529,26,3,0,2,1,2,768,0,0,768,0
2,Sundargar,7,Bonai,16,,,,,,,,0,82,222,2,0,0,0,0,0,306,0,0,306,0
2,Sundargar,7,Bonai,17,,,,,,,,7,168,422,79,4,4,1,3,5,693,0,3,696,0
2,Sundargar,7,Bonai,18,,,,,,,,3,180,412,33,4,1,4,2,5,644,0,6,650,0
2,Sundargar,7,Bonai,19,,,,,,,,2,245,569,18,1,0,2,7,0,844,0,2,846,0
2,Sundargar,7,Bonai,20,,,,,,,,18,312,376,27,3,0,1,4,3,744,0,6,750,0
2,Sundargar,7,Bonai,21,,,,,,,,3,319,232,28,2,5,2,2,4,597,0,12,609,0
2,Sundargar,7,Bonai,22,,,,,,,,36,217,280,9,3,2,2,2,7,558,0,8,566,0
2,Sundargar,7,Bonai,23,,,,,,,,6,316,478,20,3,3,1,3,5,835,0,2,837,0
2,Sundargar,7,Bonai,24,,,,,,,,3,264,377,24,3,1,1,0,3,676,0,2,678,0
2,Sundargar,7,Bonai,25,,,,,,,,4,404,443,59,0,4,4,4,5,927,0,5,932,0
2,Sundargar,7,Bonai,26,,,,,,,,3,195,470,33,3,3,1,0,0,708,0,6,714,0
2,Sundargar,7,Bonai,27,,,,,,,,1,187,280,32,4,0,0,0,2,506,0,6,512,0
2,Sundargar,7,Bonai,28,,,,,,,,4,177,206,42,1,0,1,0,0,431,0,1,432,0
2,Sundargar,7,Bonai,29,,,,,,,,10,284,427,73,4,3,4,3,4,812,0,9,821,0
2,Sundargar,7,Bonai,30,,,,,,,,0,202,367,49,0,1,2,5,0,626,0,2,628,0
2,Sundargar,7,Bonai,31,,,,,,,,3,198,419,42,4,4,3,4,6,683,0,8,691,0
2,Sundargar,7,Bonai,32,,,,,,,,1,122,396,41,1,1,0,0,2,564,0,5,569,0
2,Sundargar,7,Bonai,33,,,,,,,,4,308,523,56,1,4,3,4,1,904,0,6,910,0
2,Sundargar,7,Bonai,34,,,,,,,,0,149,408,41,2,0,1,3,0,604,0,3,607,0
2,Sundargar,7,Bonai,35,,,,,,,,0,139,290,29,7,0,0,6,2,473,0,3,476,0
2,Sundargar,7,Bonai,36,,,,,,,,4,262,649,83,4,7,3,6,3,1021,0,18,1039,0
2,Sundargar,7,Bonai,37,,,,,,,,36,292,466,44,2,10,2,2,3,857,0,4,861,0
2,Sundargar,7,Bonai,38,,,,,,,,6,220,443,130,0,2,4,6,10,821,0,12,833,0
2,Sundargar,7,Bonai,39,,,,,,,,1,226,513,62,1,0,3,2,2,810,0,6,816,0
2,Sundargar,7,Bonai,40,,,,,,,,5,255,593,90,3,4,3,4,2,959,0,1,960,0
2,Sundargar,7,Bonai,41,,,,,,,,0,255,398,135,5,0,1,0,8,802,0,8,810,0
2,Sundargar,7,Bonai,42,,,,,,,,0,59,168,60,0,0,4,1,2,294,0,9,303,0
2,Sundargar,7,Bonai,43,,,,,,,,5,178,435,19,2,0,3,0,1,643,0,2,645,0
2,Sundargar,7,Bonai,44,,,,,,,,4,137,366,41,0,2,1,1,3,555,0,3,558,0
2,Sundargar,7,Bonai,45,,,,,,,,1,168,529,36,2,1,2,4,2,745,0,6,751,0
2,Sundargar,7,Bonai,46,,,,,,,,2,164,376,136,1,1,0,2,0,682,0,2,684,0
2,Sundargar,7,Bonai,47,,,,,,,,1,130,267,110,2,1,2,2,3,518,0,1,519,0
2,Sundargar,7,Bonai,48,,,,,,,,7,347,343,85,2,0,1,1,5,791,0,6,797,0
2,Sundargar,7,Bonai,49,,,,,,,,4,394,502,52,1,4,5,1,3,966,0,15,981,0
2,Sundargar,7,Bonai,50,,,,,,,,4,301,373,55,3,1,1,0,4,742,0,7,749,0
2,Sundargar,7,Bonai,51,,,,,,,,8,228,544,37,3,1,1,0,2,824,0,8,832,0
2,Sundargar,7,Bonai,52,,,,,,,,3,224,338,79,1,1,1,3,0,650,0,5,655,0
2,Sundargar,7,Bonai,53,,,,,,,,3,173,252,53,2,0,4,0,1,488,0,1,489,0
2,Sundargar,7,Bonai,54,,,,,,,,7,329,426,70,2,2,1,5,6,848,0,16,864,0
2,Sundargar,7,Bonai,55,,,,,,,,5,401,333,61,0,15,2,0,1,818,0,9,827,0
