pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of Valid votes,No. of Rejected votes,NOTA,Total,No. of Tendered Votes
11,Kalahandi,70,Narla,1,,,,,,,,222,0,280,45,0,1,548,0,4,552,0
11,Kalahandi,70,Narla,2,,,,,,,,166,1,105,42,4,3,321,0,4,325,0
11,Kalahandi,70,Narla,3,,,,,,,,156,2,164,58,0,3,383,0,5,388,0
11,Kalahandi,70,Narla,4,,,,,,,,132,4,209,79,3,4,431,0,5,436,0
11,Kalahandi,70,Narla,5,,,,,,,,154,3,134,172,6,7,476,0,2,478,0
11,Kalahandi,70,Narla,6,,,,,,,,147,7,312,102,9,9,586,0,6,592,0
11,Kalahandi,70,Narla,7,,,,,,,,126,3,284,186,7,5,611,0,19,630,0
11,Kalahandi,70,Narla,8,,,,,,,,96,1,121,139,2,4,363,0,3,366,0
11,Kalahandi,70,Narla,9,,,,,,,,131,2,199,117,4,5,458,0,15,473,0
11,Kalahandi,70,Narla,10,,,,,,,,152,4,152,83,15,10,416,0,12,428,0
11,Kalahandi,70,Narla,11,,,,,,,,277,2,237,84,11,2,613,0,6,619,0
11,Kalahandi,70,Narla,12,,,,,,,,166,3,188,92,6,28,483,0,23,506,0
11,Kalahandi,70,Narla,13,,,,,,,,142,9,241,221,8,6,627,0,9,636,0
11,Kalahandi,70,Narla,14,,,,,,,,77,4,124,143,10,2,360,0,8,368,0
11,Kalahandi,70,Narla,15,,,,,,,,91,4,312,343,13,12,775,0,9,784,0
11,Kalahandi,70,Narla,16,,,,,,,,75,3,113,53,4,2,250,0,6,256,0
11,Kalahandi,70,Narla,17,,,,,,,,85,2,273,210,5,0,575,0,5,580,0
11,Kalahandi,70,Narla,18,,,,,,,,88,5,222,138,4,4,461,0,3,464,0
11,Kalahandi,70,Narla,19,,,,,,,,21,1,233,56,1,0,312,0,0,312,0
11,Kalahandi,70,Narla,20,,,,,,,,204,1,63,81,3,1,353,0,0,353,0
11,Kalahandi,70,Narla,21,,,,,,,,289,10,308,88,5,6,706,0,6,712,0
11,Kalahandi,70,Narla,22,,,,,,,,304,14,232,200,13,11,774,0,29,803,0
11,Kalahandi,70,Narla,23,,,,,,,,154,11,96,22,4,9,296,0,8,304,0
11,Kalahandi,70,Narla,24,,,,,,,,131,3,107,75,5,1,322,0,2,324,0
11,Kalahandi,70,Narla,25,,,,,,,,88,3,71,30,2,3,197,0,7,204,0
11,Kalahandi,70,Narla,26,,,,,,,,230,5,143,38,5,3,424,0,9,433,0
11,Kalahandi,70,Narla,27,,,,,,,,283,5,112,160,16,6,582,0,25,607,0
11,Kalahandi,70,Narla,28,,,,,,,,216,10,139,219,4,5,593,0,6,599,0
11,Kalahandi,70,Narla,29,,,,,,,,149,3,235,284,14,9,694,0,4,698,0
11,Kalahandi,70,Narla,30,,,,,,,,127,5,76,241,4,3,456,0,14,470,0
11,Kalahandi,70,Narla,31,,,,,,,,357,8,124,437,5,9,940,0,5,945,0
11,Kalahandi,70,Narla,32,,,,,,,,96,11,183,370,10,14,684,0,18,702,0
11,Kalahandi,70,Narla,33,,,,,,,,242,3,121,410,21,6,803,0,13,816,0
11,Kalahandi,70,Narla,34,,,,,,,,56,5,131,497,8,4,701,0,7,708,0
11,Kalahandi,70,Narla,35,,,,,,,,126,10,172,222,15,6,551,0,10,561,0
11,Kalahandi,70,Narla,36,,,,,,,,146,24,146,214,5,7,542,0,6,548,0
11,Kalahandi,70,Narla,37,,,,,,,,121,17,160,213,9,5,525,0,2,527,0
11,Kalahandi,70,Narla,38,,,,,,,,253,3,193,223,4,3,679,0,8,687,0
11,Kalahandi,70,Narla,39,,,,,,,,159,8,201,302,9,2,681,0,2,683,0
11,Kalahandi,70,Narla,40,,,,,,,,90,2,93,38,2,5,230,0,8,238,0
11,Kalahandi,70,Narla,41,,,,,,,,346,12,265,137,3,3,766,0,11,777,0
11,Kalahandi,70,Narla,42,,,,,,,,142,4,84,192,9,4,435,0,6,441,0
11,Kalahandi,70,Narla,43,,,,,,,,119,8,228,144,4,4,507,0,7,514,0
11,Kalahandi,70,Narla,44,,,,,,,,204,4,81,68,1,6,364,0,7,371,0
11,Kalahandi,70,Narla,45,,,,,,,,158,8,109,31,1,1,308,0,1,309,0
11,Kalahandi,70,Narla,46,,,,,,,,207,7,218,381,12,7,832,0,9,841,0
11,Kalahandi,70,Narla,47,,,,,,,,351,7,258,141,5,7,769,0,10,779,0
11,Kalahandi,70,Narla,48,,,,,,,,67,4,184,139,6,12,412,0,8,420,0
11,Kalahandi,70,Narla,49,,,,,,,,145,5,61,276,14,13,514,0,17,531,0
11,Kalahandi,70,Narla,50,,,,,,,,113,5,229,393,9,20,769,0,16,785,0
11,Kalahandi,70,Narla,51,,,,,,,,56,2,201,232,2,3,496,0,6,502,0
11,Kalahandi,70,Narla,52,,,,,,,,40,4,183,167,0,1,395,0,2,397,0
11,Kalahandi,70,Narla,53,,,,,,,,93,1,230,359,6,6,695,0,11,706,0
11,Kalahandi,70,Narla,54,,,,,,,,149,2,294,237,3,4,689,0,5,694,0
11,Kalahandi,70,Narla,55,,,,,,,,149,1,314,327,5,2,798,0,9,807,0
11,Kalahandi,70,Narla,56,,,,,,,,226,1,279,174,4,3,687,0,1,688,0
11,Kalahandi,70,Narla,57,,,,,,,,74,2,334,206,2,4,622,0,2,624,0
11,Kalahandi,70,Narla,58,,,,,,,,88,5,307,152,3,1,556,0,2,558,0
11,Kalahandi,70,Narla,59,,,,,,,,153,2,318,233,1,3,710,0,1,711,0
11,Kalahandi,70,Narla,60,,,,,,,,158,4,383,157,2,19,723,0,3,726,0
11,Kalahandi,70,Narla,61,,,,,,,,190,1,155,131,5,8,490,0,5,495,0
11,Kalahandi,70,Narla,62,,,,,,,,119,0,121,153,2,2,397,0,3,400,0
11,Kalahandi,70,Narla,63,,,,,,,,149,5,231,304,8,5,702,0,11,713,0
11,Kalahandi,70,Narla,64,,,,,,,,182,7,347,315,8,11,870,0,14,884,0
11,Kalahandi,70,Narla,65,,,,,,,,373,5,158,307,5,5,853,0,6,859,0
11,Kalahandi,70,Narla,66,,,,,,,,165,1,292,316,8,20,802,0,3,805,0
11,Kalahandi,70,Narla,67,,,,,,,,228,3,244,260,4,32,771,0,9,780,0
11,Kalahandi,70,Narla,68,,,,,,,,297,30,200,103,7,4,641,0,4,645,0
11,Kalahandi,70,Narla,69,,,,,,,,281,7,186,297,13,6,790,0,4,794,0
