pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total of Valid Votes,No.of rejected votes       (Test Votes),Votes for NOTA option,Total,No.of Tendered Votes
11,Kalahandi,73,Lanjigarh,1.0,,,,,,,,395.0,199.0,24.0,87.0,6.0,711.0,0.0,11.0,722.0,0.0
11,Kalahandi,73,Lanjigarh,2.0,,,,,,,,118.0,362.0,33.0,39.0,16.0,568.0,0.0,26.0,594.0,0.0
11,Kalahandi,73,Lanjigarh,3.0,,,,,,,,434.0,161.0,20.0,100.0,10.0,725.0,0.0,13.0,738.0,0.0
11,Kalahandi,73,Lanjigarh,4.0,,,,,,,,140.0,217.0,24.0,277.0,17.0,675.0,0.0,40.0,715.0,0.0
11,Kalahandi,73,Lanjigarh,5.0,,,,,,,,213.0,336.0,27.0,48.0,14.0,638.0,0.0,14.0,652.0,0.0
11,Kalahandi,73,Lanjigarh,6.0,,,,,,,,350.0,265.0,32.0,87.0,21.0,755.0,0.0,39.0,794.0,0.0
11,Kalahandi,73,Lanjigarh,7.0,,,,,,,,185.0,165.0,13.0,79.0,13.0,455.0,0.0,20.0,475.0,0.0
11,Kalahandi,73,Lanjigarh,8.0,,,,,,,,245.0,150.0,18.0,219.0,21.0,653.0,0.0,27.0,680.0,0.0
11,Kalahandi,73,Lanjigarh,9.0,,,,,,,,151.0,164.0,15.0,275.0,18.0,623.0,0.0,29.0,652.0,0.0
11,Kalahandi,73,Lanjigarh,10.0,,,,,,,,253.0,75.0,9.0,47.0,8.0,392.0,0.0,9.0,401.0,0.0
11,Kalahandi,73,Lanjigarh,11.0,,,,,,,,279.0,164.0,22.0,114.0,14.0,593.0,0.0,11.0,604.0,0.0
11,Kalahandi,73,Lanjigarh,12.0,,,,,,,,263.0,124.0,10.0,76.0,11.0,484.0,0.0,12.0,496.0,0.0
11,Kalahandi,73,Lanjigarh,13.0,,,,,,,,622.0,149.0,25.0,108.0,9.0,913.0,0.0,24.0,937.0,0.0
11,Kalahandi,73,Lanjigarh,14.0,,,,,,,,242.0,140.0,13.0,95.0,8.0,498.0,0.0,21.0,519.0,0.0
11,Kalahandi,73,Lanjigarh,15.0,,,,,,,,324.0,192.0,44.0,238.0,17.0,815.0,0.0,16.0,831.0,0.0
11,Kalahandi,73,Lanjigarh,16.0,,,,,,,,216.0,264.0,15.0,182.0,4.0,681.0,0.0,19.0,700.0,0.0
11,Kalahandi,73,Lanjigarh,17.0,,,,,,,,307.0,132.0,13.0,248.0,10.0,710.0,0.0,21.0,731.0,0.0
11,Kalahandi,73,Lanjigarh,18.0,,,,,,,,192.0,184.0,8.0,160.0,7.0,551.0,0.0,13.0,564.0,0.0
11,Kalahandi,73,Lanjigarh,19.0,,,,,,,,240.0,181.0,18.0,178.0,8.0,625.0,0.0,17.0,642.0,0.0
11,Kalahandi,73,Lanjigarh,20.0,,,,,,,,224.0,120.0,16.0,232.0,13.0,605.0,0.0,24.0,629.0,0.0
11,Kalahandi,73,Lanjigarh,21.0,,,,,,,,595.0,50.0,8.0,231.0,7.0,891.0,0.0,13.0,904.0,0.0
11,Kalahandi,73,Lanjigarh,22.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Kalahandi,73,Lanjigarh,23.0,,,,,,,,271.0,308.0,20.0,194.0,19.0,812.0,0.0,18.0,830.0,0.0
11,Kalahandi,73,Lanjigarh,24.0,,,,,,,,147.0,101.0,7.0,112.0,8.0,375.0,0.0,13.0,388.0,0.0
11,Kalahandi,73,Lanjigarh,25.0,,,,,,,,392.0,322.0,30.0,111.0,14.0,869.0,0.0,25.0,894.0,0.0
11,Kalahandi,73,Lanjigarh,26.0,,,,,,,,314.0,184.0,26.0,203.0,36.0,763.0,0.0,42.0,805.0,0.0
11,Kalahandi,73,Lanjigarh,27.0,,,,,,,,196.0,251.0,35.0,172.0,26.0,680.0,0.0,40.0,720.0,0.0
11,Kalahandi,73,Lanjigarh,28.0,,,,,,,,165.0,243.0,28.0,211.0,23.0,670.0,0.0,33.0,703.0,0.0
11,Kalahandi,73,Lanjigarh,29.0,,,,,,,,218.0,118.0,31.0,345.0,31.0,743.0,0.0,59.0,802.0,0.0
11,Kalahandi,73,Lanjigarh,30.0,,,,,,,,62.0,222.0,15.0,208.0,16.0,523.0,0.0,24.0,547.0,0.0
11,Kalahandi,73,Lanjigarh,31.0,,,,,,,,420.0,53.0,21.0,395.0,24.0,913.0,0.0,47.0,960.0,0.0
11,Kalahandi,73,Lanjigarh,32.0,,,,,,,,231.0,77.0,20.0,235.0,15.0,578.0,0.0,14.0,592.0,0.0
11,Kalahandi,73,Lanjigarh,33.0,,,,,,,,370.0,21.0,5.0,89.0,2.0,487.0,0.0,5.0,492.0,0.0
11,Kalahandi,73,Lanjigarh,34.0,,,,,,,,146.0,264.0,34.0,377.0,50.0,871.0,0.0,31.0,902.0,0.0
11,Kalahandi,73,Lanjigarh,35.0,,,,,,,,262.0,231.0,16.0,212.0,21.0,742.0,0.0,26.0,768.0,0.0
11,Kalahandi,73,Lanjigarh,36.0,,,,,,,,197.0,91.0,19.0,378.0,35.0,720.0,0.0,36.0,756.0,0.0
11,Kalahandi,73,Lanjigarh,37.0,,,,,,,,177.0,210.0,22.0,248.0,12.0,669.0,0.0,24.0,693.0,0.0
11,Kalahandi,73,Lanjigarh,38.0,,,,,,,,205.0,254.0,24.0,331.0,26.0,840.0,0.0,58.0,898.0,0.0
11,Kalahandi,73,Lanjigarh,39.0,,,,,,,,193.0,50.0,15.0,210.0,17.0,485.0,0.0,51.0,536.0,0.0
11,Kalahandi,73,Lanjigarh,40.0,,,,,,,,195.0,195.0,26.0,266.0,21.0,703.0,0.0,19.0,722.0,0.0
11,Kalahandi,73,Lanjigarh,41.0,,,,,,,,182.0,104.0,27.0,233.0,36.0,582.0,0.0,58.0,640.0,0.0
11,Kalahandi,73,Lanjigarh,42.0,,,,,,,,125.0,135.0,23.0,344.0,20.0,647.0,0.0,15.0,662.0,0.0
11,Kalahandi,73,Lanjigarh,43.0,,,,,,,,76.0,205.0,18.0,293.0,19.0,611.0,0.0,42.0,653.0,0.0
11,Kalahandi,73,Lanjigarh,44.0,,,,,,,,100.0,246.0,47.0,236.0,27.0,656.0,0.0,25.0,681.0,0.0
11,Kalahandi,73,Lanjigarh,45.0,,,,,,,,301.0,297.0,32.0,158.0,29.0,817.0,0.0,63.0,880.0,0.0
11,Kalahandi,73,Lanjigarh,46.0,,,,,,,,225.0,191.0,44.0,145.0,15.0,620.0,0.0,22.0,642.0,0.0
