pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Total No. of Valid Votes,No.of rejected votes         (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
11,Kalahandi,74,Junagarh,1,,,,,,,,92,296,161,17,566,0,11,577,0
11,Kalahandi,74,Junagarh,2,,,,,,,,90,195,285,40,610,0,30,640,0
11,Kalahandi,74,Junagarh,3,,,,,,,,41,374,359,15,789,0,10,799,0
11,Kalahandi,74,Junagarh,4,,,,,,,,33,731,91,4,859,0,2,861,0
11,Kalahandi,74,Junagarh,5,,,,,,,,94,417,204,22,737,0,13,750,0
11,Kalahandi,74,Junagarh,6,,,,,,,,223,351,295,40,909,0,36,945,0
11,Kalahandi,74,Junagarh,7,,,,,,,,229,305,182,15,731,0,18,749,0
11,Kalahandi,74,Junagarh,8,,,,,,,,57,419,92,25,593,0,18,611,0
11,Kalahandi,74,Junagarh,9,,,,,,,,120,295,221,20,656,0,19,675,0
11,Kalahandi,74,Junagarh,10,,,,,,,,108,288,464,26,886,0,17,903,0
11,Kalahandi,74,Junagarh,11,,,,,,,,72,613,246,18,949,0,30,979,0
11,Kalahandi,74,Junagarh,12,,,,,,,,214,257,109,4,584,0,4,588,0
11,Kalahandi,74,Junagarh,13,,,,,,,,95,453,253,31,832,0,30,862,0
11,Kalahandi,74,Junagarh,14,,,,,,,,56,760,233,16,1065,0,14,1079,0
11,Kalahandi,74,Junagarh,15,,,,,,,,113,156,90,10,369,0,15,384,0
11,Kalahandi,74,Junagarh,16,,,,,,,,120,573,139,8,840,0,8,848,0
11,Kalahandi,74,Junagarh,17,,,,,,,,148,411,307,20,886,0,42,928,0
11,Kalahandi,74,Junagarh,18,,,,,,,,163,81,304,32,580,0,61,641,0
11,Kalahandi,74,Junagarh,19,,,,,,,,213,276,334,25,848,0,20,868,0
11,Kalahandi,74,Junagarh,20,,,,,,,,59,560,225,6,850,0,5,855,0
