pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Total No. of Valid Votes,No.of Rejected Votes        (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
11,Kalahandi,75,Dharamgarh,1,,,,,,,,76,317,327,25,745,0,19,764,0
11,Kalahandi,75,Dharamgarh,2,,,,,,,,57,155,174,9,395,0,7,402,0
11,Kalahandi,75,Dharamgarh,3,,,,,,,,105,109,125,4,343,0,10,353,0
11,Kalahandi,75,Dharamgarh,4,,,,,,,,341,230,411,27,1009,0,39,1048,0
11,Kalahandi,75,Dharamgarh,5,,,,,,,,66,102,207,3,378,0,8,386,0
11,Kalahandi,75,Dharamgarh,6,,,,,,,,265,300,449,16,1030,0,2,1032,0
11,Kalahandi,75,Dharamgarh,7,,,,,,,,295,249,338,24,906,0,25,931,0
11,Kalahandi,75,Dharamgarh,8,,,,,,,,142,401,208,25,776,0,25,801,0
11,Kalahandi,75,Dharamgarh,9,,,,,,,,365,359,229,21,974,0,22,996,0
11,Kalahandi,75,Dharamgarh,10,,,,,,,,100,113,261,19,493,0,12,505,0
11,Kalahandi,75,Dharamgarh,11,,,,,,,,177,241,247,9,674,0,6,680,0
11,Kalahandi,75,Dharamgarh,12,,,,,,,,73,162,322,13,570,0,11,581,0
11,Kalahandi,75,Dharamgarh,13,,,,,,,,152,179,351,4,686,0,11,697,0
11,Kalahandi,75,Dharamgarh,14,,,,,,,,194,224,345,37,800,0,29,829,0
11,Kalahandi,75,Dharamgarh,15,,,,,,,,225,360,127,16,728,0,9,737,0
11,Kalahandi,75,Dharamgarh,16,,,,,,,,276,147,205,23,651,0,10,661,0
11,Kalahandi,75,Dharamgarh,17,,,,,,,,359,259,130,30,778,0,18,796,0
11,Kalahandi,75,Dharamgarh,18,,,,,,,,370,223,304,14,911,0,26,937,0
11,Kalahandi,75,Dharamgarh,19,,,,,,,,113,206,104,8,431,0,14,445,0
11,Kalahandi,75,Dharamgarh,20,,,,,,,,42,199,298,14,553,0,11,564,0
11,Kalahandi,75,Dharamgarh,21,,,,,,,,93,301,311,11,716,0,12,728,0
11,Kalahandi,75,Dharamgarh,22,,,,,,,,162,460,478,22,1122,0,14,1136,0
11,Kalahandi,75,Dharamgarh,23,,,,,,,,177,476,254,22,929,0,37,966,0
11,Kalahandi,75,Dharamgarh,24,,,,,,,,44,82,124,5,255,0,3,258,0
11,Kalahandi,75,Dharamgarh,25,,,,,,,,134,183,464,7,788,0,4,792,0
11,Kalahandi,75,Dharamgarh,26,,,,,,,,135,181,80,4,400,0,12,412,0
11,Kalahandi,75,Dharamgarh,27,,,,,,,,351,256,299,31,937,0,26,963,0
11,Kalahandi,75,Dharamgarh,28,,,,,,,,98,225,93,16,432,0,6,438,0
11,Kalahandi,75,Dharamgarh,29,,,,,,,,213,362,86,11,672,0,7,679,0
11,Kalahandi,75,Dharamgarh,30,,,,,,,,46,232,204,7,489,0,13,502,0
11,Kalahandi,75,Dharamgarh,31,,,,,,,,162,106,478,24,770,0,10,780,0
11,Kalahandi,75,Dharamgarh,32,,,,,,,,94,425,259,14,792,0,1,793,0
11,Kalahandi,75,Dharamgarh,33,,,,,,,,38,153,290,13,494,0,8,502,0
11,Kalahandi,75,Dharamgarh,34,,,,,,,,154,220,180,13,567,0,6,573,0
11,Kalahandi,75,Dharamgarh,35,,,,,,,,81,224,116,12,433,0,6,439,0
11,Kalahandi,75,Dharamgarh,36,,,,,,,,395,257,250,20,922,0,17,939,0
11,Kalahandi,75,Dharamgarh,37,,,,,,,,127,362,211,3,703,0,2,705,0
11,Kalahandi,75,Dharamgarh,38,,,,,,,,113,290,167,12,582,0,7,589,0
11,Kalahandi,75,Dharamgarh,39,,,,,,,,144,206,351,12,713,0,7,720,0
11,Kalahandi,75,Dharamgarh,40,,,,,,,,89,325,346,20,780,0,33,813,0
11,Kalahandi,75,Dharamgarh,41,,,,,,,,122,312,348,28,810,0,39,849,0
11,Kalahandi,75,Dharamgarh,42,,,,,,,,53,119,105,6,283,0,7,290,0
11,Kalahandi,75,Dharamgarh,43,,,,,,,,130,185,284,20,619,0,33,652,0
11,Kalahandi,75,Dharamgarh,44,,,,,,,,148,510,349,50,1057,0,44,1101,0
11,Kalahandi,75,Dharamgarh,45,,,,,,,,79,79,54,20,232,0,2,234,0
11,Kalahandi,75,Dharamgarh,46,,,,,,,,343,52,215,19,629,0,24,653,0
11,Kalahandi,75,Dharamgarh,47,,,,,,,,174,209,396,35,814,0,29,843,0
11,Kalahandi,75,Dharamgarh,48,,,,,,,,387,319,372,11,1089,0,13,1102,0
11,Kalahandi,75,Dharamgarh,49,,,,,,,,142,138,348,16,644,0,4,648,0
11,Kalahandi,75,Dharamgarh,50,,,,,,,,429,158,255,37,879,0,24,903,0
11,Kalahandi,75,Dharamgarh,51,,,,,,,,73,89,57,17,236,0,3,239,0
11,Kalahandi,75,Dharamgarh,52,,,,,,,,147,108,460,18,733,0,17,750,0
11,Kalahandi,75,Dharamgarh,53,,,,,,,,262,270,235,30,797,0,20,817,0
11,Kalahandi,75,Dharamgarh,54,,,,,,,,263,238,416,22,939,0,32,971,0
11,Kalahandi,75,Dharamgarh,55,,,,,,,,238,339,247,34,858,0,26,884,0
11,Kalahandi,75,Dharamgarh,56,,,,,,,,123,307,73,6,509,0,8,517,0
11,Kalahandi,75,Dharamgarh,57,,,,,,,,163,203,477,24,867,0,22,889,0
11,Kalahandi,75,Dharamgarh,58,,,,,,,,156,257,320,20,753,0,21,774,0
11,Kalahandi,75,Dharamgarh,59,,,,,,,,243,129,252,14,638,0,17,655,0
11,Kalahandi,75,Dharamgarh,60,,,,,,,,248,348,188,26,810,0,38,848,0
11,Kalahandi,75,Dharamgarh,61,,,,,,,,123,126,228,3,480,0,7,487,0
11,Kalahandi,75,Dharamgarh,62,,,,,,,,185,179,473,31,868,0,26,894,0
11,Kalahandi,75,Dharamgarh,63,,,,,,,,243,217,421,28,909,0,21,930,0
11,Kalahandi,75,Dharamgarh,64,,,,,,,,319,149,364,30,862,0,25,887,0
11,Kalahandi,75,Dharamgarh,65,,,,,,,,187,334,257,21,799,0,16,815,0
11,Kalahandi,75,Dharamgarh,66,,,,,,,,270,113,596,21,1000,0,12,1012,0
11,Kalahandi,75,Dharamgarh,67,,,,,,,,272,334,350,18,974,0,16,990,0
11,Kalahandi,75,Dharamgarh,68,,,,,,,,196,168,382,27,773,0,37,810,0
11,Kalahandi,75,Dharamgarh,69,,,,,,,,114,76,240,35,465,0,14,479,0
11,Kalahandi,75,Dharamgarh,70,,,,,,,,81,108,199,14,402,0,4,406,0
11,Kalahandi,75,Dharamgarh,71,,,,,,,,131,293,289,14,727,0,35,762,0
11,Kalahandi,75,Dharamgarh,72,,,,,,,,25,137,303,21,486,0,17,503,0
11,Kalahandi,75,Dharamgarh,73,,,,,,,,267,210,291,19,787,0,29,816,0
11,Kalahandi,75,Dharamgarh,74,,,,,,,,188,139,222,9,558,0,11,569,0
11,Kalahandi,75,Dharamgarh,75,,,,,,,,125,238,381,18,762,0,5,767,0
11,Kalahandi,75,Dharamgarh,76,,,,,,,,102,298,162,23,585,0,9,594,0
11,Kalahandi,75,Dharamgarh,77,,,,,,,,221,109,459,44,833,0,29,862,0
11,Kalahandi,75,Dharamgarh,78,,,,,,,,172,50,292,18,532,0,4,536,0
11,Kalahandi,75,Dharamgarh,79,,,,,,,,607,184,274,20,1085,0,8,1093,0
11,Kalahandi,75,Dharamgarh,80,,,,,,,,504,163,342,26,1035,0,14,1049,0
11,Kalahandi,75,Dharamgarh,81,,,,,,,,230,329,243,46,848,0,19,867,0
11,Kalahandi,75,Dharamgarh,82,,,,,,,,286,194,334,40,854,0,6,860,0
11,Kalahandi,75,Dharamgarh,83,,,,,,,,224,164,233,67,688,0,29,717,0
11,Kalahandi,75,Dharamgarh,84,,,,,,,,164,145,90,17,416,0,10,426,0
11,Kalahandi,75,Dharamgarh,85,,,,,,,,191,306,133,13,643,0,10,653,0
11,Kalahandi,75,Dharamgarh,86,,,,,,,,102,335,161,19,617,0,13,630,0
11,Kalahandi,75,Dharamgarh,87,,,,,,,,172,155,510,23,860,0,15,875,0
11,Kalahandi,75,Dharamgarh,88,,,,,,,,135,226,74,3,438,0,11,449,0
11,Kalahandi,75,Dharamgarh,89,,,,,,,,98,117,335,29,579,0,14,593,0
11,Kalahandi,75,Dharamgarh,90,,,,,,,,125,176,161,50,512,0,8,520,0
11,Kalahandi,75,Dharamgarh,91,,,,,,,,270,286,466,47,1069,0,42,1111,0
11,Kalahandi,75,Dharamgarh,92,,,,,,,,323,229,598,23,1173,0,20,1193,0
11,Kalahandi,75,Dharamgarh,93,,,,,,,,317,226,396,26,965,0,7,972,0
11,Kalahandi,75,Dharamgarh,94,,,,,,,,242,67,319,16,644,0,13,657,0
11,Kalahandi,75,Dharamgarh,95,,,,,,,,273,119,259,13,664,0,10,674,0
11,Kalahandi,75,Dharamgarh,96,,,,,,,,425,198,517,59,1199,0,21,1220,0
11,Kalahandi,75,Dharamgarh,97,,,,,,,,472,136,409,46,1063,0,25,1088,0
11,Kalahandi,75,Dharamgarh,98,,,,,,,,187,229,133,257,806,0,37,843,0
11,Kalahandi,75,Dharamgarh,99,,,,,,,,146,71,84,635,936,0,65,1001,0
11,Kalahandi,75,Dharamgarh,100,,,,,,,,350,100,196,64,710,0,23,733,0
11,Kalahandi,75,Dharamgarh,101,,,,,,,,457,133,235,24,849,0,26,875,0
11,Kalahandi,75,Dharamgarh,102,,,,,,,,37,138,63,13,251,0,1,252,0
11,Kalahandi,75,Dharamgarh,103,,,,,,,,248,63,87,20,418,0,25,443,0
11,Kalahandi,75,Dharamgarh,104,,,,,,,,404,237,231,79,951,0,20,971,0
11,Kalahandi,75,Dharamgarh,105,,,,,,,,144,172,121,11,448,0,2,450,0
11,Kalahandi,75,Dharamgarh,106,,,,,,,,388,360,228,48,1024,0,10,1034,0
11,Kalahandi,75,Dharamgarh,107,,,,,,,,218,151,298,49,716,0,14,730,0
11,Kalahandi,75,Dharamgarh,108,,,,,,,,38,224,147,32,441,0,10,451,0
11,Kalahandi,75,Dharamgarh,109,,,,,,,,231,89,115,12,447,0,16,463,0
11,Kalahandi,75,Dharamgarh,110,,,,,,,,433,136,265,129,963,0,34,997,0
11,Kalahandi,75,Dharamgarh,111,,,,,,,,333,108,136,18,595,0,5,600,0
11,Kalahandi,75,Dharamgarh,112,,,,,,,,374,68,109,6,557,0,1,558,0
11,Kalahandi,75,Dharamgarh,113,,,,,,,,559,72,226,13,870,0,5,875,0
11,Kalahandi,75,Dharamgarh,114,,,,,,,,501,125,213,8,847,0,5,852,0
11,Kalahandi,75,Dharamgarh,115,,,,,,,,507,69,149,4,729,0,6,735,0
11,Kalahandi,75,Dharamgarh,116,,,,,,,,391,69,97,1,558,0,4,562,0
11,Kalahandi,75,Dharamgarh,117,,,,,,,,405,90,98,23,616,0,14,630,0
11,Kalahandi,75,Dharamgarh,118,,,,,,,,400,118,217,10,745,0,8,753,0
11,Kalahandi,75,Dharamgarh,119,,,,,,,,325,245,201,7,778,0,8,786,0
11,Kalahandi,75,Dharamgarh,120,,,,,,,,291,179,189,12,671,0,16,687,0
11,Kalahandi,75,Dharamgarh,121,,,,,,,,454,269,134,36,893,0,8,901,0
