pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total No. of Valid Votes,No.of rejected votes      (Test votes),Votes for NOTA option,Total,No of Tendered Votes
11,Kalahandi,76,Bhawanipatna,1,,,,,,,,12,60,286,210,10,578,0,16,594,0
11,Kalahandi,76,Bhawanipatna,2,,,,,,,,7,65,133,302,20,527,0,18,545,0
11,Kalahandi,76,Bhawanipatna,3,,,,,,,,16,60,175,260,25,536,0,22,558,0
11,Kalahandi,76,Bhawanipatna,4,,,,,,,,24,87,245,252,25,633,0,39,672,0
11,Kalahandi,76,Bhawanipatna,5,,,,,,,,18,48,430,545,23,1064,0,36,1100,0
11,Kalahandi,76,Bhawanipatna,6,,,,,,,,20,84,435,431,26,996,0,29,1025,0
11,Kalahandi,76,Bhawanipatna,7,,,,,,,,21,64,275,268,19,647,0,35,682,0
11,Kalahandi,76,Bhawanipatna,8,,,,,,,,27,93,410,357,18,905,0,15,920,0
11,Kalahandi,76,Bhawanipatna,9,,,,,,,,7,135,397,249,22,810,0,26,836,0
11,Kalahandi,76,Bhawanipatna,10,,,,,,,,16,170,87,241,17,531,0,25,556,0
11,Kalahandi,76,Bhawanipatna,11,,,,,,,,13,76,83,378,20,570,0,15,585,0
11,Kalahandi,76,Bhawanipatna,12,,,,,,,,12,37,191,381,30,651,0,37,688,0
11,Kalahandi,76,Bhawanipatna,13,,,,,,,,8,56,214,312,24,614,0,21,635,0
11,Kalahandi,76,Bhawanipatna,14,,,,,,,,8,326,406,211,18,969,0,32,1001,0
11,Kalahandi,76,Bhawanipatna,15,,,,,,,,3,22,368,319,7,719,0,7,726,0
11,Kalahandi,76,Bhawanipatna,16,,,,,,,,9,48,233,284,16,590,0,11,601,0
11,Kalahandi,76,Bhawanipatna,17,,,,,,,,14,185,319,636,30,1184,0,50,1234,0
11,Kalahandi,76,Bhawanipatna,18,,,,,,,,7,61,183,164,13,428,0,11,439,0
11,Kalahandi,76,Bhawanipatna,19,,,,,,,,15,34,310,622,38,1019,0,41,1060,0
