pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid Votes,No. of rejected Votes ( Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,77,Chitrakonda,1,,,,,,,,298,124,173,8,4,8,59,4,678,0,7,685,0
12,Nabarangpur,77,Chitrakonda,2,,,,,,,,179,181,107,4,3,5,71,3,553,0,0,553,0
12,Nabarangpur,77,Chitrakonda,3,,,,,,,,134,77,78,9,5,2,81,9,395,0,10,405,0
12,Nabarangpur,77,Chitrakonda,4,,,,,,,,179,144,150,8,3,2,11,1,498,0,3,501,0
12,Nabarangpur,77,Chitrakonda,5,,,,,,,,283,94,76,5,1,2,11,5,477,0,3,480,0
12,Nabarangpur,77,Chitrakonda,6,,,,,,,,261,219,108,9,5,4,71,10,687,0,3,690,0
12,Nabarangpur,77,Chitrakonda,7,,,,,,,,150,138,53,2,4,6,12,4,369,0,5,374,0
12,Nabarangpur,77,Chitrakonda,8,,,,,,,,219,242,45,5,2,2,8,1,524,0,10,534,0
12,Nabarangpur,77,Chitrakonda,9,,,,,,,,230,100,42,0,0,0,11,1,384,0,5,389,0
12,Nabarangpur,77,Chitrakonda,10,,,,,,,,240,281,46,13,6,7,31,6,630,0,12,642,0
12,Nabarangpur,77,Chitrakonda,11,,,,,,,,320,294,69,8,3,8,11,24,737,0,12,749,0
12,Nabarangpur,77,Chitrakonda,12,,,,,,,,262,221,89,7,9,6,12,188,794,0,10,804,0
12,Nabarangpur,77,Chitrakonda,13,,,,,,,,351,446,51,10,12,8,11,15,904,0,13,917,0
12,Nabarangpur,77,Chitrakonda,14,,,,,,,,254,179,62,11,4,8,4,14,536,0,10,546,0
12,Nabarangpur,77,Chitrakonda,15,,,,,,,,239,337,101,11,9,9,16,9,731,0,6,737,0
12,Nabarangpur,77,Chitrakonda,16,,,,,,,,362,211,122,15,4,3,11,5,733,0,10,743,0
12,Nabarangpur,77,Chitrakonda,17,,,,,,,,288,314,119,24,2,1,6,3,757,0,11,768,0
12,Nabarangpur,77,Chitrakonda,18,,,,,,,,165,190,152,8,1,4,6,5,531,0,4,535,0
12,Nabarangpur,77,Chitrakonda,19,,,,,,,,268,245,151,19,3,4,9,3,702,0,4,706,0
12,Nabarangpur,77,Chitrakonda,20,,,,,,,,295,367,136,18,2,2,9,14,843,0,11,854,0
