pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of valid votes,No. of rejected Votes (Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,78,Umerkote,1,,,,,,,,63,518,225,3,5,8,6,828,0,8,836,0
12,Nabarangpur,78,Umerkote,2,,,,,,,,100,226,219,0,6,2,5,558,0,8,566,0
12,Nabarangpur,78,Umerkote,3,,,,,,,,91,201,207,3,8,6,4,520,0,6,526,0
12,Nabarangpur,78,Umerkote,4,,,,,,,,61,218,194,7,6,1,3,490,0,6,496,0
12,Nabarangpur,78,Umerkote,5,,,,,,,,107,362,357,10,12,8,5,861,0,9,870,0
12,Nabarangpur,78,Umerkote,6,,,,,,,,126,296,136,4,4,7,4,577,0,7,584,0
12,Nabarangpur,78,Umerkote,7,,,,,,,,120,213,169,6,1,6,1,516,0,4,520,0
12,Nabarangpur,78,Umerkote,8,,,,,,,,135,320,134,8,4,3,5,609,0,5,614,0
12,Nabarangpur,78,Umerkote,9,,,,,,,,45,294,336,3,10,3,8,699,0,7,706,0
12,Nabarangpur,78,Umerkote,10,,,,,,,,52,448,199,3,8,8,5,723,0,8,731,0
12,Nabarangpur,78,Umerkote,11,,,,,,,,249,263,119,0,1,0,5,637,0,3,640,0
12,Nabarangpur,78,Umerkote,12,,,,,,,,71,207,315,6,7,4,7,617,0,13,630,0
12,Nabarangpur,78,Umerkote,13,,,,,,,,209,144,148,0,3,3,12,519,0,8,527,0
12,Nabarangpur,78,Umerkote,14,,,,,,,,115,187,140,6,7,4,1,460,0,5,465,0
12,Nabarangpur,78,Umerkote,15,,,,,,,,144,304,51,3,4,1,6,513,0,6,519,0
12,Nabarangpur,78,Umerkote,16,,,,,,,,78,308,92,2,4,4,3,491,0,3,494,0
12,Nabarangpur,78,Umerkote,17,,,,,,,,38,381,259,4,8,5,11,706,0,10,716,0
12,Nabarangpur,78,Umerkote,18,,,,,,,,28,135,59,3,5,5,21,256,0,1,257,0
12,Nabarangpur,78,Umerkote,19,,,,,,,,124,117,181,4,3,8,8,445,0,4,449,0
12,Nabarangpur,78,Umerkote,20,,,,,,,,40,592,283,2,8,9,5,939,0,21,960,0
12,Nabarangpur,78,Umerkote,21,,,,,,,,116,253,320,14,12,6,9,730,0,5,735,0
12,Nabarangpur,78,Umerkote,22,,,,,,,,90,423,403,13,7,5,7,948,0,12,960,0
12,Nabarangpur,78,Umerkote,23,,,,,,,,179,187,166,4,7,3,10,556,0,2,558,0
12,Nabarangpur,78,Umerkote,24,,,,,,,,84,205,213,5,7,9,15,538,0,10,548,0
12,Nabarangpur,78,Umerkote,25,,,,,,,,265,219,328,11,13,11,14,861,0,17,878,0
12,Nabarangpur,78,Umerkote,26,,,,,,,,115,378,251,6,10,12,9,781,0,16,797,0
12,Nabarangpur,78,Umerkote,27,,,,,,,,278,311,245,14,15,15,11,889,0,20,909,0
12,Nabarangpur,78,Umerkote,28,,,,,,,,196,286,118,7,13,5,3,628,0,4,632,0
12,Nabarangpur,78,Umerkote,29,,,,,,,,83,668,112,0,3,2,4,872,0,10,882,0
12,Nabarangpur,78,Umerkote,30,,,,,,,,110,524,95,4,11,11,7,762,0,20,782,0
12,Nabarangpur,78,Umerkote,31,,,,,,,,112,455,383,6,11,7,10,984,0,7,991,0
12,Nabarangpur,78,Umerkote,32,,,,,,,,283,390,218,2,7,2,4,906,0,3,909,0
12,Nabarangpur,78,Umerkote,33,,,,,,,,167,468,177,10,8,7,5,842,0,4,846,0
12,Nabarangpur,78,Umerkote,34,,,,,,,,84,277,114,5,5,2,7,494,0,4,498,0
12,Nabarangpur,78,Umerkote,35,,,,,,,,157,428,165,9,7,7,7,780,0,10,790,0
12,Nabarangpur,78,Umerkote,36,,,,,,,,90,152,206,7,2,3,1,461,0,2,463,0
12,Nabarangpur,78,Umerkote,37,,,,,,,,51,257,74,2,6,2,2,394,0,12,406,0
12,Nabarangpur,78,Umerkote,38,,,,,,,,111,338,216,8,9,4,7,693,0,19,712,0
12,Nabarangpur,78,Umerkote,39,,,,,,,,95,150,274,5,14,9,4,551,0,7,558,0
12,Nabarangpur,78,Umerkote,40,,,,,,,,133,207,231,12,9,7,4,603,0,3,606,0
12,Nabarangpur,78,Umerkote,41,,,,,,,,99,287,311,7,6,3,3,716,0,13,729,0
12,Nabarangpur,78,Umerkote,42,,,,,,,,115,185,210,2,1,3,2,518,0,4,522,0
12,Nabarangpur,78,Umerkote,43,,,,,,,,295,185,165,5,15,4,6,675,0,6,681,0
12,Nabarangpur,78,Umerkote,44,,,,,,,,94,107,148,8,8,7,13,385,0,18,403,0
12,Nabarangpur,78,Umerkote,45,,,,,,,,200,178,204,9,6,30,4,631,0,10,641,0
12,Nabarangpur,78,Umerkote,46,,,,,,,,144,299,333,9,16,4,12,817,0,12,829,0
12,Nabarangpur,78,Umerkote,47,,,,,,,,151,109,89,6,8,3,7,373,0,4,377,0
