pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid votes,No. of rejected Votes (Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,79,Jharigam,1,,,,,,,,27.0,17.0,37.0,0.0,1.0,1.0,1.0,2.0,765.0,851,0,2.0,853,0
12,Nabarangpur,79,Jharigam,2,,,,,,,,78.0,208.0,213.0,10.0,10.0,9.0,7.0,7.0,280.0,822,0,10.0,832,0
12,Nabarangpur,79,Jharigam,3,,,,,,,,189.0,110.0,228.0,13.0,16.0,7.0,8.0,10.0,214.0,795,0,13.0,808,0
12,Nabarangpur,79,Jharigam,4,,,,,,,,55.0,42.0,140.0,9.0,9.0,3.0,3.0,3.0,270.0,534,0,8.0,542,0
12,Nabarangpur,79,Jharigam,5,,,,,,,,101.0,23.0,142.0,6.0,1.0,2.0,4.0,2.0,128.0,409,0,5.0,414,0
12,Nabarangpur,79,Jharigam,6,,,,,,,,53.0,54.0,111.0,2.0,11.0,4.0,7.0,8.0,482.0,732,0,8.0,740,0
12,Nabarangpur,79,Jharigam,7,,,,,,,,66.0,9.0,79.0,1.0,12.0,6.0,6.0,3.0,210.0,392,0,6.0,398,0
12,Nabarangpur,79,Jharigam,8,,,,,,,,84.0,144.0,154.0,4.0,5.0,3.0,10.0,20.0,528.0,952,0,9.0,961,0
12,Nabarangpur,79,Jharigam,9,,,,,,,,42.0,53.0,72.0,7.0,8.0,4.0,5.0,13.0,460.0,664,0,4.0,668,0
12,Nabarangpur,79,Jharigam,10,,,,,,,,33.0,12.0,19.0,2.0,4.0,1.0,7.0,1.0,320.0,399,0,9.0,408,0
12,Nabarangpur,79,Jharigam,11,,,,,,,,49.0,154.0,95.0,7.0,9.0,5.0,7.0,5.0,352.0,683,0,8.0,691,0
12,Nabarangpur,79,Jharigam,12,,,,,,,,112.0,190.0,320.0,5.0,8.0,4.0,7.0,4.0,162.0,812,0,12.0,824,0
12,Nabarangpur,79,Jharigam,13,,,,,,,,125.0,110.0,339.0,6.0,13.0,3.0,8.0,6.0,187.0,797,0,13.0,810,0
12,Nabarangpur,79,Jharigam,14,,,,,,,,113.0,182.0,164.0,5.0,10.0,8.0,3.0,6.0,378.0,869,0,3.0,872,0
12,Nabarangpur,79,Jharigam,15,,,,,,,,125.0,22.0,94.0,0.0,6.0,5.0,4.0,8.0,545.0,809,0,3.0,812,0
12,Nabarangpur,79,Jharigam,16,,,,,,,,64.0,157.0,91.0,4.0,12.0,3.0,3.0,6.0,174.0,514,0,2.0,516,0
12,Nabarangpur,79,Jharigam,17,,,,,,,,131.0,23.0,251.0,3.0,4.0,13.0,8.0,6.0,57.0,496,0,12.0,508,0
12,Nabarangpur,79,Jharigam,18,,,,,,,,144.0,29.0,195.0,6.0,9.0,10.0,4.0,6.0,235.0,638,0,6.0,644,0
12,Nabarangpur,79,Jharigam,19,,,,,,,,98.0,255.0,81.0,6.0,8.0,7.0,4.0,6.0,169.0,634,0,10.0,644,0
12,Nabarangpur,79,Jharigam,20,,,,,,,,79.0,13.0,96.0,4.0,1.0,5.0,1.0,3.0,67.0,269,0,7.0,276,0
12,Nabarangpur,79,Jharigam,21,,,,,,,,228.0,25.0,307.0,10.0,7.0,10.0,9.0,5.0,215.0,816,0,13.0,829,0
12,Nabarangpur,79,Jharigam,22,,,,,,,,179.0,89.0,379.0,10.0,2.0,6.0,4.0,1.0,41.0,711,0,8.0,719,0
12,Nabarangpur,79,Jharigam,23,,,,,,,,333.0,240.0,85.0,2.0,1.0,1.0,12.0,4.0,69.0,747,0,4.0,751,0
12,Nabarangpur,79,Jharigam,24,,,,,,,,320.0,169.0,173.0,5.0,4.0,4.0,10.0,6.0,62.0,753,0,3.0,756,0
12,Nabarangpur,79,Jharigam,25,,,,,,,,353.0,164.0,118.0,8.0,5.0,7.0,6.0,7.0,64.0,732,0,7.0,739,0
12,Nabarangpur,79,Jharigam,26,,,,,,,,163.0,48.0,249.0,5.0,5.0,2.0,1.0,3.0,14.0,490,0,4.0,494,0
12,Nabarangpur,79,Jharigam,27,,,,,,,,240.0,109.0,168.0,10.0,0.0,2.0,3.0,1.0,4.0,537,0,0.0,537,0
12,Nabarangpur,79,Jharigam,28,,,,,,,,247.0,156.0,147.0,5.0,2.0,2.0,2.0,3.0,26.0,590,0,1.0,591,0
12,Nabarangpur,79,Jharigam,29,,,,,,,,230.0,90.0,251.0,7.0,8.0,3.0,2.0,5.0,51.0,647,0,2.0,649,0
12,Nabarangpur,79,Jharigam,30,,,,,,,,281.0,15.0,155.0,5.0,6.0,4.0,2.0,4.0,7.0,479,0,8.0,487,0
12,Nabarangpur,79,Jharigam,31,,,,,,,,207.0,227.0,340.0,8.0,12.0,8.0,6.0,12.0,207.0,1027,0,7.0,1034,0
12,Nabarangpur,79,Jharigam,32,,,,,,,,358.0,200.0,443.0,13.0,15.0,6.0,6.0,3.0,124.0,1168,0,12.0,1180,0
12,Nabarangpur,79,Jharigam,33,,,,,,,,93.0,127.0,181.0,11.0,4.0,1.0,4.0,3.0,69.0,493,0,1.0,494,0
12,Nabarangpur,79,Jharigam,34,,,,,,,,75.0,145.0,139.0,9.0,6.0,5.0,1.0,15.0,90.0,485,0,4.0,489,0
12,Nabarangpur,79,Jharigam,35,,,,,,,,285.0,125.0,308.0,11.0,9.0,6.0,12.0,13.0,84.0,853,0,30.0,883,0
12,Nabarangpur,79,Jharigam,36,,,,,,,,151.0,218.0,216.0,6.0,5.0,7.0,8.0,14.0,42.0,667,0,8.0,675,0
12,Nabarangpur,79,Jharigam,37,,,,,,,,110.0,234.0,282.0,8.0,12.0,4.0,8.0,12.0,230.0,900,0,9.0,909,0
12,Nabarangpur,79,Jharigam,38,,,,,,,,24.0,309.0,38.0,5.0,3.0,3.0,2.0,8.0,162.0,554,0,2.0,556,0
12,Nabarangpur,79,Jharigam,39,,,,,,,,142.0,169.0,145.0,12.0,7.0,3.0,6.0,4.0,236.0,724,0,5.0,729,0
12,Nabarangpur,79,Jharigam,40,,,,,,,,294.0,54.0,291.0,4.0,8.0,3.0,3.0,3.0,113.0,773,0,3.0,776,0
12,Nabarangpur,79,Jharigam,41,,,,,,,,102.0,74.0,66.0,2.0,1.0,11.0,1.0,1.0,103.0,361,0,2.0,363,0
12,Nabarangpur,79,Jharigam,42,,,,,,,,82.0,305.0,74.0,5.0,5.0,7.0,10.0,3.0,36.0,527,0,3.0,530,0
12,Nabarangpur,79,Jharigam,43,,,,,,,,253.0,29.0,232.0,3.0,2.0,5.0,7.0,3.0,37.0,571,0,10.0,581,0
12,Nabarangpur,79,Jharigam,44,,,,,,,,404.0,103.0,275.0,16.0,12.0,10.0,15.0,13.0,136.0,984,0,22.0,1006,0
12,Nabarangpur,79,Jharigam,45,,,,,,,,173.0,36.0,227.0,1.0,3.0,4.0,6.0,9.0,66.0,525,0,12.0,537,0
12,Nabarangpur,79,Jharigam,46,,,,,,,,61.0,127.0,105.0,5.0,7.0,3.0,2.0,3.0,126.0,439,0,4.0,443,0
