pc_id,pc_name,ac_id,ac_name,Serial No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid Votes,No. of rejected Votes ( Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,81,Dabugam,1,,,,,,,,109.0,95.0,2.0,180.0,2.0,1.0,1.0,1.0,6.0,1.0,398,0,1.0,399,0
12,Nabarangpur,81,Dabugam,2,,,,,,,,274.0,161.0,10.0,271.0,4.0,0.0,3.0,5.0,3.0,3.0,734,0,1.0,735,0
12,Nabarangpur,81,Dabugam,3,,,,,,,,110.0,42.0,9.0,284.0,3.0,1.0,0.0,1.0,3.0,2.0,455,0,2.0,457,0
12,Nabarangpur,81,Dabugam,4,,,,,,,,154.0,137.0,5.0,241.0,2.0,2.0,1.0,3.0,43.0,52.0,640,0,3.0,643,0
12,Nabarangpur,81,Dabugam,5,,,,,,,,156.0,84.0,3.0,196.0,8.0,0.0,2.0,1.0,8.0,13.0,471,0,3.0,474,0
12,Nabarangpur,81,Dabugam,6,,,,,,,,248.0,37.0,7.0,332.0,8.0,1.0,2.0,6.0,4.0,9.0,654,0,0.0,654,0
12,Nabarangpur,81,Dabugam,7,,,,,,,,174.0,67.0,6.0,203.0,4.0,2.0,4.0,1.0,24.0,12.0,497,0,7.0,504,0
12,Nabarangpur,81,Dabugam,8,,,,,,,,227.0,142.0,3.0,296.0,5.0,4.0,0.0,5.0,48.0,4.0,734,0,3.0,737,0
12,Nabarangpur,81,Dabugam,9,,,,,,,,216.0,69.0,2.0,175.0,8.0,3.0,5.0,33.0,23.0,4.0,538,0,2.0,540,0
12,Nabarangpur,81,Dabugam,10,,,,,,,,163.0,115.0,1.0,235.0,8.0,0.0,1.0,3.0,31.0,6.0,563,0,1.0,564,0
12,Nabarangpur,81,Dabugam,11,,,,,,,,132.0,70.0,8.0,249.0,8.0,7.0,5.0,7.0,13.0,58.0,557,0,8.0,565,0
12,Nabarangpur,81,Dabugam,12,,,,,,,,126.0,134.0,6.0,139.0,2.0,2.0,3.0,13.0,46.0,59.0,530,0,3.0,533,0
12,Nabarangpur,81,Dabugam,13,,,,,,,,297.0,104.0,7.0,117.0,2.0,2.0,3.0,1.0,65.0,113.0,711,0,6.0,717,0
12,Nabarangpur,81,Dabugam,14,,,,,,,,391.0,82.0,7.0,219.0,3.0,3.0,2.0,5.0,71.0,12.0,795,0,6.0,801,0
12,Nabarangpur,81,Dabugam,15,,,,,,,,111.0,132.0,4.0,81.0,2.0,1.0,0.0,4.0,25.0,2.0,362,0,1.0,363,0
12,Nabarangpur,81,Dabugam,16,,,,,,,,318.0,293.0,6.0,362.0,6.0,4.0,2.0,4.0,7.0,28.0,1030,0,3.0,1033,0
12,Nabarangpur,81,Dabugam,17,,,,,,,,122.0,188.0,2.0,182.0,4.0,0.0,3.0,0.0,2.0,7.0,510,0,0.0,510,0
12,Nabarangpur,81,Dabugam,18,,,,,,,,250.0,73.0,1.0,198.0,4.0,1.0,1.0,7.0,1.0,3.0,539,0,1.0,540,0
12,Nabarangpur,81,Dabugam,19,,,,,,,,95.0,78.0,4.0,91.0,3.0,2.0,2.0,57.0,3.0,5.0,340,0,1.0,341,0
12,Nabarangpur,81,Dabugam,20,,,,,,,,148.0,61.0,2.0,73.0,3.0,0.0,1.0,4.0,2.0,4.0,298,0,1.0,299,0
12,Nabarangpur,81,Dabugam,21,,,,,,,,122.0,47.0,0.0,83.0,0.0,1.0,2.0,7.0,4.0,6.0,272,0,2.0,274,0
12,Nabarangpur,81,Dabugam,22,,,,,,,,122.0,162.0,4.0,96.0,2.0,1.0,0.0,0.0,4.0,1.0,392,0,3.0,395,0
12,Nabarangpur,81,Dabugam,23,,,,,,,,264.0,156.0,9.0,274.0,12.0,2.0,5.0,14.0,13.0,8.0,757,0,3.0,760,0
12,Nabarangpur,81,Dabugam,24,,,,,,,,295.0,131.0,9.0,283.0,5.0,1.0,2.0,3.0,11.0,20.0,760,0,7.0,767,0
12,Nabarangpur,81,Dabugam,25,,,,,,,,123.0,17.0,1.0,211.0,1.0,0.0,2.0,4.0,1.0,5.0,365,0,5.0,370,0
12,Nabarangpur,81,Dabugam,26,,,,,,,,198.0,62.0,2.0,179.0,3.0,1.0,6.0,3.0,8.0,10.0,472,0,1.0,473,0
12,Nabarangpur,81,Dabugam,27,,,,,,,,154.0,71.0,1.0,242.0,3.0,1.0,1.0,1.0,8.0,5.0,487,0,3.0,490,0
12,Nabarangpur,81,Dabugam,28,,,,,,,,142.0,200.0,6.0,256.0,0.0,2.0,2.0,2.0,20.0,8.0,638,0,1.0,639,0
12,Nabarangpur,81,Dabugam,29,,,,,,,,220.0,263.0,11.0,356.0,9.0,5.0,3.0,3.0,9.0,75.0,954,0,13.0,967,0
12,Nabarangpur,81,Dabugam,30,,,,,,,,182.0,97.0,6.0,238.0,12.0,5.0,4.0,6.0,4.0,50.0,604,0,5.0,609,0
12,Nabarangpur,81,Dabugam,31,,,,,,,,196.0,140.0,4.0,300.0,4.0,0.0,1.0,1.0,10.0,5.0,661,0,1.0,662,0
12,Nabarangpur,81,Dabugam,32,,,,,,,,92.0,262.0,3.0,182.0,2.0,1.0,0.0,1.0,10.0,3.0,556,0,0.0,556,0
12,Nabarangpur,81,Dabugam,33,,,,,,,,245.0,99.0,3.0,305.0,5.0,2.0,1.0,3.0,0.0,4.0,667,0,2.0,669,0
12,Nabarangpur,81,Dabugam,34,,,,,,,,92.0,90.0,6.0,475.0,4.0,1.0,0.0,1.0,6.0,27.0,702,0,5.0,707,0
12,Nabarangpur,81,Dabugam,35,,,,,,,,41.0,109.0,8.0,162.0,3.0,1.0,6.0,14.0,8.0,36.0,388,0,4.0,392,0
