pc_id,pc_name,ac_id,ac_name,Serial No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No.of rejected votes,NOTA,Total,No.of tendered votes
12,Nabarangpur,82,Kotpad,1,,,,,,,,108.0,9.0,189.0,23.0,0.0,1.0,330,0,6.0,336,0
12,Nabarangpur,82,Kotpad,2,,,,,,,,121.0,7.0,127.0,121.0,2.0,0.0,378,0,3.0,381,0
12,Nabarangpur,82,Kotpad,3,,,,,,,,172.0,20.0,327.0,117.0,13.0,5.0,654,0,19.0,673,0
12,Nabarangpur,82,Kotpad,4,,,,,,,,196.0,8.0,353.0,151.0,6.0,9.0,723,0,7.0,730,0
12,Nabarangpur,82,Kotpad,5,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,nan,0,0
12,Nabarangpur,82,Kotpad,6,,,,,,,,163.0,16.0,308.0,239.0,13.0,10.0,749,0,19.0,768,0
12,Nabarangpur,82,Kotpad,7,,,,,,,,45.0,11.0,348.0,176.0,4.0,5.0,589,0,4.0,593,0
12,Nabarangpur,82,Kotpad,8,,,,,,,,113.0,14.0,291.0,286.0,9.0,9.0,722,0,13.0,735,0
12,Nabarangpur,82,Kotpad,9,,,,,,,,230.0,23.0,448.0,190.0,32.0,27.0,950,0,42.0,992,0
12,Nabarangpur,82,Kotpad,10,,,,,,,,188.0,18.0,407.0,224.0,17.0,53.0,907,0,14.0,921,0
12,Nabarangpur,82,Kotpad,11,,,,,,,,75.0,6.0,277.0,234.0,13.0,5.0,610,0,9.0,619,0
12,Nabarangpur,82,Kotpad,12,,,,,,,,72.0,7.0,448.0,226.0,4.0,4.0,761,0,4.0,765,0
12,Nabarangpur,82,Kotpad,13,,,,,,,,166.0,4.0,340.0,119.0,8.0,6.0,643,0,3.0,646,0
12,Nabarangpur,82,Kotpad,14,,,,,,,,145.0,10.0,182.0,66.0,8.0,8.0,419,0,10.0,429,0
12,Nabarangpur,82,Kotpad,2,,,,,,,,3.0,4.0,5.0,6.0,7.0,8.0,9,10,11.0,12,13
12,Nabarangpur,82,Kotpad,15,,,,,,,,162.0,12.0,342.0,389.0,8.0,7.0,920,0,16.0,936,0
12,Nabarangpur,82,Kotpad,16,,,,,,,,237.0,17.0,388.0,137.0,10.0,3.0,792,0,9.0,801,0
12,Nabarangpur,82,Kotpad,17,,,,,,,,154.0,14.0,295.0,127.0,11.0,7.0,608,0,8.0,616,0
12,Nabarangpur,82,Kotpad,18,,,,,,,,231.0,16.0,476.0,122.0,7.0,4.0,856,0,5.0,861,0
12,Nabarangpur,82,Kotpad,19,,,,,,,,31.0,24.0,270.0,485.0,31.0,2.0,843,0,5.0,848,0
12,Nabarangpur,82,Kotpad,20,,,,,,,,131.0,13.0,324.0,265.0,8.0,17.0,758,0,10.0,768,0
12,Nabarangpur,82,Kotpad,21,,,,,,,,174.0,14.0,409.0,161.0,22.0,13.0,793,0,18.0,811,0
12,Nabarangpur,82,Kotpad,22,,,,,,,,124.0,9.0,536.0,205.0,6.0,10.0,890,0,20.0,910,0
12,Nabarangpur,82,Kotpad,23,,,,,,,,102.0,8.0,452.0,72.0,8.0,7.0,649,0,8.0,657,0
12,Nabarangpur,82,Kotpad,24,,,,,,,,77.0,14.0,389.0,272.0,6.0,7.0,765,0,14.0,779,0
12,Nabarangpur,82,Kotpad,25,,,,,,,,88.0,4.0,167.0,109.0,4.0,6.0,378,0,9.0,387,0
12,Nabarangpur,82,Kotpad,26,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,nan,0,0
12,Nabarangpur,82,Kotpad,27,,,,,,,,97.0,9.0,377.0,216.0,12.0,6.0,717,0,5.0,722,0
12,Nabarangpur,82,Kotpad,28,,,,,,,,78.0,11.0,300.0,153.0,5.0,6.0,553,0,5.0,558,0
12,Nabarangpur,82,Kotpad,29,,,,,,,,148.0,5.0,384.0,176.0,10.0,6.0,729,0,4.0,733,0
12,Nabarangpur,82,Kotpad,30,,,,,,,,75.0,2.0,138.0,272.0,9.0,1.0,497,0,4.0,501,0
12,Nabarangpur,82,Kotpad,31,,,,,,,,153.0,8.0,322.0,295.0,9.0,11.0,798,0,6.0,804,0
12,Nabarangpur,82,Kotpad,32,,,,,,,,235.0,1.0,277.0,140.0,9.0,8.0,670,0,6.0,676,0
12,Nabarangpur,82,Kotpad,33,,,,,,,,151.0,2.0,360.0,115.0,9.0,2.0,639,0,11.0,650,0
12,Nabarangpur,82,Kotpad,34,,,,,,,,158.0,1.0,178.0,124.0,0.0,12.0,473,0,16.0,489,0
12,Nabarangpur,82,Kotpad,35,,,,,,,,79.0,4.0,365.0,266.0,19.0,4.0,737,0,5.0,742,0
12,Nabarangpur,82,Kotpad,36,,,,,,,,105.0,1.0,215.0,264.0,6.0,2.0,593,0,11.0,604,0
12,Nabarangpur,82,Kotpad,37,,,,,,,,115.0,3.0,90.0,115.0,15.0,9.0,347,0,3.0,350,0
12,Nabarangpur,82,Kotpad,2,,,,,,,,3.0,4.0,5.0,6.0,7.0,8.0,9,10,11.0,12,13
12,Nabarangpur,82,Kotpad,38,,,,,,,,329.0,4.0,291.0,73.0,1.0,16.0,714,0,16.0,730,0
12,Nabarangpur,82,Kotpad,39,,,,,,,,124.0,3.0,226.0,370.0,8.0,7.0,738,0,4.0,742,0
12,Nabarangpur,82,Kotpad,40,,,,,,,,249.0,8.0,254.0,171.0,12.0,11.0,705,0,3.0,708,0
12,Nabarangpur,82,Kotpad,41,,,,,,,,196.0,4.0,225.0,147.0,4.0,9.0,585,0,5.0,590,0
12,Nabarangpur,82,Kotpad,42,,,,,,,,166.0,3.0,260.0,145.0,15.0,6.0,595,0,9.0,604,0
12,Nabarangpur,82,Kotpad,43,,,,,,,,144.0,4.0,112.0,106.0,1.0,2.0,369,0,10.0,379,0
12,Nabarangpur,82,Kotpad,44,,,,,,,,157.0,1.0,172.0,64.0,0.0,3.0,397,0,4.0,401,0
12,Nabarangpur,82,Kotpad,45,,,,,,,,185.0,5.0,244.0,125.0,7.0,4.0,570,0,9.0,579,0
12,Nabarangpur,82,Kotpad,46,,,,,,,,205.0,7.0,203.0,160.0,7.0,1.0,583,0,6.0,589,0
