pc_id,pc_name,ac_id,ac_name,Serial No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,No.of rejected votes,NOTA,Total,No.of tendered votes
12,Nabarangpur,83,Malkangiri,1,,,,,,,,107.0,4.0,15.0,311.0,3.0,2.0,6.0,0.0,5.0,453.0,0.0
12,Nabarangpur,83,Malkangiri,2,,,,,,,,140.0,5.0,57.0,246.0,9.0,3.0,3.0,0.0,4.0,467.0,0.0
12,Nabarangpur,83,Malkangiri,3,,,,,,,,151.0,11.0,117.0,298.0,16.0,14.0,6.0,0.0,3.0,616.0,0.0
12,Nabarangpur,83,Malkangiri,4,,,,,,,,110.0,6.0,125.0,253.0,7.0,5.0,2.0,0.0,2.0,510.0,0.0
12,Nabarangpur,83,Malkangiri,5,,,,,,,,127.0,6.0,96.0,269.0,6.0,4.0,8.0,0.0,1.0,517.0,0.0
12,Nabarangpur,83,Malkangiri,6,,,,,,,,81.0,2.0,89.0,366.0,3.0,0.0,6.0,0.0,1.0,548.0,0.0
12,Nabarangpur,83,Malkangiri,7,,,,,,,,117.0,5.0,39.0,98.0,3.0,1.0,2.0,0.0,0.0,265.0,0.0
12,Nabarangpur,83,Malkangiri,8,,,,,,,,134.0,3.0,92.0,278.0,15.0,9.0,7.0,0.0,0.0,538.0,0.0
12,Nabarangpur,83,Malkangiri,9,,,,,,,,264.0,7.0,131.0,330.0,21.0,8.0,5.0,0.0,9.0,775.0,0.0
12,Nabarangpur,83,Malkangiri,10,,,,,,,,233.0,6.0,80.0,239.0,65.0,13.0,5.0,0.0,12.0,653.0,0.0
12,Nabarangpur,83,Malkangiri,11,,,,,,,,158.0,2.0,107.0,348.0,6.0,4.0,3.0,0.0,1.0,629.0,0.0
12,Nabarangpur,83,Malkangiri,12,,,,,,,,181.0,4.0,69.0,274.0,16.0,36.0,6.0,0.0,1.0,587.0,0.0
12,Nabarangpur,83,Malkangiri,13,,,,,,,,36.0,2.0,104.0,139.0,2.0,0.0,0.0,0.0,4.0,287.0,0.0
12,Nabarangpur,83,Malkangiri,14,,,,,,,,248.0,0.0,88.0,315.0,58.0,5.0,9.0,0.0,2.0,725.0,0.0
12,Nabarangpur,83,Malkangiri,15,,,,,,,,261.0,2.0,80.0,179.0,11.0,4.0,0.0,0.0,0.0,537.0,0.0
12,Nabarangpur,83,Malkangiri,16,,,,,,,,285.0,3.0,77.0,260.0,10.0,2.0,3.0,0.0,3.0,643.0,0.0
12,Nabarangpur,83,Malkangiri,17,,,,,,,,220.0,5.0,99.0,387.0,17.0,7.0,4.0,0.0,9.0,748.0,0.0
12,Nabarangpur,83,Malkangiri,18,,,,,,,,374.0,14.0,41.0,382.0,15.0,6.0,10.0,0.0,4.0,846.0,0.0
12,Nabarangpur,83,Malkangiri,19,,,,,,,,248.0,6.0,46.0,317.0,20.0,1.0,4.0,0.0,7.0,649.0,0.0
12,Nabarangpur,83,Malkangiri,20,,,,,,,,206.0,8.0,112.0,330.0,12.0,11.0,39.0,0.0,3.0,721.0,0.0
12,Nabarangpur,83,Malkangiri,21,,,,,,,,296.0,9.0,51.0,366.0,9.0,10.0,4.0,0.0,7.0,752.0,0.0
12,Nabarangpur,83,Malkangiri,22,,,,,,,,220.0,3.0,181.0,303.0,15.0,16.0,4.0,0.0,4.0,746.0,0.0
12,Nabarangpur,83,Malkangiri,23,,,,,,,,80.0,5.0,69.0,326.0,2.0,4.0,7.0,0.0,7.0,500.0,0.0
12,Nabarangpur,83,Malkangiri,24,,,,,,,,185.0,7.0,161.0,242.0,8.0,14.0,4.0,0.0,4.0,625.0,0.0
12,Nabarangpur,83,Malkangiri,25,,,,,,,,255.0,3.0,154.0,251.0,10.0,3.0,2.0,0.0,1.0,679.0,0.0
12,Nabarangpur,83,Malkangiri,26,,,,,,,,200.0,1.0,145.0,135.0,3.0,4.0,0.0,0.0,0.0,488.0,0.0
12,Nabarangpur,83,Malkangiri,27,,,,,,,,159.0,3.0,33.0,204.0,6.0,3.0,2.0,0.0,3.0,413.0,0.0
12,Nabarangpur,83,Malkangiri,28,,,,,,,,189.0,0.0,97.0,133.0,4.0,23.0,2.0,0.0,4.0,452.0,0.0
12,Nabarangpur,83,Malkangiri,29,,,,,,,,202.0,4.0,19.0,133.0,9.0,1.0,4.0,0.0,2.0,374.0,0.0
12,Nabarangpur,83,Malkangiri,30,,,,,,,,94.0,1.0,108.0,293.0,1.0,3.0,1.0,0.0,1.0,502.0,0.0
12,Nabarangpur,83,Malkangiri,31,,,,,,,,115.0,2.0,137.0,314.0,4.0,1.0,1.0,0.0,4.0,578.0,0.0
12,Nabarangpur,83,Malkangiri,32,,,,,,,,284.0,3.0,151.0,242.0,4.0,4.0,4.0,0.0,6.0,698.0,0.0
12,Nabarangpur,83,Malkangiri,33,,,,,,,,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0
12,Nabarangpur,83,Malkangiri,34,,,,,,,,245.0,6.0,58.0,304.0,6.0,49.0,4.0,0.0,3.0,675.0,0.0
12,Nabarangpur,83,Malkangiri,35,,,,,,,,117.0,5.0,64.0,269.0,6.0,11.0,5.0,0.0,2.0,479.0,0.0
12,Nabarangpur,83,Malkangiri,36,,,,,,,,265.0,4.0,88.0,383.0,5.0,15.0,6.0,0.0,8.0,774.0,0.0
12,Nabarangpur,83,Malkangiri,37,,,,,,,,281.0,7.0,34.0,153.0,11.0,26.0,2.0,0.0,4.0,518.0,0.0
12,Nabarangpur,83,Malkangiri,38,,,,,,,,131.0,8.0,60.0,230.0,10.0,174.0,8.0,0.0,8.0,629.0,0.0
12,Nabarangpur,83,Malkangiri,39,,,,,,,,163.0,9.0,75.0,453.0,9.0,11.0,8.0,0.0,5.0,733.0,0.0
12,Nabarangpur,83,Malkangiri,40,,,,,,,,89.0,8.0,131.0,367.0,3.0,17.0,6.0,0.0,1.0,622.0,0.0
12,Nabarangpur,83,Malkangiri,41,,,,,,,,175.0,12.0,155.0,351.0,12.0,10.0,15.0,0.0,3.0,733.0,0.0
12,Nabarangpur,83,Malkangiri,42,,,,,,,,228.0,3.0,97.0,493.0,6.0,13.0,10.0,0.0,4.0,854.0,0.0
12,Nabarangpur,83,Malkangiri,43,,,,,,,,226.0,5.0,126.0,319.0,11.0,6.0,10.0,0.0,3.0,706.0,0.0
12,Nabarangpur,83,Malkangiri,44,,,,,,,,147.0,3.0,113.0,335.0,5.0,5.0,14.0,0.0,5.0,627.0,0.0
12,Nabarangpur,83,Malkangiri,45,,,,,,,,152.0,4.0,73.0,242.0,5.0,3.0,33.0,0.0,1.0,513.0,0.0
12,Nabarangpur,83,Malkangiri,46,,,,,,,,237.0,1.0,108.0,269.0,11.0,5.0,4.0,0.0,1.0,636.0,0.0
12,Nabarangpur,83,Malkangiri,47,,,,,,,,145.0,7.0,138.0,226.0,10.0,9.0,8.0,0.0,9.0,552.0,0.0
12,Nabarangpur,83,Malkangiri,48,,,,,,,,165.0,4.0,81.0,220.0,4.0,1.0,4.0,0.0,3.0,482.0,0.0
