pc_id,pc_name,ac_id,ac_name,Booth,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of Valid Votes,No.of rejected Votes (Test votes),Votes for NOTA option,Total,No. of Tendered Votes
13,Kandhamal,85,Baliguda,1,,,,,,,,230,28,182,14,132,23,609,0,7,616,0
13,Kandhamal,85,Baliguda,2,,,,,,,,227,84,172,28,318,29,858,0,5,863,0
13,Kandhamal,85,Baliguda,3,,,,,,,,216,155,91,19,296,26,803,0,7,810,0
13,Kandhamal,85,Baliguda,4,,,,,,,,333,97,118,23,203,19,793,0,8,801,0
13,Kandhamal,85,Baliguda,5,,,,,,,,84,27,145,7,177,11,451,0,5,456,0
13,Kandhamal,85,Baliguda,6,,,,,,,,85,39,255,3,95,7,484,0,1,485,0
13,Kandhamal,85,Baliguda,7,,,,,,,,340,71,270,6,62,15,764,0,6,770,0
13,Kandhamal,85,Baliguda,8,,,,,,,,276,24,217,14,176,18,725,0,10,735,0
13,Kandhamal,85,Baliguda,9,,,,,,,,519,3,0,0,1,1,524,0,0,524,0
13,Kandhamal,85,Baliguda,10,,,,,,,,197,42,237,5,89,6,576,0,2,578,0
13,Kandhamal,85,Baliguda,11,,,,,,,,227,22,110,19,141,8,527,0,9,536,0
13,Kandhamal,85,Baliguda,12,,,,,,,,73,21,95,6,91,9,295,0,3,298,0
13,Kandhamal,85,Baliguda,13,,,,,,,,308,37,132,20,153,18,668,0,8,676,0
13,Kandhamal,85,Baliguda,14,,,,,,,,111,39,149,12,110,7,428,0,2,430,0
13,Kandhamal,85,Baliguda,15,,,,,,,,296,22,155,10,211,14,708,0,6,714,0
13,Kandhamal,85,Baliguda,16,,,,,,,,158,12,61,3,138,4,376,0,0,376,0
13,Kandhamal,85,Baliguda,17,,,,,,,,107,26,127,3,98,7,368,0,2,370,0
13,Kandhamal,85,Baliguda,18,,,,,,,,145,72,214,3,76,7,517,0,7,524,0
13,Kandhamal,85,Baliguda,19,,,,,,,,109,39,101,14,108,11,382,0,4,386,0
13,Kandhamal,85,Baliguda,20,,,,,,,,70,8,170,5,105,8,366,0,2,368,0
13,Kandhamal,85,Baliguda,21,,,,,,,,206,14,119,12,91,9,451,0,5,456,0
13,Kandhamal,85,Baliguda,22,,,,,,,,293,36,246,10,63,20,668,0,4,672,0
13,Kandhamal,85,Baliguda,23,,,,,,,,282,16,138,5,125,6,572,0,8,580,0
13,Kandhamal,85,Baliguda,24,,,,,,,,180,32,191,5,58,10,476,0,7,483,0
13,Kandhamal,85,Baliguda,25,,,,,,,,136,14,141,10,363,21,685,0,2,687,0
13,Kandhamal,85,Baliguda,26,,,,,,,,208,11,73,1,133,6,432,0,3,435,0
13,Kandhamal,85,Baliguda,27,,,,,,,,297,10,63,2,83,1,456,0,1,457,0
13,Kandhamal,85,Baliguda,28,,,,,,,,907,2,6,1,2,0,918,0,0,918,0
13,Kandhamal,85,Baliguda,29,,,,,,,,46,5,12,0,194,2,259,0,0,259,0
13,Kandhamal,85,Baliguda,30,,,,,,,,137,37,337,6,80,12,609,0,2,611,0
13,Kandhamal,85,Baliguda,31,,,,,,,,287,32,167,11,250,12,759,0,7,766,0
13,Kandhamal,85,Baliguda,32,,,,,,,,229,24,157,18,166,13,607,0,2,609,0
13,Kandhamal,85,Baliguda,33,,,,,,,,305,68,204,8,143,21,749,0,9,758,0
13,Kandhamal,85,Baliguda,34,,,,,,,,177,17,65,0,14,0,273,0,1,274,0
13,Kandhamal,85,Baliguda,35,,,,,,,,344,89,221,10,104,43,811,0,8,819,0
13,Kandhamal,85,Baliguda,36,,,,,,,,253,55,235,8,85,10,646,0,7,653,0
13,Kandhamal,85,Baliguda,37,,,,,,,,182,36,203,4,66,12,503,0,4,507,0
13,Kandhamal,85,Baliguda,38,,,,,,,,193,33,132,36,304,27,725,0,4,729,0
13,Kandhamal,85,Baliguda,39,,,,,,,,155,30,92,9,100,13,399,0,3,402,0
13,Kandhamal,85,Baliguda,40,,,,,,,,105,23,46,4,150,38,366,0,2,368,0
13,Kandhamal,85,Baliguda,41,,,,,,,,165,17,197,5,162,6,552,0,3,555,0
13,Kandhamal,85,Baliguda,42,,,,,,,,218,110,62,19,211,35,655,0,3,658,0
13,Kandhamal,85,Baliguda,43,,,,,,,,131,36,134,11,165,19,496,0,3,499,0
13,Kandhamal,85,Baliguda,44,,,,,,,,275,32,427,9,81,6,830,0,7,837,0
13,Kandhamal,85,Baliguda,45,,,,,,,,317,50,217,10,181,24,799,0,10,809,0
13,Kandhamal,85,Baliguda,46,,,,,,,,324,32,110,5,55,10,536,0,1,537,0
13,Kandhamal,85,Baliguda,47,,,,,,,,296,33,105,2,88,4,528,0,1,529,0
13,Kandhamal,85,Baliguda,48,,,,,,,,491,40,189,10,126,6,862,0,3,865,0
13,Kandhamal,85,Baliguda,49,,,,,,,,303,17,52,15,370,5,762,0,10,772,0
13,Kandhamal,85,Baliguda,50,,,,,,,,219,52,323,11,112,14,731,0,2,733,0
13,Kandhamal,85,Baliguda,51,,,,,,,,190,45,146,10,107,11,509,0,10,519,0
13,Kandhamal,85,Baliguda,52,,,,,,,,124,18,107,2,104,6,361,0,1,362,0
13,Kandhamal,85,Baliguda,53,,,,,,,,214,43,124,5,133,15,534,0,2,536,0
13,Kandhamal,85,Baliguda,54,,,,,,,,322,55,181,3,72,8,641,0,3,644,0
13,Kandhamal,85,Baliguda,55,,,,,,,,225,37,217,9,218,7,713,0,1,714,0
13,Kandhamal,85,Baliguda,56,,,,,,,,261,65,130,13,105,25,599,0,2,601,0
13,Kandhamal,85,Baliguda,57,,,,,,,,137,37,122,8,176,11,491,0,2,493,0
13,Kandhamal,85,Baliguda,58,,,,,,,,79,82,201,5,85,8,460,0,1,461,0
13,Kandhamal,85,Baliguda,59,,,,,,,,228,24,185,12,118,11,578,0,5,583,0
13,Kandhamal,85,Baliguda,60,,,,,,,,251,31,213,13,144,10,662,0,4,666,0
13,Kandhamal,85,Baliguda,61,,,,,,,,136,35,130,17,165,14,497,0,1,498,0
13,Kandhamal,85,Baliguda,62,,,,,,,,238,88,320,24,219,32,921,0,18,939,0
13,Kandhamal,85,Baliguda,63,,,,,,,,73,13,78,5,194,16,379,0,3,382,0
13,Kandhamal,85,Baliguda,64,,,,,,,,204,43,132,3,39,5,426,0,4,430,0
13,Kandhamal,85,Baliguda,65,,,,,,,,288,45,117,14,298,6,768,0,1,769,0
13,Kandhamal,85,Baliguda,66,,,,,,,,137,78,71,9,131,16,442,0,3,445,0
13,Kandhamal,85,Baliguda,67,,,,,,,,345,123,166,10,87,11,742,0,3,745,0
13,Kandhamal,85,Baliguda,68,,,,,,,,134,36,134,8,160,15,487,0,6,493,0
13,Kandhamal,85,Baliguda,69,,,,,,,,292,50,239,20,152,18,771,0,4,775,0
13,Kandhamal,85,Baliguda,70,,,,,,,,121,32,164,2,10,4,333,0,1,334,0
13,Kandhamal,85,Baliguda,71,,,,,,,,137,34,165,6,45,6,393,0,11,404,0
13,Kandhamal,85,Baliguda,72,,,,,,,,112,11,118,7,40,4,292,0,0,292,0
13,Kandhamal,85,Baliguda,73,,,,,,,,152,18,253,7,56,8,494,0,0,494,0
13,Kandhamal,85,Baliguda,74,,,,,,,,124,38,338,5,59,10,574,0,5,579,0
13,Kandhamal,85,Baliguda,75,,,,,,,,367,36,344,9,182,19,957,0,5,962,0
13,Kandhamal,85,Baliguda,76,,,,,,,,120,30,120,6,52,6,334,0,3,337,0
13,Kandhamal,85,Baliguda,77,,,,,,,,116,37,99,9,123,7,391,0,3,394,0
13,Kandhamal,85,Baliguda,78,,,,,,,,79,47,187,6,148,8,475,0,0,475,0
13,Kandhamal,85,Baliguda,79,,,,,,,,388,46,260,10,127,9,840,0,4,844,0
13,Kandhamal,85,Baliguda,80,,,,,,,,425,34,183,13,110,5,770,0,6,776,0
13,Kandhamal,85,Baliguda,81,,,,,,,,302,15,85,11,265,11,689,0,1,690,0
13,Kandhamal,85,Baliguda,82,,,,,,,,129,8,66,6,142,8,359,0,2,361,0
13,Kandhamal,85,Baliguda,83,,,,,,,,241,132,217,9,158,23,780,0,1,781,0
