pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Valid Votes,Rejected votes,NOTA,Total votes, No. of tendered votes
13,Kandhamal,88,Kantamal,1,,,,,,,,235.0,171.0,240.0,4.0,4.0,0.0,1.0,655,0,5.0,660,0.0
13,Kandhamal,88,Kantamal,2,,,,,,,,145.0,296.0,174.0,2.0,0.0,0.0,0.0,617,0,0.0,617,0.0
13,Kandhamal,88,Kantamal,3,,,,,,,,168.0,294.0,182.0,2.0,4.0,0.0,1.0,651,0,8.0,659,0.0
13,Kandhamal,88,Kantamal,4,,,,,,,,163.0,410.0,180.0,5.0,6.0,4.0,3.0,771,0,9.0,780,0.0
13,Kandhamal,88,Kantamal,5,,,,,,,,77.0,370.0,140.0,1.0,11.0,2.0,2.0,603,0,2.0,605,0.0
13,Kandhamal,88,Kantamal,6,,,,,,,,112.0,350.0,144.0,5.0,10.0,0.0,2.0,623,0,3.0,626,0.0
13,Kandhamal,88,Kantamal,7,,,,,,,,147.0,330.0,195.0,2.0,1.0,4.0,2.0,681,0,2.0,683,0.0
13,Kandhamal,88,Kantamal,8,,,,,,,,137.0,308.0,78.0,0.0,5.0,1.0,4.0,533,0,4.0,537,0.0
13,Kandhamal,88,Kantamal,9,,,,,,,,284.0,503.0,57.0,1.0,2.0,1.0,0.0,848,0,1.0,849,0.0
13,Kandhamal,88,Kantamal,10,,,,,,,,315.0,346.0,160.0,1.0,5.0,1.0,4.0,832,0,7.0,839,0.0
13,Kandhamal,88,Kantamal,11,,,,,,,,350.0,532.0,92.0,3.0,2.0,1.0,1.0,981,0,4.0,985,0.0
13,Kandhamal,88,Kantamal,12,,,,,,,,258.0,512.0,135.0,5.0,7.0,0.0,1.0,918,0,10.0,928,0.0
13,Kandhamal,88,Kantamal,13,,,,,,,,207.0,533.0,160.0,3.0,1.0,0.0,3.0,907,0,0.0,907,0.0
13,Kandhamal,88,Kantamal,14,,,,,,,,240.0,457.0,153.0,4.0,6.0,0.0,1.0,861,0,5.0,866,0.0
13,Kandhamal,88,Kantamal,15,,,,,,,,94.0,165.0,121.0,0.0,0.0,2.0,1.0,383,0,1.0,384,0.0
13,Kandhamal,88,Kantamal,16,,,,,,,,314.0,394.0,150.0,3.0,4.0,0.0,0.0,865,0,0.0,865,0.0
13,Kandhamal,88,Kantamal,17,,,,,,,,123.0,196.0,130.0,0.0,0.0,0.0,0.0,449,0,2.0,451,0.0
13,Kandhamal,88,Kantamal,18,,,,,,,,204.0,315.0,154.0,5.0,4.0,0.0,1.0,683,0,4.0,687,0.0
13,Kandhamal,88,Kantamal,19,,,,,,,,112.0,208.0,147.0,1.0,1.0,3.0,1.0,473,0,1.0,474,0.0
13,Kandhamal,88,Kantamal,20,,,,,,,,333.0,513.0,132.0,2.0,2.0,0.0,0.0,982,0,1.0,983,0.0
13,Kandhamal,88,Kantamal,21,,,,,,,,188.0,241.0,42.0,0.0,2.0,0.0,0.0,473,0,0.0,473,0.0
13,Kandhamal,88,Kantamal,22,,,,,,,,54.0,157.0,17.0,2.0,3.0,0.0,0.0,233,0,6.0,239,0.0
13,Kandhamal,88,Kantamal,23,,,,,,,,136.0,299.0,102.0,0.0,0.0,0.0,0.0,537,0,8.0,545,0.0
13,Kandhamal,88,Kantamal,24,,,,,,,,108.0,196.0,67.0,0.0,0.0,1.0,0.0,372,0,1.0,373,0.0
13,Kandhamal,88,Kantamal,25,,,,,,,,207.0,191.0,67.0,2.0,0.0,2.0,0.0,469,0,1.0,470,0.0
13,Kandhamal,88,Kantamal,26,,,,,,,,96.0,142.0,62.0,0.0,0.0,1.0,1.0,302,0,3.0,305,0.0
13,Kandhamal,88,Kantamal,27,,,,,,,,349.0,288.0,204.0,5.0,1.0,2.0,1.0,850,0,9.0,859,0.0
13,Kandhamal,88,Kantamal,28,,,,,,,,316.0,444.0,161.0,1.0,1.0,0.0,1.0,924,0,8.0,932,0.0
13,Kandhamal,88,Kantamal,29,,,,,,,,254.0,282.0,72.0,5.0,10.0,3.0,3.0,629,0,17.0,646,0.0
13,Kandhamal,88,Kantamal,30,,,,,,,,146.0,96.0,64.0,3.0,3.0,0.0,1.0,313,0,2.0,315,0.0
13,Kandhamal,88,Kantamal,31,,,,,,,,477.0,320.0,87.0,2.0,4.0,2.0,2.0,894,0,4.0,898,0.0
13,Kandhamal,88,Kantamal,32,,,,,,,,228.0,305.0,51.0,1.0,2.0,0.0,3.0,590,0,0.0,590,0.0
13,Kandhamal,88,Kantamal,33,,,,,,,,267.0,229.0,100.0,3.0,1.0,0.0,3.0,603,0,2.0,605,0.0
13,Kandhamal,88,Kantamal,34,,,,,,,,194.0,269.0,58.0,3.0,3.0,0.0,3.0,530,0,8.0,538,0.0
13,Kandhamal,88,Kantamal,35,,,,,,,,95.0,350.0,150.0,0.0,1.0,1.0,0.0,597,0,0.0,597,0.0
13,Kandhamal,88,Kantamal,36,,,,,,,,207.0,509.0,84.0,3.0,3.0,2.0,1.0,809,0,1.0,810,0.0
13,Kandhamal,88,Kantamal,37,,,,,,,,134.0,210.0,65.0,1.0,1.0,0.0,0.0,411,0,0.0,411,0.0
13,Kandhamal,88,Kantamal,38,,,,,,,,167.0,203.0,24.0,1.0,0.0,0.0,0.0,395,0,0.0,395,0.0
13,Kandhamal,88,Kantamal,39,,,,,,,,188.0,403.0,118.0,3.0,3.0,0.0,0.0,715,0,1.0,716,0.0
13,Kandhamal,88,Kantamal,40,,,,,,,,254.0,294.0,30.0,0.0,1.0,0.0,0.0,579,0,1.0,580,0.0
13,Kandhamal,88,Kantamal,41,,,,,,,,211.0,326.0,95.0,0.0,2.0,1.0,2.0,637,0,7.0,644,0.0
13,Kandhamal,88,Kantamal,42,,,,,,,,211.0,367.0,102.0,1.0,2.0,0.0,4.0,687,0,1.0,688,0.0
13,Kandhamal,88,Kantamal,43,,,,,,,,187.0,240.0,70.0,0.0,8.0,0.0,4.0,509,0,1.0,510,0.0
13,Kandhamal,88,Kantamal,44,,,,,,,,255.0,237.0,94.0,1.0,3.0,1.0,2.0,593,0,21.0,614,0.0
13,Kandhamal,88,Kantamal,45,,,,,,,,93.0,265.0,54.0,6.0,7.0,1.0,2.0,428,0,8.0,436,0.0
13,Kandhamal,88,Kantamal,46,,,,,,,,119.0,391.0,100.0,5.0,1.0,1.0,0.0,617,0,0.0,617,0.0
13,Kandhamal,88,Kantamal,47,,,,,,,,166.0,245.0,102.0,2.0,4.0,1.0,1.0,521,0,2.0,523,0.0
13,Kandhamal,88,Kantamal,48,,,,,,,,300.0,312.0,135.0,2.0,2.0,4.0,2.0,757,0,13.0,770,0.0
13,Kandhamal,88,Kantamal,49,,,,,,,,359.0,216.0,94.0,1.0,1.0,1.0,0.0,672,0,2.0,674,0.0
13,Kandhamal,88,Kantamal,50,,,,,,,,243.0,153.0,128.0,0.0,1.0,1.0,0.0,526,0,1.0,527,0.0
13,Kandhamal,88,Kantamal,51,,,,,,,,158.0,270.0,193.0,5.0,0.0,1.0,0.0,627,0,3.0,630,0.0
13,Kandhamal,88,Kantamal,52,,,,,,,,315.0,358.0,223.0,3.0,2.0,2.0,1.0,904,0,4.0,908,0.0
13,Kandhamal,88,Kantamal,53,,,,,,,,232.0,445.0,196.0,3.0,2.0,5.0,2.0,885,0,2.0,887,0.0
13,Kandhamal,88,Kantamal,54,,,,,,,,130.0,116.0,83.0,3.0,1.0,0.0,0.0,333,0,2.0,335,0.0
13,Kandhamal,88,Kantamal,55,,,,,,,,179.0,256.0,96.0,2.0,2.0,0.0,0.0,535,0,0.0,535,0.0
13,Kandhamal,88,Kantamal,56,,,,,,,,376.0,406.0,186.0,2.0,2.0,1.0,0.0,973,0,4.0,977,0.0
13,Kandhamal,88,Kantamal,57,,,,,,,,145.0,490.0,199.0,3.0,3.0,2.0,1.0,843,0,4.0,847,0.0
13,Kandhamal,88,Kantamal,58,,,,,,,,402.0,320.0,156.0,9.0,9.0,4.0,3.0,903,0,21.0,924,0.0
13,Kandhamal,88,Kantamal,59,,,,,,,,118.0,119.0,112.0,1.0,0.0,0.0,1.0,351,0,2.0,353,0.0
13,Kandhamal,88,Kantamal,60,,,,,,,,170.0,206.0,100.0,0.0,1.0,0.0,0.0,477,0,0.0,477,0.0
13,Kandhamal,88,Kantamal,61,,,,,,,,192.0,244.0,35.0,3.0,2.0,2.0,1.0,479,0,1.0,480,0.0
13,Kandhamal,88,Kantamal,62,,,,,,,,141.0,333.0,137.0,4.0,5.0,0.0,0.0,620,0,2.0,622,0.0
13,Kandhamal,88,Kantamal,63,,,,,,,,164.0,507.0,229.0,2.0,3.0,0.0,1.0,906,0,2.0,908,0.0
13,Kandhamal,88,Kantamal,64,,,,,,,,128.0,302.0,149.0,1.0,4.0,3.0,4.0,591,0,5.0,596,0.0
13,Kandhamal,88,Kantamal,65,,,,,,,,310.0,387.0,98.0,2.0,2.0,1.0,4.0,804,0,6.0,810,0.0
13,Kandhamal,88,Kantamal,66,,,,,,,,142.0,148.0,34.0,1.0,0.0,1.0,0.0,326,0,2.0,328,0.0
13,Kandhamal,88,Kantamal,67,,,,,,,,312.0,295.0,128.0,2.0,3.0,1.0,2.0,743,0,7.0,750,0.0
13,Kandhamal,88,Kantamal,68,,,,,,,,296.0,304.0,121.0,7.0,6.0,3.0,3.0,740,0,6.0,746,0.0
13,Kandhamal,88,Kantamal,69,,,,,,,,265.0,365.0,136.0,1.0,5.0,3.0,0.0,775,0,9.0,784,0.0
13,Kandhamal,88,Kantamal,70,,,,,,,,170.0,109.0,65.0,0.0,0.0,0.0,0.0,344,0,1.0,345,0.0
13,Kandhamal,88,Kantamal,71,,,,,,,,321.0,307.0,169.0,1.0,1.0,0.0,0.0,799,0,2.0,801,0.0
13,Kandhamal,88,Kantamal,72,,,,,,,,260.0,383.0,202.0,3.0,1.0,1.0,1.0,851,0,7.0,858,0.0
13,Kandhamal,88,Kantamal,73,,,,,,,,224.0,388.0,108.0,4.0,2.0,0.0,0.0,726,0,1.0,727,0.0
13,Kandhamal,88,Kantamal,74,,,,,,,,295.0,392.0,95.0,5.0,1.0,0.0,3.0,791,0,2.0,793,0.0
13,Kandhamal,88,Kantamal,75,,,,,,,,317.0,333.0,212.0,7.0,4.0,2.0,2.0,877,0,6.0,883,0.0
13,Kandhamal,88,Kantamal,76,,,,,,,,251.0,302.0,136.0,2.0,4.0,1.0,3.0,699,0,2.0,701,0.0
13,Kandhamal,88,Kantamal,77,,,,,,,,148.0,452.0,124.0,3.0,1.0,1.0,1.0,730,0,2.0,732,0.0
13,Kandhamal,88,Kantamal,78,,,,,,,,310.0,360.0,131.0,9.0,5.0,0.0,3.0,818,0,6.0,824,0.0
13,Kandhamal,88,Kantamal,79,,,,,,,,207.0,319.0,98.0,0.0,3.0,1.0,0.0,628,0,4.0,632,0.0
13,Kandhamal,88,Kantamal,80,,,,,,,,308.0,277.0,88.0,4.0,3.0,0.0,0.0,680,0,5.0,685,0.0
13,Kandhamal,88,Kantamal,81,,,,,,,,301.0,270.0,64.0,1.0,1.0,0.0,0.0,637,0,0.0,637,0.0
13,Kandhamal,88,Kantamal,82,,,,,,,,344.0,569.0,40.0,2.0,1.0,0.0,0.0,956,0,0.0,956,0.0
13,Kandhamal,88,Kantamal,83,,,,,,,,246.0,260.0,38.0,2.0,2.0,0.0,0.0,548,0,1.0,549,0.0
13,Kandhamal,88,Kantamal,84,,,,,,,,359.0,327.0,65.0,3.0,2.0,1.0,0.0,757,0,1.0,758,0.0
13,Kandhamal,88,Kantamal,85,,,,,,,,282.0,365.0,72.0,3.0,1.0,1.0,1.0,725,0,3.0,728,0.0
13,Kandhamal,88,Kantamal,86,,,,,,,,76.0,135.0,66.0,2.0,0.0,0.0,0.0,279,0,0.0,279,0.0
13,Kandhamal,88,Kantamal,87,,,,,,,,92.0,330.0,135.0,1.0,2.0,0.0,1.0,561,0,2.0,563,0.0
