pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
13,Kandhamal,89,Boudh,1,,,,,,,,22,42,404,6,0,1,1,1,4,3,484,0,1,485,0
13,Kandhamal,89,Boudh,2,,,,,,,,20,121,404,1,0,0,2,1,1,0,550,0,0,550,0
13,Kandhamal,89,Boudh,3,,,,,,,,119,336,469,2,1,2,5,0,6,4,944,0,8,952,0
13,Kandhamal,89,Boudh,4,,,,,,,,85,278,368,5,1,4,8,1,2,1,753,0,3,756,0
13,Kandhamal,89,Boudh,5,,,,,,,,34,229,335,6,2,2,22,3,3,0,636,0,5,641,0
13,Kandhamal,89,Boudh,6,,,,,,,,65,407,394,1,1,1,40,1,1,1,912,0,2,914,0
13,Kandhamal,89,Boudh,7,,,,,,,,19,243,364,1,2,0,30,0,0,1,660,0,1,661,0
13,Kandhamal,89,Boudh,8,,,,,,,,132,256,464,1,0,0,6,2,0,0,861,0,3,864,0
13,Kandhamal,89,Boudh,9,,,,,,,,37,113,320,3,1,1,2,0,1,0,478,0,3,481,0
13,Kandhamal,89,Boudh,10,,,,,,,,21,263,298,2,0,1,27,0,0,1,613,0,2,615,0
13,Kandhamal,89,Boudh,11,,,,,,,,5,11,460,0,0,0,1,0,0,0,477,0,2,479,0
13,Kandhamal,89,Boudh,12,,,,,,,,62,30,369,0,1,0,14,1,1,0,478,0,3,481,0
13,Kandhamal,89,Boudh,13,,,,,,,,18,83,677,7,0,2,53,1,0,0,841,0,4,845,0
13,Kandhamal,89,Boudh,14,,,,,,,,8,113,619,0,0,1,72,0,0,3,816,0,3,819,0
13,Kandhamal,89,Boudh,15,,,,,,,,14,29,202,0,0,0,29,0,0,0,274,0,0,274,0
13,Kandhamal,89,Boudh,16,,,,,,,,98,112,583,2,1,1,87,0,1,0,885,0,6,891,0
13,Kandhamal,89,Boudh,17,,,,,,,,107,29,437,0,0,2,104,2,4,1,686,0,3,689,0
13,Kandhamal,89,Boudh,18,,,,,,,,9,77,213,0,0,0,20,0,1,1,321,0,1,322,0
13,Kandhamal,89,Boudh,19,,,,,,,,76,71,353,1,0,0,190,1,0,1,693,0,3,696,0
13,Kandhamal,89,Boudh,20,,,,,,,,99,93,230,0,1,0,120,1,1,0,545,0,6,551,0
13,Kandhamal,89,Boudh,21,,,,,,,,30,155,444,0,0,0,35,1,0,0,665,0,1,666,0
13,Kandhamal,89,Boudh,22,,,,,,,,133,183,488,5,2,2,27,0,6,1,847,0,9,856,0
13,Kandhamal,89,Boudh,23,,,,,,,,12,146,424,1,3,0,13,1,1,1,602,0,5,607,0
13,Kandhamal,89,Boudh,24,,,,,,,,72,222,384,3,2,0,9,1,0,0,693,0,5,698,0
13,Kandhamal,89,Boudh,25,,,,,,,,47,286,325,3,3,1,12,1,1,1,680,0,0,680,0
13,Kandhamal,89,Boudh,26,,,,,,,,46,168,195,2,3,0,12,0,1,0,427,0,2,429,0
13,Kandhamal,89,Boudh,27,,,,,,,,388,39,329,2,2,0,4,1,1,1,767,0,3,770,0
13,Kandhamal,89,Boudh,28,,,,,,,,102,90,480,4,1,1,23,0,1,2,704,0,1,705,0
13,Kandhamal,89,Boudh,29,,,,,,,,63,85,433,4,1,3,37,2,3,1,632,0,1,633,0
13,Kandhamal,89,Boudh,30,,,,,,,,13,404,286,2,1,0,10,0,0,1,717,0,1,718,0
13,Kandhamal,89,Boudh,31,,,,,,,,22,148,587,1,0,0,3,0,0,0,761,0,1,762,0
13,Kandhamal,89,Boudh,32,,,,,,,,17,195,536,4,0,1,9,0,0,0,762,0,3,765,0
13,Kandhamal,89,Boudh,33,,,,,,,,270,30,320,1,1,1,0,0,0,1,624,0,1,625,0
13,Kandhamal,89,Boudh,34,,,,,,,,26,57,254,1,0,0,19,0,1,0,358,0,2,360,0
13,Kandhamal,89,Boudh,35,,,,,,,,54,178,355,2,0,1,142,3,1,2,738,0,8,746,0
13,Kandhamal,89,Boudh,36,,,,,,,,57,257,365,2,3,2,45,1,1,1,734,0,2,736,0
13,Kandhamal,89,Boudh,37,,,,,,,,79,272,404,4,0,0,17,0,0,1,777,0,6,783,0
13,Kandhamal,89,Boudh,38,,,,,,,,62,262,380,1,1,1,36,0,2,2,747,0,4,751,0
13,Kandhamal,89,Boudh,39,,,,,,,,39,214,473,3,2,0,11,0,0,0,742,0,0,742,0
13,Kandhamal,89,Boudh,40,,,,,,,,5,47,158,2,0,0,4,0,1,1,218,0,1,219,0
13,Kandhamal,89,Boudh,41,,,,,,,,92,43,432,1,0,0,101,1,0,0,670,0,1,671,0
13,Kandhamal,89,Boudh,42,,,,,,,,7,83,356,2,1,1,3,0,0,0,453,0,0,453,0
13,Kandhamal,89,Boudh,43,,,,,,,,4,53,442,3,1,2,304,1,0,0,810,0,0,810,0
13,Kandhamal,89,Boudh,44,,,,,,,,131,129,382,1,1,0,7,1,7,1,660,0,7,667,0
13,Kandhamal,89,Boudh,45,,,,,,,,75,110,280,1,0,0,6,0,2,0,474,0,0,474,0
13,Kandhamal,89,Boudh,46,,,,,,,,50,114,339,8,1,0,5,0,4,1,522,0,2,524,0
13,Kandhamal,89,Boudh,47,,,,,,,,52,81,267,1,2,0,19,2,0,0,424,0,0,424,0
13,Kandhamal,89,Boudh,48,,,,,,,,103,159,318,2,2,3,11,0,2,2,602,0,8,610,0
13,Kandhamal,89,Boudh,49,,,,,,,,63,148,272,2,0,0,26,0,0,0,511,0,0,511,0
13,Kandhamal,89,Boudh,50,,,,,,,,101,194,304,2,1,0,17,0,0,1,620,0,4,624,0
13,Kandhamal,89,Boudh,51,,,,,,,,97,149,384,4,0,3,63,0,2,2,704,0,1,705,0
13,Kandhamal,89,Boudh,52,,,,,,,,96,193,334,2,0,2,60,1,0,0,688,0,5,693,0
13,Kandhamal,89,Boudh,53,,,,,,,,120,156,443,2,0,0,23,3,0,3,750,0,4,754,0
13,Kandhamal,89,Boudh,54,,,,,,,,26,239,566,1,2,3,4,3,3,1,848,0,6,854,0
13,Kandhamal,89,Boudh,55,,,,,,,,36,178,363,2,1,0,3,0,0,1,584,0,2,586,0
13,Kandhamal,89,Boudh,56,,,,,,,,63,123,366,2,2,0,11,0,3,0,570,0,1,571,0
13,Kandhamal,89,Boudh,57,,,,,,,,24,129,391,0,1,0,3,0,3,0,551,0,2,553,0
13,Kandhamal,89,Boudh,58,,,,,,,,19,44,249,2,0,0,0,1,1,0,316,0,0,316,0
13,Kandhamal,89,Boudh,59,,,,,,,,124,138,429,6,3,2,10,2,6,7,727,0,12,739,0
13,Kandhamal,89,Boudh,60,,,,,,,,81,103,359,2,2,0,5,1,3,0,556,0,5,561,0
13,Kandhamal,89,Boudh,61,,,,,,,,238,199,474,4,5,0,10,3,1,1,935,0,8,943,0
13,Kandhamal,89,Boudh,62,,,,,,,,119,201,314,3,0,3,5,4,2,3,654,0,6,660,0
13,Kandhamal,89,Boudh,63,,,,,,,,39,150,259,2,1,1,3,0,0,0,455,0,1,456,0
13,Kandhamal,89,Boudh,64,,,,,,,,113,131,314,1,0,1,29,0,0,1,590,0,1,591,0
13,Kandhamal,89,Boudh,65,,,,,,,,4,56,258,1,0,0,57,0,2,0,378,0,1,379,0
13,Kandhamal,89,Boudh,66,,,,,,,,11,68,248,0,0,0,57,0,0,0,384,0,0,384,0
13,Kandhamal,89,Boudh,67,,,,,,,,90,98,297,0,2,1,8,0,0,1,497,0,3,500,0
13,Kandhamal,89,Boudh,68,,,,,,,,2,53,258,2,1,0,13,0,0,0,329,0,0,329,0
13,Kandhamal,89,Boudh,69,,,,,,,,15,172,430,2,1,0,46,0,0,0,666,0,2,668,0
13,Kandhamal,89,Boudh,70,,,,,,,,8,222,334,0,0,0,16,1,1,1,583,0,1,584,0
13,Kandhamal,89,Boudh,71,,,,,,,,36,114,540,1,0,1,193,0,1,0,886,0,0,886,0
13,Kandhamal,89,Boudh,72,,,,,,,,15,77,417,1,1,0,20,2,1,1,535,0,1,536,0
13,Kandhamal,89,Boudh,73,,,,,,,,52,254,632,2,2,1,10,1,2,6,962,0,9,971,0
13,Kandhamal,89,Boudh,74,,,,,,,,29,123,332,0,2,2,4,3,2,9,506,0,6,512,0
13,Kandhamal,89,Boudh,75,,,,,,,,54,113,357,0,0,0,9,0,0,0,533,0,4,537,0
13,Kandhamal,89,Boudh,76,,,,,,,,1,41,192,0,0,0,10,0,0,0,244,0,0,244,0
13,Kandhamal,89,Boudh,77,,,,,,,,53,342,497,6,4,2,4,2,1,0,911,0,1,912,0
