pc_id,pc_name,ac_id,ac_name,Sl. No. of the Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Total Valid Votes,No. Of Rejected Votes,Votes for NOTA option,Total,No. Of Tendered Votes
2,Sundargar,9,Sundargarh,1,,,,,,,,120,302,317,12,751,0,10,761,0
2,Sundargar,9,Sundargarh,2,,,,,,,,43,164,57,4,268,0,4,272,0
2,Sundargar,9,Sundargarh,3,,,,,,,,17,69,110,1,197,0,5,202,0
2,Sundargar,9,Sundargarh,4,,,,,,,,33,179,211,3,426,0,5,431,0
2,Sundargar,9,Sundargarh,5,,,,,,,,72,387,208,7,674,0,12,686,0
2,Sundargar,9,Sundargarh,6,,,,,,,,38,226,164,6,434,0,10,444,0
2,Sundargar,9,Sundargarh,7,,,,,,,,126,306,242,8,682,0,9,691,0
2,Sundargar,9,Sundargarh,8,,,,,,,,11,268,181,2,462,0,2,464,0
2,Sundargar,9,Sundargarh,9,,,,,,,,81,401,428,7,917,0,11,928,0
2,Sundargar,9,Sundargarh,10,,,,,,,,78,328,500,3,909,0,8,917,0
2,Sundargar,9,Sundargarh,11,,,,,,,,55,357,290,5,707,0,13,720,0
2,Sundargar,9,Sundargarh,12,,,,,,,,70,302,338,3,713,0,9,722,0
2,Sundargar,9,Sundargarh,13,,,,,,,,4,112,206,1,323,0,7,330,0
2,Sundargar,9,Sundargarh,14,,,,,,,,83,403,501,9,996,0,14,1010,0
2,Sundargar,9,Sundargarh,15,,,,,,,,94,364,395,8,861,0,22,883,0
2,Sundargar,9,Sundargarh,16,,,,,,,,45,522,147,12,726,0,5,731,0
2,Sundargar,9,Sundargarh,17,,,,,,,,18,195,214,3,430,0,7,437,0
2,Sundargar,9,Sundargarh,18,,,,,,,,80,349,300,1,730,0,11,741,0
2,Sundargar,9,Sundargarh,19,,,,,,,,152,385,184,4,725,0,16,741,0
2,Sundargar,9,Sundargarh,20,,,,,,,,77,180,266,14,537,0,15,552,0
2,Sundargar,9,Sundargarh,21,,,,,,,,52,253,253,4,562,0,9,571,0
2,Sundargar,9,Sundargarh,22,,,,,,,,21,269,174,0,464,0,3,467,0
2,Sundargar,9,Sundargarh,23,,,,,,,,26,232,90,4,352,0,3,355,0
2,Sundargar,9,Sundargarh,24,,,,,,,,78,332,269,8,687,0,13,700,0
2,Sundargar,9,Sundargarh,25,,,,,,,,63,397,196,27,683,0,43,726,0
2,Sundargar,9,Sundargarh,26,,,,,,,,41,124,188,9,362,0,5,367,0
2,Sundargar,9,Sundargarh,27,,,,,,,,56,237,270,2,565,0,6,571,0
2,Sundargar,9,Sundargarh,28,,,,,,,,96,174,151,6,427,0,9,436,0
2,Sundargar,9,Sundargarh,29,,,,,,,,103,97,174,0,374,0,6,380,0
2,Sundargar,9,Sundargarh,30,,,,,,,,29,192,197,2,420,0,8,428,0
2,Sundargar,9,Sundargarh,31,,,,,,,,34,345,237,12,628,0,5,633,0
2,Sundargar,9,Sundargarh,32,,,,,,,,71,359,337,6,773,0,11,784,0
2,Sundargar,9,Sundargarh,33,,,,,,,,7,218,149,3,377,0,2,379,0
2,Sundargar,9,Sundargarh,34,,,,,,,,22,439,365,5,831,0,5,836,0
2,Sundargar,9,Sundargarh,35,,,,,,,,13,309,274,2,598,0,4,602,0
2,Sundargar,9,Sundargarh,36,,,,,,,,13,187,235,3,438,0,2,440,0
2,Sundargar,9,Sundargarh,37,,,,,,,,1,153,174,1,329,0,3,332,0
2,Sundargar,9,Sundargarh,38,,,,,,,,47,159,147,1,354,0,3,357,0
2,Sundargar,9,Sundargarh,39,,,,,,,,45,453,269,1,768,0,8,776,0
2,Sundargar,9,Sundargarh,40,,,,,,,,28,162,135,5,330,0,6,336,0
2,Sundargar,9,Sundargarh,41,,,,,,,,32,159,107,4,302,0,0,302,0
2,Sundargar,9,Sundargarh,42,,,,,,,,38,328,246,6,618,0,7,625,0
2,Sundargar,9,Sundargarh,43,,,,,,,,48,131,187,2,368,0,5,373,0
2,Sundargar,9,Sundargarh,44,,,,,,,,30,136,122,4,292,0,8,300,0
2,Sundargar,9,Sundargarh,45,,,,,,,,28,238,207,3,476,0,1,477,0
2,Sundargar,9,Sundargarh,46,,,,,,,,19,235,192,2,448,0,10,458,0
2,Sundargar,9,Sundargarh,47,,,,,,,,27,252,174,4,457,0,3,460,0
2,Sundargar,9,Sundargarh,48,,,,,,,,83,452,248,12,795,0,10,805,0
2,Sundargar,9,Sundargarh,49,,,,,,,,53,184,136,6,379,0,0,379,0
2,Sundargar,9,Sundargarh,50,,,,,,,,0,0,0,0,0,0,0,0,0
2,Sundargar,9,Sundargarh,51,,,,,,,,20,208,131,0,359,0,2,361,0
2,Sundargar,9,Sundargarh,52,,,,,,,,29,459,371,3,862,0,9,871,0
2,Sundargar,9,Sundargarh,53,,,,,,,,56,366,556,6,984,0,26,1010,0
2,Sundargar,9,Sundargarh,54,,,,,,,,39,290,446,6,781,0,13,794,0
2,Sundargar,9,Sundargarh,55,,,,,,,,32,307,311,7,657,0,4,661,0
2,Sundargar,9,Sundargarh,56,,,,,,,,23,371,267,3,664,0,10,674,0
2,Sundargar,9,Sundargarh,57,,,,,,,,8,255,207,1,471,0,2,473,0
2,Sundargar,9,Sundargarh,58,,,,,,,,59,409,336,11,815,0,19,834,0
2,Sundargar,9,Sundargarh,59,,,,,,,,30,117,167,2,316,0,3,319,0
2,Sundargar,9,Sundargarh,60,,,,,,,,22,213,137,0,372,0,6,378,0
2,Sundargar,9,Sundargarh,61,,,,,,,,10,145,205,1,361,0,5,366,0
2,Sundargar,9,Sundargarh,62,,,,,,,,22,405,281,6,714,0,10,724,0
2,Sundargar,9,Sundargarh,63,,,,,,,,12,364,549,9,934,0,12,946,0
2,Sundargar,9,Sundargarh,64,,,,,,,,3,131,201,1,336,0,2,338,0
2,Sundargar,9,Sundargarh,65,,,,,,,,7,218,219,2,446,0,2,448,0
2,Sundargar,9,Sundargarh,66,,,,,,,,19,314,448,6,787,0,13,800,0
2,Sundargar,9,Sundargarh,67,,,,,,,,8,339,197,2,546,0,3,549,0
2,Sundargar,9,Sundargarh,68,,,,,,,,17,297,287,1,602,0,5,607,0
2,Sundargar,9,Sundargarh,69,,,,,,,,36,505,403,7,951,0,10,961,0
