pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Total of valid Votes,No. of rejected Votes (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
14,Cuttack,91,Khandapada,1,,,,,,,,43,3.0,154,742,3.0,3.0,17,4.0,1.0,8.0,5.0,983,0,21,1004,0
14,Cuttack,91,Khandapada,2,,,,,,,,22,3.0,151,513,0.0,1.0,5,1.0,1.0,0.0,2.0,699,0,9,708,0
14,Cuttack,91,Khandapada,3,,,,,,,,85,2.0,190,585,4.0,1.0,37,2.0,2.0,0.0,0.0,908,0,3,911,0
14,Cuttack,91,Khandapada,4,,,,,,,,40,1.0,206,497,4.0,5.0,34,4.0,2.0,1.0,4.0,798,0,13,811,0
14,Cuttack,91,Khandapada,5,,,,,,,,25,0.0,238,382,2.0,0.0,17,1.0,0.0,1.0,0.0,666,0,0,666,0
14,Cuttack,91,Khandapada,6,,,,,,,,8,1.0,259,335,2.0,0.0,77,1.0,1.0,1.0,0.0,685,0,15,700,0
14,Cuttack,91,Khandapada,7,,,,,,,,2,3.0,195,247,1.0,0.0,68,2.0,1.0,3.0,4.0,526,0,5,531,0
14,Cuttack,91,Khandapada,8,,,,,,,,12,3.0,290,246,4.0,1.0,49,1.0,3.0,2.0,2.0,613,0,4,617,0
14,Cuttack,91,Khandapada,9,,,,,,,,10,0.0,248,368,0.0,2.0,82,1.0,0.0,0.0,0.0,711,0,3,714,0
14,Cuttack,91,Khandapada,10,,,,,,,,1,0.0,131,98,0.0,0.0,175,0.0,1.0,0.0,1.0,407,0,0,407,0
14,Cuttack,91,Khandapada,11,,,,,,,,8,2.0,177,193,5.0,3.0,50,3.0,1.0,2.0,0.0,444,0,4,448,0
14,Cuttack,91,Khandapada,12,,,,,,,,5,3.0,205,387,4.0,1.0,66,4.0,4.0,3.0,2.0,684,0,9,693,0
14,Cuttack,91,Khandapada,13,,,,,,,,13,2.0,216,315,4.0,1.0,45,4.0,3.0,2.0,3.0,608,0,5,613,0
14,Cuttack,91,Khandapada,14,,,,,,,,3,1.0,172,321,0.0,1.0,29,1.0,0.0,0.0,0.0,528,0,1,529,0
14,Cuttack,91,Khandapada,15,,,,,,,,5,2.0,264,240,2.0,5.0,29,1.0,3.0,3.0,1.0,555,0,2,557,0
