pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,TOTAL VALID VOTES,No of rejected votes,NOTA,Total,No of Tendered votes
14,Cuttack,92,Baramba,POSTAL BALLOT,,,,,,,,171.0,106.0,29.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,306.0,0.0
14,Cuttack,92,Baramba,1,,,,,,,,124.0,283.0,133.0,5.0,0.0,2.0,0.0,0.0,547.0,0.0,6.0,553.0,0.0
14,Cuttack,92,Baramba,2,,,,,,,,175.0,332.0,84.0,5.0,3.0,4.0,3.0,3.0,609.0,0.0,7.0,616.0,0.0
14,Cuttack,92,Baramba,3,,,,,,,,157.0,414.0,40.0,15.0,1.0,1.0,1.0,0.0,629.0,0.0,2.0,631.0,0.0
14,Cuttack,92,Baramba,4,,,,,,,,212.0,425.0,48.0,3.0,4.0,2.0,0.0,1.0,695.0,0.0,3.0,698.0,0.0
14,Cuttack,92,Baramba,5,,,,,,,,319.0,453.0,25.0,6.0,2.0,1.0,0.0,0.0,806.0,0.0,1.0,807.0,0.0
14,Cuttack,92,Baramba,6,,,,,,,,282.0,477.0,26.0,7.0,3.0,2.0,1.0,0.0,798.0,0.0,3.0,801.0,0.0
14,Cuttack,92,Baramba,7,,,,,,,,280.0,287.0,46.0,0.0,1.0,0.0,1.0,0.0,615.0,0.0,2.0,617.0,0.0
14,Cuttack,92,Baramba,8,,,,,,,,126.0,560.0,113.0,1.0,5.0,0.0,0.0,2.0,807.0,0.0,3.0,810.0,0.0
14,Cuttack,92,Baramba,9,,,,,,,,237.0,179.0,7.0,1.0,0.0,0.0,0.0,0.0,424.0,0.0,1.0,425.0,0.0
14,Cuttack,92,Baramba,10,,,,,,,,143.0,412.0,26.0,0.0,0.0,0.0,1.0,0.0,582.0,0.0,1.0,583.0,0.0
14,Cuttack,92,Baramba,11,,,,,,,,394.0,498.0,34.0,1.0,1.0,3.0,0.0,0.0,931.0,0.0,2.0,933.0,0.0
14,Cuttack,92,Baramba,12,,,,,,,,49.0,523.0,144.0,1.0,0.0,1.0,1.0,0.0,719.0,0.0,4.0,723.0,0.0
14,Cuttack,92,Baramba,13,,,,,,,,257.0,303.0,21.0,2.0,1.0,0.0,2.0,0.0,586.0,0.0,2.0,588.0,0.0
14,Cuttack,92,Baramba,14,,,,,,,,354.0,313.0,82.0,4.0,3.0,1.0,1.0,0.0,758.0,0.0,1.0,759.0,0.0
14,Cuttack,92,Baramba,15,,,,,,,,391.0,259.0,69.0,1.0,2.0,1.0,0.0,1.0,724.0,0.0,1.0,725.0,0.0
14,Cuttack,92,Baramba,16,,,,,,,,257.0,302.0,158.0,7.0,0.0,1.0,0.0,0.0,725.0,0.0,4.0,729.0,0.0
14,Cuttack,92,Baramba,17,,,,,,,,279.0,527.0,89.0,4.0,2.0,5.0,2.0,0.0,908.0,0.0,11.0,919.0,0.0
14,Cuttack,92,Baramba,18,,,,,,,,403.0,490.0,78.0,3.0,2.0,1.0,0.0,1.0,978.0,0.0,5.0,983.0,0.0
14,Cuttack,92,Baramba,19,,,,,,,,245.0,259.0,31.0,3.0,0.0,0.0,1.0,1.0,540.0,0.0,3.0,543.0,0.0
14,Cuttack,92,Baramba,20,,,,,,,,158.0,209.0,27.0,2.0,2.0,0.0,0.0,0.0,398.0,0.0,2.0,400.0,0.0
